Name,TwitchCurrentViewers,Share of Twitch,Rank,Highest Viewer Rank,Twitch24HoursPeak,AllTimePeak,Avg. Daily High,Avg. Daily Low,Date
ValorantSave,"65,179",6.35%,#1,#1,"399,744","1,699,559","214,892","61,704",2024/8/7 16:00
League of LegendsSave,"52,992",5.16%,#2,#1,"149,998","3,086,307","287,857","72,930",2024/8/7 16:00
Grand Theft Auto VSave,"41,915",4.08%,#3,#1,"217,338","1,145,033","215,253","35,929",2024/8/7 16:00
Apex LegendsSave,"29,511",2.87%,#4,#1,"90,076","670,454","99,820","36,930",2024/8/7 16:00
FortniteSave,"28,913",2.82%,#5,#1,"96,752","2,121,530","202,125","45,508",2024/8/7 16:00
Call of Duty: Modern WarfareSave,"28,118",2.74%,#6,#1,"66,898","863,637","64,354","16,274",2024/8/7 16:00
Teamfight TacticsSave,"26,801",2.61%,#7,#1,"41,095","344,806","41,067","14,037",2024/8/7 16:00
Diablo IVSave,"25,767",2.51%,#8,#1,"65,997","887,225","10,896","2,289",2024/8/7 16:00
Dota 2Save,"22,283",2.17%,#9,#1,"72,426","1,444,329","124,589","18,918",2024/8/7 16:01
Counter-Strike 2Save,"20,747",2.02%,#10,#1,"77,949","1,081,462","209,867","17,353",2024/8/7 16:01
Dark and DarkerSave,"20,358",1.98%,#11,#4,"24,194","57,616","26,495","7,437",2024/8/7 16:01
Dead by DaylightSave,"18,597",1.81%,#12,#1,"77,535","221,669","33,507","11,614",2024/8/7 16:01
MinecraftSave,"17,957",1.75%,#13,#1,"99,148","1,856,710","131,551","11,501",2024/8/7 16:01
Path of ExileSave,"15,932",1.55%,#14,#1,"42,699","302,157","20,505","5,706",2024/8/7 16:01
Elden RingSave,"14,009",1.36%,#15,#1,"69,089","866,085","48,284","12,243",2024/8/7 16:01
World of WarcraftSave,"11,746",1.14%,#16,#1,"40,792","1,035,833","72,336","18,905",2024/8/7 16:02
HearthstoneSave,"11,040",1.08%,#17,#1,"19,134","308,961","49,178","15,851",2024/8/7 16:02
Overwatch 2Save,"9,988",0.97%,#18,#1,"24,525","635,253","58,863","21,377",2024/8/7 16:02
EA SPORTS FC 24Save,"9,582",0.93%,#19,#4,"73,970","143,266","67,913","8,523",2024/8/7 16:02
Once HumanSave,"8,653",0.84%,#20,#13,"15,978","25,224","18,807","9,036",2024/8/7 16:02
Tom Clancy's Rainbow Six: SiegeSave,"8,130",0.79%,#21,#1,"97,031","387,420","37,895","5,617",2024/8/7 16:02
Street Fighter 6Save,"6,339",0.62%,#22,#1,"19,230","308,239","52,171","5,475",2024/8/7 16:02
StormgateSave,"6,315",0.62%,#23,#22,"6,315","11,888","6,493","1,486",2024/8/7 16:03
FINAL FANTASY XIV: A Realm RebornSave,"6,070",0.59%,#24,#2,"12,702","106,595","11,231","2,995",2024/8/7 16:03
FINAL FANTASY XIV OnlineSave,"6,070",0.59%,#25,#2,"12,702","215,728","11,576","2,398",2024/8/7 16:03
"Animals, Aquariums, and ZoosSave","5,752",0.56%,#26,#4,"6,371","26,815","5,395","2,766",2024/8/7 16:03
Black DesertSave,"5,373",0.52%,#28,#1,"9,480","83,169","12,304","3,984",2024/8/7 16:03
Black Desert OnlineSave,"5,373",0.52%,#27,#2,"9,480","84,122","8,059","2,984",2024/8/7 16:03
Black Desert Online RemasteredSave,"5,373",0.52%,#29,#3,"9,480","83,169","12,362","4,549",2024/8/7 16:03
Escape From TarkovSave,"4,856",0.47%,#30,#1,"13,404","465,836","39,660","14,705",2024/8/7 16:03
Maitre des FleursSave,"4,612",0.45%,#31,#12,"4,612","20,923","10,045","5,892",2024/8/7 16:04
DayZSave,"3,864",0.38%,#32,#1,"10,162","290,644","11,135","1,788",2024/8/7 16:04
Lost Ark OnlineSave,"3,745",0.36%,#33,#2,"7,022","97,583","6,701","1,263",2024/8/7 16:04
Lost ArkSave,"3,745",0.36%,#34,#1,"7,022","1,228,790","37,532","11,343",2024/8/7 16:04
The First DescendantSave,"3,706",0.36%,#35,#18,"10,840","25,849","14,171","5,639",2024/8/7 16:04
TibiaSave,"3,439",0.34%,#36,#2,"9,552","21,329","5,629","1,260",2024/8/7 16:04
Destiny 2Save,"3,260",0.32%,#37,#1,"16,187","470,716","18,647","4,363",2024/8/7 16:04
NBA 2K24Save,"3,238",0.32%,#38,#15,"5,012","27,458","8,839","1,904",2024/8/7 16:05
Albion OnlineSave,"3,106",0.30%,#39,#1,"6,966","38,579","3,446","1,154",2024/8/7 16:05
Old School RuneScapeSave,"3,087",0.30%,#40,#3,"7,805","101,391","12,876","3,190",2024/8/7 16:05
World of TanksSave,"3,019",0.29%,#41,#2,"16,217","126,564","15,818","1,478",2024/8/7 16:05
RimWorldSave,"3,000",0.29%,#42,#6,"5,243","44,220","4,611",379,2024/8/7 16:05
Genshin ImpactSave,"2,992",0.29%,#43,#1,"21,484","505,111","30,108","7,963",2024/8/7 16:05
7 Days to DieSave,"2,839",0.28%,#44,#2,"13,685","83,785","3,787",602,2024/8/7 16:05
Pummel PartySave,"2,747",0.27%,#45,#3,"6,575","177,909","8,827",102,2024/8/7 16:06
ARK Survival AscendedSave,"2,582",0.25%,#46,#5,"3,402","41,866","6,986",647,2024/8/7 16:06
Call of DutySave,"2,574",0.25%,#49,#4,"5,872","16,822","1,262",263,2024/8/7 16:06
Call of Duty: Modern Warfare IISave,"2,574",0.25%,#47,#5,"5,872","33,756","5,936","1,530",2024/8/7 16:06
Call of Duty: Modern Warfare IISave,"2,574",0.25%,#47,#5,"5,872","33,756","5,936","1,530",2024/8/7 16:06
DungeonborneSave,"2,455",0.24%,#50,#5,"6,557","31,393","16,145","4,981",2024/8/7 16:06
Sea of ThievesSave,"2,415",0.24%,#51,#1,"14,609","259,071","15,184","1,933",2024/8/7 16:06
Super Mario Maker 2Save,"2,327",0.23%,#52,#1,"2,372","255,795","8,473","1,092",2024/8/7 16:06
Red Dead Redemption 2Save,"2,275",0.22%,#53,#1,"9,168","364,684","9,754","1,684",2024/8/7 16:07
RustSave,"2,270",0.22%,#54,#1,"19,715","1,357,012","41,207","6,535",2024/8/7 16:07
Marvel SnapSave,"2,111",0.21%,#55,#5,"10,838","231,887","8,862","1,709",2024/8/7 16:07
MapleStorySave,"2,027",0.20%,#56,#1,"4,481","52,068","5,096",716,2024/8/7 16:07
TEKKEN 8Save,"2,017",0.20%,#57,#2,"13,132","180,773","12,614","1,238",2024/8/7 16:07
VRChatSave,"2,009",0.20%,#58,#2,"11,386","127,940","9,750","1,172",2024/8/7 16:07
SmiteSave,"2,004",0.20%,#59,#1,"4,323","147,557","9,224","1,549",2024/8/7 16:07
American Truck SimulatorSave,"1,957",0.19%,#60,#6,"2,267","73,178","1,450",68,2024/8/7 16:07
Tom Clancy's XDefiantSave,"1,907",0.19%,#61,#1,"4,198","174,192","20,646","5,734",2024/8/7 16:08
Rocket LeagueSave,"1,836",0.18%,#62,#1,"9,233","353,168","37,604","3,280",2024/8/7 16:08
PlayerUnknown's BattlegroundsSave,"1,718",0.17%,#63,#1,"15,832","523,868","52,772","8,746",2024/8/7 16:08
Player Unknown's BattlegroundsSave,"1,718",0.17%,#64,#1,"15,832","162,171","32,273","4,027",2024/8/7 16:08
PUBG: BATTLEGROUNDSSave,"1,718",0.17%,#65,#2,"15,832","186,750","35,293","4,524",2024/8/7 16:08
Helldivers 2Save,"1,626",0.16%,#66,#17,"17,058","17,058","1,842",267,2024/8/7 16:08
No Man's SkySave,"1,607",0.16%,#67,#2,"3,438","208,381","2,217",278,2024/8/7 16:08
Sekiro: Shadows Die TwiceSave,"1,603",0.16%,#68,#1,"7,086","279,744","6,738",668,2024/8/7 16:08
Chained TogetherSave,"1,550",0.15%,#69,#7,"9,237","59,163","20,872","1,128",2024/8/7 16:09
Lineage 2MSave,"1,314",0.13%,#71,#5,"1,721","5,776","2,361",866,2024/8/7 16:09
Lineage 2Save,"1,314",0.13%,#70,#6,"1,721","25,750","2,742",724,2024/8/7 16:09
Naraka: BladepointSave,"1,304",0.13%,#72,#5,"1,547","97,946","4,897",581,2024/8/7 16:09
Slay the SpireSave,"1,289",0.13%,#73,#5,"1,645","114,076","4,598",286,2024/8/7 16:09
Lethal CompanySave,"1,286",0.13%,#74,#2,"3,621","70,420","12,750",739,2024/8/7 16:09
Dome KeeperSave,"1,200",0.12%,#75,#19,"3,900","38,823","1,590",845,2024/8/7 16:09
Knight OnlineSave,"1,191",0.12%,#76,#8,"1,840","24,464","2,560",163,2024/8/7 16:09
Clash RoyaleSave,"1,163",0.11%,#77,#1,"2,850","536,953","11,444",524,2024/8/7 16:10
Heroes of Might & Magic III - HD EditionSave,"1,116",0.11%,#78,#6,"7,607","27,148","4,535",381,2024/8/7 16:10
