Name,TwitchCurrentViewers,Share of Twitch,Rank,Highest Viewer Rank,Twitch24HoursPeak,AllTimePeak,Avg. Daily High,Avg. Daily Low,Date
Grand Theft Auto VSave,"119,272",7.69%,#1,#1,"236,409","1,145,033","215,337","35,931",2024-08-09 12:29
ValorantSave,"84,732",6.08%,#2,#1,"289,933","1,699,559","215,158","61,715",2024-08-09 12:29
RustSave,"73,796",4.76%,#3,#1,"95,093","1,357,012","41,241","6,533",2024-08-09 12:29
League of LegendsSave,"70,428",4.54%,#4,#1,"162,358","3,086,307","287,847","72,921",2024-08-09 12:29
FortniteSave,"38,060",3.02%,#5,#1,"84,423","2,121,530","202,111","45,500",2024-08-09 12:30
Call of Duty: Modern WarfareSave,"39,784",2.71%,#6,#1,"55,364","863,637","64,380","16,268",2024-08-09 12:30
Red Dead Redemption 2Save,"36,197",2.33%,#7,#1,"36,197","364,684","9,773","1,682",2024-08-09 12:30
Apex LegendsSave,"26,482",1.71%,#8,#1,"69,880","670,454","99,843","36,918",2024-08-09 12:30
MinecraftSave,"21,579",1.63%,#9,#1,"95,634","1,856,710","131,586","11,502",2024-08-09 12:30
Dead by DaylightSave,"23,472",1.51%,#10,#1,"26,419","221,669","33,509","11,613",2024-08-09 12:30
Counter-Strike 2Save,"22,253",1.44%,#11,#1,"206,906","1,081,462","210,822","17,378",2024-08-09 12:30
Dark and DarkerSave,"21,127",1.36%,#12,#4,"21,541","57,616","26,801","7,120",2024-08-09 12:31
Elden RingSave,"20,303",1.31%,#13,#1,"42,950","866,085","48,409","12,232",2024-08-09 12:31
Teamfight TacticsSave,"23,665",1.27%,#14,#1,"54,969","344,806","41,086","14,033",2024-08-09 12:31
Path of ExileSave,"18,254",1.18%,#15,#1,"39,661","302,157","20,522","5,708",2024-08-09 12:31
Dota 2Save,"17,608",1.14%,#16,#1,"73,513","1,444,329","124,588","18,913",2024-08-09 12:31
Overwatch 2Save,"17,468",1.13%,#17,#1,"38,917","635,253","58,845","21,348",2024-08-09 12:31
World of WarcraftSave,"12,502",1.02%,#18,#1,"45,365","1,035,833","72,345","18,902",2024-08-09 12:31
Dungeons & DragonsSave,"12,855",0.96%,#19,#1,"14,959","211,822","12,185",108,2024-08-09 12:32
Dungeons & DragonsSave,"12,855",0.96%,#20,#5,"14,959","21,867","5,037",119,2024-08-09 12:32
FINAL FANTASY XIV: A Realm RebornSave,"11,047",0.82%,#21,#2,"13,056","106,595","11,262","2,972",2024-08-09 12:32
FINAL FANTASY XIV OnlineSave,"12,709",0.82%,#22,#2,"13,056","215,728","11,581","2,395",2024-08-09 12:32
Diablo IVSave,"12,468",0.80%,#23,#1,"23,827","887,225","10,946","2,277",2024-08-09 12:32
Escape From TarkovSave,"8,081",0.61%,#24,#1,"22,584","465,836","39,662","14,702",2024-08-09 12:32
Tom Clancy's Rainbow Six: SiegeSave,"8,571",0.55%,#25,#1,"51,151","387,420","37,911","5,615",2024-08-09 12:32
EA SPORTS FC 24Save,"8,402",0.54%,#26,#4,"39,209","143,266","68,823","8,376",2024-08-09 12:33
TibiaSave,"6,432",0.52%,#27,#2,"14,944","21,329","5,635","1,261",2024-08-09 12:33
Once HumanSave,"7,855",0.51%,#28,#13,"14,160","25,224","18,806","8,818",2024-08-09 12:33
DayZSave,"7,299",0.47%,#29,#1,"10,670","290,644","11,137","1,787",2024-08-09 12:33
HearthstoneSave,"8,223",0.46%,#30,#1,"19,865","308,961","49,168","15,846",2024-08-09 12:33
Old School RuneScapeSave,"6,483",0.42%,#31,#3,"7,472","101,391","12,875","3,188",2024-08-09 12:33
VRChatSave,"6,339",0.41%,#32,#2,"6,373","127,940","9,758","1,172",2024-08-09 12:33
PlayerUnknown's BattlegroundsSave,"6,178",0.40%,#33,#1,"25,389","523,868","52,769","8,744",2024-08-09 12:34
Player Unknown's BattlegroundsSave,"5,263",0.40%,#34,#1,"25,389","162,171","32,324","4,028",2024-08-09 12:34
PUBG: BATTLEGROUNDSSave,"5,263",0.40%,#35,#2,"25,389","186,750","35,307","4,523",2024-08-09 12:34
Rocket LeagueSave,"6,006",0.39%,#36,#1,"10,185","353,168","37,597","3,279",2024-08-09 12:34
Albion OnlineSave,"5,835",0.38%,#37,#1,"7,332","38,579","3,452","1,155",2024-08-09 12:34
Super Mario 64Save,847,0.36%,#38,#1,"6,068","219,983","7,168",451,2024-08-09 12:34
7 Days to DieSave,"5,469",0.35%,#39,#2,"11,813","83,785","3,797",603,2024-08-09 12:34
"Animals, Aquariums, and ZoosSave","5,549",0.35%,#40,#4,"6,543","26,815","5,399","2,768",2024-08-09 12:35
Call of DutySave,"4,703",0.66%,#41,#4,"5,278","16,822","1,268",263,2024-08-09 12:35
Call of Duty: Modern Warfare IISave,"4,703",0.33%,#42,#5,"5,278","33,756","5,945","1,522",2024-08-09 12:35
Call of Duty: Modern Warfare IISave,"4,703",0.33%,#42,#5,"5,278","33,756","5,945","1,522",2024-08-09 12:35
Sea of ThievesSave,"4,640",0.33%,#44,#1,"10,320","259,071","15,183","1,932",2024-08-09 12:35
Super Smash Bros. UltimateSave,"5,081",0.36%,#45,#1,"7,595","270,343","14,870","1,456",2024-08-09 12:35
Black DesertSave,"4,346",0.31%,#48,#1,"9,634","83,169","12,308","3,972",2024-08-09 12:36
Black Desert OnlineSave,"4,346",0.31%,#46,#2,"9,634","84,122","8,062","2,982",2024-08-09 12:36
Black Desert Online RemasteredSave,"4,346",0.31%,#47,#3,"9,634","83,169","12,366","4,535",2024-08-09 12:36
Maitre des FleursSave,"4,612",0.33%,#49,#12,"4,612","20,923","10,045","5,892",2024-08-09 12:36
Sneak OutSave,71,0.01%,#50,#25,"4,515","7,515",600,1,2024-08-09 12:36
Genshin ImpactSave,"4,180",0.30%,#51,#1,"7,848","505,111","30,097","7,959",2024-08-09 12:36
The First DescendantSave,"3,954",0.28%,#52,#18,"9,629","25,849","14,333","5,475",2024-08-09 12:36
Lost Ark OnlineSave,"3,257",0.23%,#53,#2,"8,507","97,583","6,705","1,264",2024-08-09 12:37
Lost ArkSave,"3,257",0.23%,#54,#1,"8,507","1,228,790","37,489","11,330",2024-08-09 12:37
Chained TogetherSave,"2,224",0.16%,#55,#7,"7,146","59,163","20,432","1,070",2024-08-09 12:37
Destiny 2Save,"3,722",0.26%,#56,#1,"8,820","470,716","18,646","4,362",2024-08-09 12:37
DungeonborneSave,"3,608",0.26%,#57,#5,"6,406","31,393","15,785","4,716",2024-08-09 12:37
High on LifeSave,20,0.00%,#58,#28,"3,339","4,097",194,3,2024-08-09 12:37
Tom Clancy's XDefiantSave,"1,982",0.14%,#59,#1,"8,607","174,192","20,519","5,673",2024-08-09 12:38
SmiteSave,"1,735",0.12%,#60,#1,"4,703","147,557","9,224","1,549",2024-08-09 12:38
NBA 2K24Save,"4,239",0.30%,#61,#15,"4,788","27,458","8,793","1,866",2024-08-09 12:38
Helldivers 2Save,"3,278",0.23%,#62,#17,"7,820","17,058","2,080",269,2024-08-09 12:38
WarframeSave,"2,479",0.18%,#63,#1,"22,940","509,496","10,712","1,283",2024-08-09 12:38
Stumble Guys: Multiplayer RoyaleSave,"2,662",0.19%,#64,#10,"2,971","19,369","1,345",107,2024-08-09 12:38
Street Fighter 6Save,"3,095",0.22%,#65,#1,"66,190","308,239","52,217","5,455",2024-08-09 12:38
RimWorldSave,"2,733",0.19%,#66,#6,"3,543","44,220","4,612",378,2024-08-09 12:39
Hunt: ShowdownSave,"2,549",0.18%,#67,#1,"6,566","144,654","6,450","1,107",2024-08-09 12:39
Magic: The GatheringSave,"1,249",0.09%,#68,#2,"6,660","156,946","11,673","2,079",2024-08-09 12:39
MapleStorySave,"2,597",0.18%,#69,#1,"9,759","52,068","5,100",716,2024-08-09 12:39
American Truck SimulatorSave,"2,691",0.19%,#70,#6,"2,691","73,178","1,451",67,2024-08-09 12:39
PhasmophobiaSave,"2,468",0.18%,#71,#1,"6,917","247,656","18,406","2,389",2024-08-09 12:39
Marvel SnapSave,"2,230",0.16%,#72,#5,"4,308","231,887","8,861","1,704",2024-08-09 12:39
Baldur's Gate 3Save,"4,924",0.35%,#73,#2,"4,924","225,917","19,182","5,490",2024-08-09 12:40
Baldur's Gate IIISave,"4,924",0.35%,#74,#3,"4,924","170,434","8,187","1,008",2024-08-09 12:40
Pummel PartySave,"2,077",0.15%,#75,#3,"2,077","177,909","8,823",101,2024-08-09 12:40
Left 4 Dead 2Save,"1,597",0.11%,#76,#1,"1,969","144,509","2,866",87,2024-08-09 12:40
Doki Doki Literature ClubSave,22,0.00%,#77,#6,"3,172","29,836",784,20,2024-08-09 12:40
Stardew ValleySave,"1,494",0.11%,#78,#4,"4,018","99,578","4,192",546,2024-08-09 12:40
Fallout 4Save,"1,691",0.12%,#79,#1,"2,721","242,564","2,242",265,2024-08-09 12:41
Battlefield (2021)Save,"1,949",0.14%,#80,#9,"5,530","30,498","1,627",184,2024-08-09 12:41
Battlefield 6Save,"1,949",0.14%,#81,#10,"5,530","30,498","1,622",183,2024-08-09 12:41
Battlefield 2042Save,"1,949",0.14%,#82,#1,"5,530","341,694","4,683",512,2024-08-09 12:41
World of WarshipsSave,"1,432",0.10%,#83,#3,"10,403","62,800","6,375",913,2024-08-09 12:41
World of TanksSave,"1,683",0.12%,#84,#2,"17,366","126,564","15,826","1,477",2024-08-09 12:41
War ThunderSave,694,0.05%,#85,#10,"2,885","55,516","2,183",316,2024-08-09 12:41
TEKKEN 8Save,"1,426",0.10%,#86,#2,"3,309","180,773","12,502","1,220",2024-08-09 12:42
Fall Guys: Ultimate KnockoutSave,"1,430",0.10%,#87,#1,"5,840","698,013","36,513","3,661",2024-08-09 12:42
Age of Empires IISave,763,0.05%,#120,#5,"6,909","71,521","5,754",450,2024-08-09 12:42
South Park: The Stick of TruthSave,"1,105",0.08%,#94,#5,"2,059","59,161",556,13,2024-08-09 12:42
Software and Game DevelopmentSave,"1,220",0.09%,#88,#6,"10,207","26,022","6,320",717,2024-08-09 12:42
Lineage 2MSave,"1,201",0.09%,#89,#5,"1,592","5,776","2,362",864,2024-08-09 12:42
Lineage 2Save,"1,201",0.09%,#90,#6,"1,592","25,750","2,741",724,2024-08-09 12:42
Clash RoyaleSave,"2,032",0.14%,#71,#1,"5,892","536,953","11,442",523,2024-08-09 12:43
Lethal CompanySave,"1,137",0.08%,#92,#2,"1,546","70,420","12,705",731,2024-08-09 12:43
StormgateSave,"1,132",0.08%,#93,#22,"2,565","11,888","6,002",565,2024-08-09 12:43
Mount & Blade II: BannerlordSave,925,0.07%,#99,#1,"3,292","228,990","4,178",410,2024-08-09 12:43
Enter the GungeonSave,"1,263",0.09%,#86,#3,"1,263","118,841","1,523",46,2024-08-09 12:43
The Sims 4Save,791,0.06%,#114,#3,"9,263","179,932","6,859",470,2024-08-09 12:43
Heroes of Might & Magic III - HD EditionSave,798,0.06%,#110,#6,"5,212","27,148","4,537",381,2024-08-09 12:43
BrawlhallaSave,963,0.07%,#96,#2,"1,606","163,900","6,503",232,2024-08-09 12:44
Yu-Gi-Oh! Master DuelSave,776,0.06%,#117,#6,"6,377","45,357","6,507","1,018",2024-08-09 12:44
Project ZomboidSave,922,0.07%,#100,#4,"3,060","120,705","4,775",436,2024-08-09 12:44
Life Is StrangeSave,49,0.00%,#407,#3,"1,001","108,203","1,245",26,2024-08-09 12:44
Monster Hunter: WorldSave,779,0.06%,#116,#1,"1,573","170,722","6,814","1,702",2024-08-09 12:44
NorlandSave,728,0.05%,#126,#33,"7,368","9,389","2,202",19,2024-08-09 12:44
Portal 2Save,900,0.06%,#102,#1,980,"175,314","2,034",23,2024-08-09 12:44
Resident Evil 2 / Biohazard RE:2Save,"1,378",0.10%,#85,#2,"1,378","312,429","3,677",442,2024-08-09 12:45
Kerbal Space ProgramSave,907,0.06%,#101,#6,966,"37,617","1,204",23,2024-08-09 12:45
