Name,TwitchCurrentViewers,Share of Twitch,Rank,Highest Viewer Rank,Twitch24HoursPeak,AllTimePeak,Avg. Daily High,Avg. Daily Low,Date
ValorantSave,"238,105",19.79%,#1,#1,"362,654","1,699,559","215,155","61,715",2024-08-08 18:48
League of LegendsSave,"125,713",10.45%,#2,#1,"154,412","3,086,307","287,831","72,921",2024-08-08 18:48
Grand Theft Auto VSave,"54,247",4.51%,#3,#1,"223,660","1,145,033","215,261","35,931",2024-08-08 18:48
Dota 2Save,"41,398",3.44%,#4,#1,"70,791","1,444,329","124,574","18,915",2024-08-08 18:48
Counter-Strike 2Save,"40,622",3.38%,#5,#1,"211,943","1,081,462","209,978","17,389",2024-08-08 18:49
Apex LegendsSave,"32,200",2.68%,#6,#1,"86,769","670,454","99,811","36,918",2024-08-08 18:49
FortniteSave,"31,759",2.64%,#7,#1,"113,326","2,121,530","202,089","45,500",2024-08-08 18:49
Teamfight TacticsSave,"30,705",2.55%,#8,#1,"44,318","344,806","41,071","14,038",2024-08-08 18:49
Path of ExileSave,"19,672",1.64%,#9,#1,"36,958","302,157","20,514","5,708",2024-08-08 18:49
MinecraftSave,"17,191",1.43%,#10,#1,"136,404","1,856,710","131,554","11,502",2024-08-08 18:49
Call of Duty: Modern WarfareSave,"17,044",1.42%,#11,#1,"75,773","863,637","64,360","16,268",2024-08-08 18:49
Dark and DarkerSave,"16,455",1.37%,#12,#4,"41,213","57,616","26,801","7,314",2024-08-08 18:50
World of WarcraftSave,"15,674",1.30%,#13,#1,"59,540","1,035,833","72,333","18,902",2024-08-08 18:50
HearthstoneSave,"15,287",1.27%,#14,#1,"18,920","308,961","49,166","15,848",2024-08-08 18:50
EA SPORTS FC 24Save,"14,500",1.21%,#15,#4,"66,518","143,266","68,026","8,376",2024-08-08 18:50
Dead by DaylightSave,"13,423",1.12%,#16,#1,"31,353","221,669","33,506","11,613",2024-08-08 18:50
Diablo IVSave,"11,820",0.98%,#17,#1,"27,304","887,225","10,910","2,277",2024-08-08 18:50
Overwatch 2Save,"11,554",0.96%,#18,#1,"20,898","635,253","58,797","21,348",2024-08-08 18:50
Escape From TarkovSave,"8,536",0.71%,#19,#1,"26,417","465,836","39,656","14,702",2024-08-08 18:51
Elden RingSave,"8,435",0.70%,#20,#1,"98,129","866,085","48,364","12,232",2024-08-08 18:51
