Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Datetime
1,730,Counter-Strike 2,"661,889","1,281,191",2024-08-09 12:01
2,2923300,Banana,"353,184","356,259",2024-08-09 12:01
3,570,Dota 2,"308,401","638,841",2024-08-09 12:01
4,578080,PUBG: BATTLEGROUNDS,"173,249","652,110",2024-08-09 12:01
5,1172470,Apex Legends™,"106,414","287,593",2024-08-09 12:01
6,2139460,Once Human,"97,205","148,228",2024-08-09 12:01
7,1203220,NARAKA: BLADEPOINT,"90,988","289,000",2024-08-09 12:01
8,1245620,ELDEN RING,"88,141","114,320",2024-08-09 12:01
9,271590,Grand Theft Auto V,"84,609","169,586",2024-08-09 12:01
10,440,Team Fortress 2,"77,041","82,884",2024-08-09 12:01
11,252490,Rust,"75,115","134,229",2024-08-09 12:01
12,1938090,Call of Duty®,"73,033","84,126",2024-08-09 12:01
13,431960,Wallpaper Engine,"71,735","115,615",2024-08-09 12:01
14,1086940,Baldur's Gate 3,"65,360","86,250",2024-08-09 12:01
15,238960,Path of Exile(not available in your region),"64,046","123,089",2024-08-09 12:01
16,413150,Stardew Valley,"60,519","99,302",2024-08-09 12:01
17,1782210,Crab Game,"59,320","59,320",2024-08-09 12:01
18,2074920,The First Descendant,"56,494","78,825",2024-08-09 12:01
19,359550,Tom Clancy's Rainbow Six® Siege,"53,227","62,284",2024-08-09 12:01
20,251570,7 Days to Die,"52,971","83,405",2024-08-09 12:01
21,236390,War Thunder,"51,351","99,940",2024-08-09 12:01
22,1085660,Destiny 2,"45,512","49,187",2024-08-09 12:01
23,553850,HELLDIVERS™ 2,"44,924","54,024",2024-08-09 12:01
24,230410,Warframe,"40,528","52,614",2024-08-09 12:01
25,381210,Dead by Daylight,"39,516","58,426",2024-08-09 12:01
26,289070,Sid Meier’s Civilization® VI,"37,251","56,247",2024-08-09 12:01
27,39210,FINAL FANTASY XIV Online(not available in your region),"35,216","42,153",2024-08-09 12:01
28,438100,VRChat,"34,219","34,616",2024-08-09 12:01
29,3047030,Tapple - Idle Clicker,"33,333","36,636",2024-08-09 12:01
