Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,2358720,Black Myth: Wukong,"780,561","2,130,243","NT$ 1,280.00",2024-08-26 12:01
2,730,Counter-Strike 2,"661,898","1,350,929",Free To Play,2024-08-26 12:01
3,2923300,Banana,"403,607","446,084",Free To Play,2024-08-26 12:01
4,570,Dota 2,"300,309","693,134",Free To Play,2024-08-26 12:01
5,578080,PUBG: BATTLEGROUNDS,"152,077","632,426",Free To Play,2024-08-26 12:01
6,2139460,Once Human,"84,437","151,847",Free To Play,2024-08-26 12:01
7,1172470,Apex Legends™,"75,738","209,921",Free To Play,2024-08-26 12:01
8,271590,Grand Theft Auto V,"75,103","171,600",NT$ 480.00,2024-08-26 12:01
9,431960,Wallpaper Engine,"72,298","119,019",NT$ 120.00,2024-08-26 12:01
10,1203220,NARAKA: BLADEPOINT,"71,289","233,584",Free To Play,2024-08-26 12:01
11,1086940,Baldur's Gate 3,"64,667","114,839","NT$ 1,599.00",2024-08-26 12:01
12,1938090,Call of Duty®,"63,058","97,065","NT$ 1,599.00",2024-08-26 12:01
13,440,Team Fortress 2,"58,378","71,863",Free To Play,2024-08-26 12:01
14,413150,Stardew Valley,"53,193","97,682",NT$ 398.00,2024-08-26 12:01
15,1245620,ELDEN RING,"51,901","87,129","NT$ 1,790.00",2024-08-26 12:01
16,1782210,Crab Game,"48,291","48,711",Free To Play,2024-08-26 12:01
17,252490,Rust,"47,835","108,583",NT$ 694.00,2024-08-26 12:01
18,359550,Tom Clancy's Rainbow Six® Siege,"47,132","75,832",NT$ 569.00,2024-08-26 12:01
19,289070,Sid Meier’s Civilization® VI,"46,672","83,104",NT$ 179.00,2024-08-26 12:01
20,1422450,Deadlock,"45,579","89,203",Coming Soon,2024-08-26 12:01
21,230410,Warframe,"45,512","65,265",Free To Play,2024-08-26 12:01
22,236390,War Thunder,"42,151","89,861",Free To Play,2024-08-26 12:01
23,436150,Governor of Poker 3,"41,948","42,412",Free To Play,2024-08-26 12:01
24,238960,Path of Exile(not available in your region),"38,568","84,727",Free To Play,2024-08-26 12:01
25,251570,7 Days to Die,"38,564","80,796",NT$ 670.00,2024-08-26 12:01
26,2357570,Overwatch® 2,"37,419","55,711",Free To Play,2024-08-26 12:01
27,3047030,Tapple - Idle Clicker,"36,841","36,864",Free To Play,2024-08-26 12:01
28,438100,VRChat,"34,702","46,587",Free To Play,2024-08-26 12:01
29,582010,Monster Hunter: World,"31,091","69,289",NT$ 920.00,2024-08-26 12:01
30,381210,Dead by Daylight,"30,671","52,050",NT$ 379.00,2024-08-26 12:01
31,2074920,The First Descendant,"30,301","52,042",Free To Play,2024-08-26 12:01
32,1966720,Lethal Company,"28,754","40,674",NT$ 188.00,2024-08-26 12:01
33,1085660,Destiny 2,"28,376","38,057",Free To Play,2024-08-26 12:01
34,2252570,Football Manager 2024,"27,304","75,081","NT$ 1,299.00",2024-08-26 12:01
35,2977660,Cats,"26,656","27,494",Free To Play,2024-08-26 12:01
36,550,Left 4 Dead 2,"26,064","32,440",NT$ 188.00,2024-08-26 12:01
37,2195250,EA SPORTS FC™ 24,"25,835","63,142","NT$ 1,999.00",2024-08-26 12:01
38,1222670,The Sims™ 4,"25,285","47,516",Free To Play,2024-08-26 12:01
39,39210,FINAL FANTASY XIV Online(not available in your region),"24,773","36,605",Free To Play,2024-08-26 12:01
40,394360,Hearts of Iron IV,"23,016","54,762","NT$ 1,268.00",2024-08-26 12:01
41,1366800,Crosshair X,"22,150","41,113",NT$ 144.00,2024-08-26 12:01
42,1281930,tModLoader,"21,937","36,217",Free To Play,2024-08-26 12:01
43,221100,DayZ,"21,916","55,333","NT$ 1,499.00",2024-08-26 12:01
44,1091500,Cyberpunk 2077,"21,875","38,220","NT$ 1,599.00",2024-08-26 12:01
45,304930,Unturned,"20,952","28,539",Free To Play,2024-08-26 12:01
46,322330,Don't Starve Together,"20,529","42,975",NT$ 268.00,2024-08-26 12:01
47,105600,Terraria,"20,220","34,093",NT$ 188.00,2024-08-26 12:01
48,108600,Project Zomboid,"20,174","32,289",NT$ 328.00,2024-08-26 12:01
49,489830,The Elder Scrolls V: Skyrim Special Edition,"19,872","33,590","NT$ 1,199.00",2024-08-26 12:01
50,294100,RimWorld,"19,494","30,235",NT$ 529.00,2024-08-26 12:01
51,553850,HELLDIVERS™ 2,"18,836","30,587","NT$ 1,190.00",2024-08-26 12:01
52,1623730,Palworld,"18,652","35,697",NT$ 488.00,2024-08-26 12:01
53,1174180,Red Dead Redemption 2,"17,591","34,486","NT$ 1,790.00",2024-08-26 12:01
54,1623660,MIR4,"17,247","17,871",Free To Play,2024-08-26 12:01
55,218620,PAYDAY 2,"17,206","20,321",NT$ 188.00,2024-08-26 12:01
56,2344520,Diablo® IV,"17,189","32,547",NT$ 945.00,2024-08-26 12:01
57,346110,ARK: Survival Evolved,"17,153","37,528",NT$ 268.00,2024-08-26 12:01
58,1449850,Yu-Gi-Oh! Master Duel,"16,942","25,058",Free To Play,2024-08-26 12:01
59,1599340,Lost Ark(not available in your region),"16,708","26,049",Free To Play,2024-08-26 12:01
