Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Datetime
1,730,Counter-Strike 2,"606,736","1,250,645",2024-08-07 12:01
2,570,Dota 2,"306,956","668,302",2024-08-07 12:01
3,2923300,Banana,"306,641","410,819",2024-08-07 12:01
4,1172470,Apex Legends™,"139,049","199,465",2024-08-07 12:01
5,2139460,Once Human,"98,291","159,376",2024-08-07 12:01
6,1245620,ELDEN RING,"93,162","122,637",2024-08-07 12:01
7,1203220,NARAKA: BLADEPOINT,"89,692","283,359",2024-08-07 12:01
8,271590,Grand Theft Auto V,"82,644","164,505",2024-08-07 12:01
9,1938090,Call of Duty®,"74,119","84,977",2024-08-07 12:01
10,431960,Wallpaper Engine,"71,930","115,353",2024-08-07 12:01
11,252490,Rust,"70,322","132,936",2024-08-07 12:01
12,440,Team Fortress 2,"68,452","97,050",2024-08-07 12:01
13,238960,Path of Exile(not available in your region),"65,921","130,329",2024-08-07 12:01
14,1086940,Baldur's Gate 3,"64,651","86,600",2024-08-07 12:01
15,413150,Stardew Valley,"62,547","103,137",2024-08-07 12:01
16,2074920,The First Descendant,"61,034","89,981",2024-08-07 12:01
17,1085660,Destiny 2,"56,254","63,979",2024-08-07 12:01
18,251570,7 Days to Die,"54,308","89,372",2024-08-07 12:01
19,359550,Tom Clancy's Rainbow Six® Siege,"53,664","63,990",2024-08-07 12:01
20,553850,HELLDIVERS™ 2,"49,867","62,819",2024-08-07 12:01
21,381210,Dead by Daylight,"43,403","60,033",2024-08-07 12:01
22,236390,War Thunder,"42,540","76,671",2024-08-07 12:01
23,230410,Warframe,"40,296","54,767",2024-08-07 12:01
24,289070,Sid Meier’s Civilization® VI,"37,028","57,571",2024-08-07 12:01
25,39210,FINAL FANTASY XIV Online(not available in your region),"36,504","44,199",2024-08-07 12:01
26,2357570,Overwatch® 2,"31,759","45,548",2024-08-07 12:01
27,438100,VRChat,"30,784","34,346",2024-08-07 12:01
28,2195250,EA SPORTS FC™ 24,"30,173","60,854",2024-08-07 12:01
29,550,Left 4 Dead 2,"29,579","31,309",2024-08-07 12:01
30,105600,Terraria,"27,174","38,235",2024-08-07 12:01
31,1222670,The Sims™ 4,"26,565","43,567",2024-08-07 12:01
32,2252570,Football Manager 2024,"25,490","62,105",2024-08-07 12:01
33,1281930,tModLoader,"25,459","43,097",2024-08-07 12:01
34,2977660,Cats,"25,416","29,650",2024-08-07 12:01
35,394360,Hearts of Iron IV,"24,175","47,527",2024-08-07 12:01
36,304930,Unturned,"24,098","31,123",2024-08-07 12:01
37,1174180,Red Dead Redemption 2,"23,438","37,856",2024-08-07 12:01
38,1623730,Palworld,"23,265","42,139",2024-08-07 12:01
39,322330,Don't Starve Together,"23,223","46,946",2024-08-07 12:01
40,221100,DayZ,"22,875","49,991",2024-08-07 12:01
41,1366800,Crosshair X,"22,163","32,062",2024-08-07 12:01
42,108600,Project Zomboid,"22,123","28,019",2024-08-07 12:01
43,2016590,Dark and Darker,"20,650","25,241",2024-08-07 12:01
44,582010,Monster Hunter: World,"19,823","47,326",2024-08-07 12:01
45,346110,ARK: Survival Evolved,"19,582","35,606",2024-08-07 12:01
46,1782210,Crab Game,"19,023","59,734",2024-08-07 12:01
47,294100,RimWorld,"18,949","24,925",2024-08-07 12:01
48,275850,No Man's Sky,"18,503","27,194",2024-08-07 12:01
49,1091500,Cyberpunk 2077,"18,479","27,365",2024-08-07 12:01
50,578080,PUBG: BATTLEGROUNDS,"18,092","607,669",2024-08-07 12:01
51,377160,Fallout 4,"17,531","25,946",2024-08-07 12:01
52,4000,Garry's Mod,"17,006","33,705",2024-08-07 12:01
53,1623660,MIR4,"16,777","17,371",2024-08-07 12:01
54,252950,Rocket League®,"16,744","27,181",2024-08-07 12:01
55,960090,Bloons TD 6,"16,540","21,673",2024-08-07 12:01
56,489830,The Elder Scrolls V: Skyrim Special Edition,"16,446","22,818",2024-08-07 12:01
57,436150,Governor of Poker 3,"16,252","33,339",2024-08-07 12:01
58,1599340,Lost Ark(not available in your region),"16,131","24,169",2024-08-07 12:01
59,1449850,Yu-Gi-Oh! Master Duel,"15,978","25,809",2024-08-07 12:01
60,2448970,Dungeonborne(not available in your region),"15,402","26,346",2024-08-07 12:01
61,2344520,Diablo® IV,"15,250","15,711",2024-08-07 12:01
62,892970,Valheim,"15,133","26,922",2024-08-07 12:01
63,1966720,Lethal Company,"14,547","15,536",2024-08-07 12:01
64,739630,Phasmophobia,"14,302","25,529",2024-08-07 12:01
65,261550,Mount & Blade II: Bannerlord,"14,114","26,553",2024-08-07 12:01
66,218620,PAYDAY 2,"13,979","20,948",2024-08-07 12:01
67,3047030,Tapple - Idle Clicker,"13,340","35,614",2024-08-07 12:01
68,813780,Age of Empires II: Definitive Edition,"13,240","17,829",2024-08-07 12:01
69,250900,The Binding of Isaac: Rebirth,"13,145","19,930",2024-08-07 12:01
70,582660,Black Desert,"13,106","17,318",2024-08-07 12:01
71,1142710,Total War: WARHAMMER III,"12,935","21,756",2024-08-07 12:01
72,1238810,Battlefield™ V,"12,902","33,023",2024-08-07 12:01
73,646570,Slay the Spire,"12,676","16,905",2024-08-07 12:01
74,1158310,Crusader Kings III,"11,807","19,953",2024-08-07 12:01
75,232090,Killing Floor 2,"11,594","12,421",2024-08-07 12:01
76,548430,Deep Rock Galactic,"11,495","21,230",2024-08-07 12:01
77,1364780,Street Fighter™ 6,"11,493","27,348",2024-08-07 12:01
78,2073850,THE FINALS,"11,482","13,987",2024-08-07 12:01
79,8930,Sid Meier's Civilization® V,"11,469","17,073",2024-08-07 12:01
80,513710,SCUM,"11,057","19,980",2024-08-07 12:01
81,322170,Geometry Dash,"10,946","18,163",2024-08-07 12:01
82,227300,Euro Truck Simulator 2,"10,560","38,962",2024-08-07 12:01
83,629520,Soundpad,"10,491","17,471",2024-08-07 12:01
84,2399830,ARK: Survival Ascended,"10,312","14,056",2024-08-07 12:01
85,1248130,Farming Simulator 22,"9,942","36,073",2024-08-07 12:01
86,1454400,Cookie Clicker,"9,900","11,582",2024-08-07 12:01
87,281990,Stellaris,"9,626","13,051",2024-08-07 12:01
88,386360,SMITE®,"9,599","11,105",2024-08-07 12:01
89,2338770,NBA 2K24,"9,595","17,527",2024-08-07 12:01
90,2709440,Delta Force Playtest,"9,518","18,538",2024-08-07 12:01
91,236850,Europa Universalis IV,"9,444","17,498",2024-08-07 12:01
92,427520,Factorio,"9,369","15,780",2024-08-07 12:01
