Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Datetime
1,730,Counter-Strike 2,"677,957","1,309,558",2024-08-08 12:01
2,2923300,Banana,"333,027","425,963",2024-08-08 12:01
3,570,Dota 2,"288,113","659,360",2024-08-08 12:01
4,578080,PUBG: BATTLEGROUNDS,"182,961","648,220",2024-08-08 12:01
5,1172470,Apex Legends™,"113,238","314,694",2024-08-08 12:01
6,1203220,NARAKA: BLADEPOINT,"102,037","278,824",2024-08-08 12:01
7,2139460,Once Human,"98,017","152,464",2024-08-08 12:01
8,1245620,ELDEN RING,"89,152","117,866",2024-08-08 12:01
9,271590,Grand Theft Auto V,"82,578","164,656",2024-08-08 12:01
10,1938090,Call of Duty®,"73,834","86,845",2024-08-08 12:01
11,431960,Wallpaper Engine,"71,805","115,734",2024-08-08 12:01
12,440,Team Fortress 2,"69,421","81,538",2024-08-08 12:01
13,252490,Rust,"64,960","121,785",2024-08-08 12:01
14,1086940,Baldur's Gate 3,"64,665","86,796",2024-08-08 12:01
15,238960,Path of Exile(not available in your region),"64,094","126,790",2024-08-08 12:01
16,413150,Stardew Valley,"61,370","101,858",2024-08-08 12:01
17,2074920,The First Descendant,"57,650","82,916",2024-08-08 12:01
18,251570,7 Days to Die,"53,175","85,563",2024-08-08 12:01
19,359550,Tom Clancy's Rainbow Six® Siege,"53,119","63,652",2024-08-08 12:01
20,1782210,Crab Game,"48,995","59,294",2024-08-08 12:01
21,1085660,Destiny 2,"47,946","54,928",2024-08-08 12:01
22,381210,Dead by Daylight,"43,648","57,796",2024-08-08 12:01
23,236390,War Thunder,"42,465","77,215",2024-08-08 12:01
24,230410,Warframe,"40,254","52,903",2024-08-08 12:01
25,553850,HELLDIVERS™ 2,"39,484","47,172",2024-08-08 12:01
26,289070,Sid Meier’s Civilization® VI,"36,289","56,803",2024-08-08 12:01
27,438100,VRChat,"34,538","34,538",2024-08-08 12:01
28,39210,FINAL FANTASY XIV Online(not available in your region),"34,229","42,049",2024-08-08 12:01
29,436150,Governor of Poker 3,"32,392","33,699",2024-08-08 12:01
30,2357570,Overwatch® 2,"31,444","43,557",2024-08-08 12:01
31,1973530,Limbus Company,"31,437","31,437",2024-08-08 12:01
32,2195250,EA SPORTS FC™ 24,"29,197","59,537",2024-08-08 12:01
33,550,Left 4 Dead 2,"28,661","30,097",2024-08-08 12:01
34,1281930,tModLoader,"27,925","43,137",2024-08-08 12:01
35,1222670,The Sims™ 4,"26,271","42,029",2024-08-08 12:01
36,2977660,Cats,"25,790","26,124",2024-08-08 12:01
37,2252570,Football Manager 2024,"25,671","62,386",2024-08-08 12:01
38,394360,Hearts of Iron IV,"24,607","46,936",2024-08-08 12:01
39,105600,Terraria,"24,479","36,761",2024-08-08 12:01
40,304930,Unturned,"24,328","30,147",2024-08-08 12:01
41,1623730,Palworld,"23,928","40,107",2024-08-08 12:01
42,322330,Don't Starve Together,"22,903","47,275",2024-08-08 12:01
43,1174180,Red Dead Redemption 2,"22,693","37,721",2024-08-08 12:01
44,1599340,Lost Ark(not available in your region),"22,451","29,772",2024-08-08 12:01
45,221100,DayZ,"22,152","48,684",2024-08-08 12:01
46,108600,Project Zomboid,"21,851","27,412",2024-08-08 12:01
47,1366800,Crosshair X,"21,428","35,101",2024-08-08 12:01
48,582010,Monster Hunter: World,"20,140","47,083",2024-08-08 12:01
49,2016590,Dark and Darker,"19,548","24,773",2024-08-08 12:01
50,346110,ARK: Survival Evolved,"19,029","35,070",2024-08-08 12:01
51,294100,RimWorld,"18,982","24,520",2024-08-08 12:01
52,1091500,Cyberpunk 2077,"18,281","26,647",2024-08-08 12:01
53,218620,PAYDAY 2,"17,231","21,661",2024-08-08 12:01
54,275850,No Man's Sky,"17,191","26,165",2024-08-08 12:01
55,252950,Rocket League®,"17,135","27,752",2024-08-08 12:01
56,377160,Fallout 4,"16,897","25,350",2024-08-08 12:01
57,2344520,Diablo® IV,"16,897","26,274",2024-08-08 12:01
58,1623660,MIR4,"16,763","17,706",2024-08-08 12:01
59,4000,Garry's Mod,"16,278","33,397",2024-08-08 12:01
60,489830,The Elder Scrolls V: Skyrim Special Edition,"16,266","22,465",2024-08-08 12:01
61,960090,Bloons TD 6,"15,743","20,499",2024-08-08 12:01
62,892970,Valheim,"14,450","26,499",2024-08-08 12:01
63,2448970,Dungeonborne(not available in your region),"14,363","23,914",2024-08-08 12:01
64,1449850,Yu-Gi-Oh! Master Duel,"14,355","23,601",2024-08-08 12:01
65,1966720,Lethal Company,"14,079","15,556",2024-08-08 12:01
66,261550,Mount & Blade II: Bannerlord,"13,979","26,671",2024-08-08 12:01
67,739630,Phasmophobia,"13,837","25,565",2024-08-08 12:01
68,1238810,Battlefield™ V,"13,658","34,286",2024-08-08 12:01
69,1142710,Total War: WARHAMMER III,"13,563","23,691",2024-08-08 12:01
70,250900,The Binding of Isaac: Rebirth,"13,032","20,014",2024-08-08 12:01
71,3047030,Tapple - Idle Clicker,"12,800","35,880",2024-08-08 12:01
72,813780,Age of Empires II: Definitive Edition,"12,753","17,934",2024-08-08 12:01
73,2073850,THE FINALS,"12,656","14,518",2024-08-08 12:01
74,646570,Slay the Spire,"12,617","16,911",2024-08-08 12:01
75,548430,Deep Rock Galactic,"12,260","21,405",2024-08-08 12:01
76,582660,Black Desert,"11,912","17,084",2024-08-08 12:01
77,232090,Killing Floor 2,"11,830","12,404",2024-08-08 12:01
78,1158310,Crusader Kings III,"11,687","19,835",2024-08-08 12:01
79,8930,Sid Meier's Civilization® V,"11,658","16,992",2024-08-08 12:01
80,1364780,Street Fighter™ 6,"11,221","26,245",2024-08-08 12:01
81,513710,SCUM,"11,099","19,871",2024-08-08 12:01
82,322170,Geometry Dash,"10,759","18,109",2024-08-08 12:01
83,629520,Soundpad,"10,545","18,058",2024-08-08 12:01
84,2399830,ARK: Survival Ascended,"10,296","13,855",2024-08-08 12:01
85,1454400,Cookie Clicker,"10,236","12,079",2024-08-08 12:01
86,227300,Euro Truck Simulator 2,"10,182","39,467",2024-08-08 12:01
87,291550,Brawlhalla,"10,147","15,091",2024-08-08 12:01
88,2349820,Hero's Land,"10,130","13,708",2024-08-08 12:01
89,714010,Aimlabs,"9,767","15,141",2024-08-08 12:01
90,1248130,Farming Simulator 22,"9,712","36,680",2024-08-08 12:01
91,281990,Stellaris,"9,610","13,045",2024-08-08 12:01
92,240,Counter-Strike: Source,"9,597","15,369",2024-08-08 12:01
93,2338770,NBA 2K24,"9,516","17,808",2024-08-08 12:01
94,386360,SMITE®,"9,461","11,448",2024-08-08 12:01
95,236850,Europa Universalis IV,"9,440","17,206",2024-08-08 12:01
96,427520,Factorio,"9,304","15,870",2024-08-08 12:01
97,216150,MapleStory(not available in your region),"9,218","9,354",2024-08-08 12:01
98,284160,BeamNG.drive,"9,128","17,651",2024-08-08 12:01
99,594650,Hunt: Showdown,"8,952","20,590",2024-08-08 12:01
100,1920960,VPet-Simulator,"8,823","12,317",2024-08-08 12:01
