Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,2358720,Black Myth: Wukong,"1,270,305","1,270,305","NT$ 1,280.00",2024-08-20 12:01
2,730,Counter-Strike 2,"679,566","1,368,431",Free To Play,2024-08-20 12:01
3,2923300,Banana,"418,242","588,598",Free To Play,2024-08-20 12:01
4,570,Dota 2,"277,066","632,681",Free To Play,2024-08-20 12:01
5,578080,PUBG: BATTLEGROUNDS,"152,714","661,585",Free To Play,2024-08-20 12:01
6,2139460,Once Human,"85,589","147,870",Free To Play,2024-08-20 12:01
7,1172470,Apex Legends™,"79,549","232,042",Free To Play,2024-08-20 12:01
8,1203220,NARAKA: BLADEPOINT,"77,176","275,660",Free To Play,2024-08-20 12:01
9,271590,Grand Theft Auto V,"74,168","162,044",NT$ 480.00,2024-08-20 12:01
10,431960,Wallpaper Engine,"68,063","121,654",NT$ 120.00,2024-08-20 12:01
11,1086940,Baldur's Gate 3,"63,145","91,989","NT$ 1,599.00",2024-08-20 12:01
12,1938090,Call of Duty®,"62,448","80,525","NT$ 1,599.00",2024-08-20 12:01
13,252490,Rust,"59,209","119,043",NT$ 694.00,2024-08-20 12:01
14,440,Team Fortress 2,"59,192","67,877",Free To Play,2024-08-20 12:01
15,1245620,ELDEN RING,"58,886","91,569","NT$ 1,790.00",2024-08-20 12:01
16,413150,Stardew Valley,"55,458","100,162",NT$ 398.00,2024-08-20 12:01
17,238960,Path of Exile(not available in your region),"47,756","96,724",NT$ 398.00,2024-08-20 12:01
18,1782210,Crab Game,"46,996","54,720",Free To Play,2024-08-20 12:01
19,359550,Tom Clancy's Rainbow Six® Siege,"44,368","57,593",NT$ 569.00,2024-08-20 12:01
20,236390,War Thunder,"42,379","83,736",Free To Play,2024-08-20 12:01
21,251570,7 Days to Die,"41,376","73,052",NT$ 670.00,2024-08-20 12:01
22,436150,Governor of Poker 3,"37,723","41,517",Free To Play,2024-08-20 12:01
23,2074920,The First Descendant,"37,577","57,669",Free To Play,2024-08-20 12:01
24,230410,Warframe,"37,473","53,681",Free To Play,2024-08-20 12:01
25,289070,Sid Meier’s Civilization® VI,"36,182","59,641",NT$ 179.00,2024-08-20 12:01
26,438100,VRChat,"32,756","35,909",Free To Play,2024-08-20 12:01
27,1966720,Lethal Company,"32,368","37,981",NT$ 188.00,2024-08-20 12:01
28,381210,Dead by Daylight,"30,298","46,911",NT$ 379.00,2024-08-20 12:01
29,2357570,Overwatch® 2,"29,929","46,082",Free To Play,2024-08-20 12:01
30,1085660,Destiny 2,"29,319","34,171",Free To Play,2024-08-20 12:01
