Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,730,Counter-Strike 2,"731,901","1,292,977",Free To Play,2024-08-17 12:01
2,2923300,Banana,"395,948","516,852",Free To Play,2024-08-17 12:01
3,570,Dota 2,"337,977","650,479",Free To Play,2024-08-17 12:01
4,578080,PUBG: BATTLEGROUNDS,"195,759","656,361",Free To Play,2024-08-17 12:01
5,1172470,Apex Legends™,"107,161","249,860",Free To Play,2024-08-17 12:01
6,2139460,Once Human,"100,985","140,548",Free To Play,2024-08-17 12:01
7,1203220,NARAKA: BLADEPOINT,"96,277","277,156",Free To Play,2024-08-17 12:01
8,271590,Grand Theft Auto V,"92,018","171,661",NT$ 974.00,2024-08-17 12:01
9,1245620,ELDEN RING,"85,872","100,262","NT$ 1,790.00",2024-08-17 12:01
10,1938090,Call of Duty®,"81,051","84,545","NT$ 1,790.00",2024-08-17 12:01
11,252490,Rust,"74,929","126,537",NT$ 694.00,2024-08-17 12:01
12,1086940,Baldur's Gate 3,"74,769","86,456","NT$ 1,599.00",2024-08-17 12:01
13,431960,Wallpaper Engine,"74,347","113,209",NT$ 120.00,2024-08-17 12:01
14,413150,Stardew Valley,"66,791","102,049",NT$ 398.00,2024-08-17 12:01
15,440,Team Fortress 2,"66,418","70,684",Free To Play,2024-08-17 12:01
16,251570,7 Days to Die,"59,254","80,837",NT$ 670.00,2024-08-17 12:01
17,238960,Path of Exile(not available in your region),"59,021","101,498",NT$ 670.00,2024-08-17 12:01
18,359550,Tom Clancy's Rainbow Six® Siege,"55,789","59,635",NT$ 569.00,2024-08-17 12:01
19,1782210,Crab Game,"55,306","55,306",Free To Play,2024-08-17 12:01
20,2074920,The First Descendant,"52,795","62,500",Free To Play,2024-08-17 12:01
21,236390,War Thunder,"51,950","89,308",Free To Play,2024-08-17 12:01
22,289070,Sid Meier’s Civilization® VI,"46,450","62,984","NT$ 1,790.00",2024-08-17 12:01
23,438100,VRChat,"43,788","43,788",Free To Play,2024-08-17 12:01
24,230410,Warframe,"43,452","53,213",Free To Play,2024-08-17 12:01
25,1085660,Destiny 2,"41,579","42,298",Free To Play,2024-08-17 12:01
26,436150,Governor of Poker 3,"40,518","44,692",Free To Play,2024-08-17 12:01
27,2195250,EA SPORTS FC™ 24,"37,347","63,002","NT$ 1,999.00",2024-08-17 12:01
28,2357570,Overwatch® 2,"37,170","47,524",Free To Play,2024-08-17 12:01
29,381210,Dead by Daylight,"37,112","47,974",NT$ 379.00,2024-08-17 12:01
30,553850,HELLDIVERS™ 2,"35,032","36,897","NT$ 1,190.00",2024-08-17 12:01
31,582010,Monster Hunter: World,"34,330","61,283",NT$ 303.00,2024-08-17 12:01
32,3047030,Tapple - Idle Clicker,"33,859","38,838",Free To Play,2024-08-17 12:01
