Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,2358720,Black Myth: Wukong,"1,018,100","2,358,580","NT$ 1,280.00",2024-08-22 12:01
2,730,Counter-Strike 2,"670,655","1,313,376",Free To Play,2024-08-22 12:01
3,2923300,Banana,"433,149","435,953",Free To Play,2024-08-22 12:01
4,570,Dota 2,"282,156","592,593",Free To Play,2024-08-22 12:01
5,578080,PUBG: BATTLEGROUNDS,"150,677","591,609",Free To Play,2024-08-22 12:01
6,2139460,Once Human,"81,148","132,019",Free To Play,2024-08-22 12:01
7,1172470,Apex Legends™,"78,366","199,055",Free To Play,2024-08-22 12:01
8,271590,Grand Theft Auto V,"74,944","155,422",NT$ 480.00,2024-08-22 12:01
9,1203220,NARAKA: BLADEPOINT,"71,825","235,097",Free To Play,2024-08-22 12:01
10,431960,Wallpaper Engine,"68,425","109,768",NT$ 120.00,2024-08-22 12:01
11,1086940,Baldur's Gate 3,"59,859","83,897","NT$ 1,599.00",2024-08-22 12:01
12,1938090,Call of Duty®,"56,080","63,179","NT$ 1,599.00",2024-08-22 12:01
13,1245620,ELDEN RING,"54,434","72,594","NT$ 1,790.00",2024-08-22 12:01
14,413150,Stardew Valley,"52,880","88,672",NT$ 398.00,2024-08-22 12:01
15,230410,Warframe,"47,642","68,185",Free To Play,2024-08-22 12:01
16,252490,Rust,"47,455","96,087",NT$ 694.00,2024-08-22 12:01
17,440,Team Fortress 2,"45,670","53,166",Free To Play,2024-08-22 12:01
18,359550,Tom Clancy's Rainbow Six® Siege,"44,201","54,940",NT$ 569.00,2024-08-22 12:01
19,238960,Path of Exile(not available in your region),"43,278","85,919",NT$ 569.00,2024-08-22 12:01
20,1782210,Crab Game,"42,971","48,472",Free To Play,2024-08-22 12:01
21,236390,War Thunder,"41,566","79,391",Free To Play,2024-08-22 12:01
22,2357570,Overwatch® 2,"40,825","59,158",Free To Play,2024-08-22 12:01
23,289070,Sid Meier’s Civilization® VI,"40,406","59,688",NT$ 179.00,2024-08-22 12:01
24,436150,Governor of Poker 3,"39,319","39,319",Free To Play,2024-08-22 12:01
25,251570,7 Days to Die,"38,704","64,040",NT$ 670.00,2024-08-22 12:01
26,1973530,Limbus Company,"35,378","35,378",Free To Play,2024-08-22 12:01
27,2074920,The First Descendant,"33,584","49,214",Free To Play,2024-08-22 12:01
28,438100,VRChat,"32,939","34,836",Free To Play,2024-08-22 12:01
29,381210,Dead by Daylight,"30,196","43,130",NT$ 379.00,2024-08-22 12:01
30,1966720,Lethal Company,"29,438","33,186",NT$ 188.00,2024-08-22 12:01
31,39210,FINAL FANTASY XIV Online(not available in your region),"27,784","34,324",NT$ 188.00,2024-08-22 12:01
32,1085660,Destiny 2,"27,706","31,323",Free To Play,2024-08-22 12:01
33,2252570,Football Manager 2024,"27,624","69,371","NT$ 1,299.00",2024-08-22 12:01
34,2977660,Cats,"26,693","27,830",Free To Play,2024-08-22 12:01
35,582010,Monster Hunter: World,"26,613","52,718",NT$ 303.00,2024-08-22 12:01
36,2195250,EA SPORTS FC™ 24,"26,124","57,210","NT$ 1,999.00",2024-08-22 12:01
37,550,Left 4 Dead 2,"24,594","25,540",NT$ 188.00,2024-08-22 12:01
38,304930,Unturned,"24,225","28,983",Free To Play,2024-08-22 12:01
39,1222670,The Sims™ 4,"23,037","37,311",Free To Play,2024-08-22 12:01
40,1281930,tModLoader,"22,652","34,840",Free To Play,2024-08-22 12:01
41,394360,Hearts of Iron IV,"22,421","47,031","NT$ 1,268.00",2024-08-22 12:01
42,1366800,Crosshair X,"22,002","35,416",NT$ 144.00,2024-08-22 12:01
43,1091500,Cyberpunk 2077,"21,988","32,532","NT$ 1,599.00",2024-08-22 12:01
44,553850,HELLDIVERS™ 2,"21,648","26,362","NT$ 1,190.00",2024-08-22 12:01
45,105600,Terraria,"20,874","31,805",NT$ 188.00,2024-08-22 12:01
46,221100,DayZ,"20,615","46,405","NT$ 1,499.00",2024-08-22 12:01
47,322330,Don't Starve Together,"19,779","38,767",NT$ 268.00,2024-08-22 12:01
48,108600,Project Zomboid,"19,140","25,018",NT$ 328.00,2024-08-22 12:01
49,489830,The Elder Scrolls V: Skyrim Special Edition,"19,054","27,038","NT$ 1,199.00",2024-08-22 12:01
50,294100,RimWorld,"18,081","23,803",NT$ 529.00,2024-08-22 12:01
51,218620,PAYDAY 2,"17,794","19,314",NT$ 188.00,2024-08-22 12:01
52,594650,Hunt: Showdown 1896,"17,658","37,510",NT$ 639.00,2024-08-22 12:01
53,1174180,Red Dead Redemption 2,"17,623","29,801","NT$ 1,790.00",2024-08-22 12:01
54,1623660,MIR4,"17,148","18,138",Free To Play,2024-08-22 12:01
55,346110,ARK: Survival Evolved,"16,929","33,246",NT$ 268.00,2024-08-22 12:01
56,1623730,Palworld,"16,729","30,607",NT$ 488.00,2024-08-22 12:01
57,252950,Rocket League®,"16,460","26,134",NT$ 488.00,2024-08-22 12:01
58,1599340,Lost Ark(not available in your region),"16,351","25,115",NT$ 488.00,2024-08-22 12:01
59,1449850,Yu-Gi-Oh! Master Duel,"16,004","24,298",Free To Play,2024-08-22 12:01
60,377160,Fallout 4,"15,569","23,418",NT$ 599.00,2024-08-22 12:01
61,2344520,Diablo® IV,"15,090","19,452",NT$ 945.00,2024-08-22 12:01
62,4000,Garry's Mod,"14,146","30,252",NT$ 278.00,2024-08-22 12:01
63,3047030,Tapple - Idle Clicker,"14,092","40,421",Free To Play,2024-08-22 12:01
64,2709570,Supermarket Together,"13,800","32,650",Free To Play,2024-08-22 12:01
65,2016590,Dark and Darker,"13,786","18,137",Free To Play,2024-08-22 12:01
66,1142710,Total War: WARHAMMER III,"13,282","25,388","NT$ 1,790.00",2024-08-22 12:01
67,813780,Age of Empires II: Definitive Edition,"12,896","18,097",NT$ 679.00,2024-08-22 12:01
