Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,2358720,Black Myth: Wukong,"1,055,687","2,223,179","NT$ 1,280.00",2024-08-21 12:01
2,730,Counter-Strike 2,"650,806","1,275,540",Free To Play,2024-08-21 12:01
3,2923300,Banana,"361,610","436,289",Free To Play,2024-08-21 12:01
4,570,Dota 2,"283,634","603,265",Free To Play,2024-08-21 12:01
5,578080,PUBG: BATTLEGROUNDS,"92,205","614,900",Free To Play,2024-08-21 12:01
6,2139460,Once Human,"81,889","138,346",Free To Play,2024-08-21 12:01
7,1172470,Apex Legends™,"79,394","192,486",Free To Play,2024-08-21 12:01
8,271590,Grand Theft Auto V,"75,047","155,940",NT$ 480.00,2024-08-21 12:01
9,1203220,NARAKA: BLADEPOINT,"73,644","241,845",Free To Play,2024-08-21 12:01
10,431960,Wallpaper Engine,"68,254","109,804",NT$ 120.00,2024-08-21 12:01
11,1938090,Call of Duty®,"63,092","76,453",NT$ 120.00,2024-08-21 12:01
12,1086940,Baldur's Gate 3,"61,324","85,016","NT$ 1,599.00",2024-08-21 12:01
13,1245620,ELDEN RING,"56,532","75,811","NT$ 1,790.00",2024-08-21 12:01
14,413150,Stardew Valley,"54,320","92,011",NT$ 398.00,2024-08-21 12:01
15,252490,Rust,"50,355","109,161",NT$ 694.00,2024-08-21 12:01
16,2357570,Overwatch® 2,"47,790","56,953",Free To Play,2024-08-21 12:01
17,238960,Path of Exile(not available in your region),"44,927","88,087",Free To Play,2024-08-21 12:01
18,440,Team Fortress 2,"44,889","62,159",Free To Play,2024-08-21 12:01
19,359550,Tom Clancy's Rainbow Six® Siege,"44,009","55,004",NT$ 569.00,2024-08-21 12:01
20,236390,War Thunder,"42,027","85,754",Free To Play,2024-08-21 12:01
21,251570,7 Days to Die,"39,774","66,540",NT$ 670.00,2024-08-21 12:01
22,289070,Sid Meier’s Civilization® VI,"38,269","55,304",NT$ 179.00,2024-08-21 12:01
23,230410,Warframe,"37,961","50,593",Free To Play,2024-08-21 12:01
24,2074920,The First Descendant,"35,502","52,525",Free To Play,2024-08-21 12:01
25,3047030,Tapple - Idle Clicker,"32,155","38,704",Free To Play,2024-08-21 12:01
26,1085660,Destiny 2,"31,499","35,656",Free To Play,2024-08-21 12:01
27,438100,VRChat,"30,890","35,295",Free To Play,2024-08-21 12:01
28,381210,Dead by Daylight,"30,685","44,528",NT$ 379.00,2024-08-21 12:01
29,1966720,Lethal Company,"30,363","33,923",NT$ 188.00,2024-08-21 12:01
30,39210,FINAL FANTASY XIV Online(not available in your region),"29,564","36,970",NT$ 188.00,2024-08-21 12:01
31,2252570,Football Manager 2024,"27,479","69,396",NT$ 519.00,2024-08-21 12:01
32,2977660,Cats,"26,523","27,270",Free To Play,2024-08-21 12:01
33,2195250,EA SPORTS FC™ 24,"26,518","58,859","NT$ 1,999.00",2024-08-21 12:01
34,582010,Monster Hunter: World,"25,401","51,910",NT$ 303.00,2024-08-21 12:01
35,550,Left 4 Dead 2,"24,811","26,172",NT$ 188.00,2024-08-21 12:01
36,1782210,Crab Game,"24,692","54,339",Free To Play,2024-08-21 12:01
37,1222670,The Sims™ 4,"23,349","37,604",Free To Play,2024-08-21 12:01
38,394360,Hearts of Iron IV,"22,991","47,791","NT$ 1,268.00",2024-08-21 12:01
39,1366800,Crosshair X,"22,750","34,102",NT$ 144.00,2024-08-21 12:01
40,1091500,Cyberpunk 2077,"22,722","34,246","NT$ 1,599.00",2024-08-21 12:01
41,105600,Terraria,"22,475","32,777",NT$ 188.00,2024-08-21 12:01
42,304930,Unturned,"22,445","31,565",Free To Play,2024-08-21 12:01
43,1281930,tModLoader,"21,817","36,757",Free To Play,2024-08-21 12:01
44,553850,HELLDIVERS™ 2,"21,765","26,425","NT$ 1,190.00",2024-08-21 12:01
45,221100,DayZ,"20,471","47,032","NT$ 1,499.00",2024-08-21 12:01
46,489830,The Elder Scrolls V: Skyrim Special Edition,"19,351","27,226",NT$ 299.00,2024-08-21 12:01
47,108600,Project Zomboid,"19,085","25,736",NT$ 328.00,2024-08-21 12:01
48,322330,Don't Starve Together,"19,001","40,593",NT$ 268.00,2024-08-21 12:01
49,1623730,Palworld,"18,438","31,878",NT$ 488.00,2024-08-21 12:01
50,294100,RimWorld,"18,307","24,122",NT$ 529.00,2024-08-21 12:01
51,1174180,Red Dead Redemption 2,"17,677","30,720","NT$ 1,790.00",2024-08-21 12:01
52,594650,Hunt: Showdown 1896,"17,633","38,239",NT$ 639.00,2024-08-21 12:01
53,346110,ARK: Survival Evolved,"17,464","33,554",NT$ 268.00,2024-08-21 12:01
54,1623660,MIR4,"17,180","17,658",Free To Play,2024-08-21 12:01
55,1449850,Yu-Gi-Oh! Master Duel,"16,368","25,774",Free To Play,2024-08-21 12:01
56,252950,Rocket League®,"16,208","26,345",Free To Play,2024-08-21 12:01
57,377160,Fallout 4,"15,937","23,626",NT$ 239.00,2024-08-21 12:01
58,2889840,Spectre Divide Playtest,"15,399","21,171",NT$ 239.00,2024-08-21 12:01
59,1599340,Lost Ark(not available in your region),"14,975","21,060",NT$ 239.00,2024-08-21 12:01
60,4000,Garry's Mod,"14,497","30,387",NT$ 278.00,2024-08-21 12:01
61,436150,Governor of Poker 3,"14,396","37,673",Free To Play,2024-08-21 12:01
62,2016590,Dark and Darker,"14,131","19,194",Free To Play,2024-08-21 12:01
63,2709570,Supermarket Together,"14,047","33,133",Free To Play,2024-08-21 12:01
64,892970,Valheim,"13,192","24,048",NT$ 318.00,2024-08-21 12:01
65,813780,Age of Empires II: Definitive Edition,"12,903","18,397",NT$ 679.00,2024-08-21 12:01
66,739630,Phasmophobia,"12,803","25,520",NT$ 248.00,2024-08-21 12:01
67,1142710,Total War: WARHAMMER III,"12,746","23,750","NT$ 1,790.00",2024-08-21 12:01
68,261550,Mount & Blade II: Bannerlord,"12,349","23,767","NT$ 1,399.00",2024-08-21 12:01
69,8930,Sid Meier's Civilization® V,"12,228","17,864",NT$ 223.00,2024-08-21 12:01
70,1238810,Battlefield™ V,"12,063","32,054","NT$ 1,399.00",2024-08-21 12:01
71,1454400,Cookie Clicker,"11,963","14,268",NT$ 102.00,2024-08-21 12:01
72,960090,Bloons TD 6,"11,696","15,518",NT$ 248.00,2024-08-21 12:01
73,250900,The Binding of Isaac: Rebirth,"11,467","18,511",NT$ 268.00,2024-08-21 12:01
74,232090,Killing Floor 2,"11,430","12,677",NT$ 688.00,2024-08-21 12:01
