Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,730,Counter-Strike 2,"725,148","1,262,700",Free To Play,2024-08-11 12:01
2,2923300,Banana,"396,380","398,830",Free To Play,2024-08-11 12:01
3,570,Dota 2,"353,125","693,519",Free To Play,2024-08-11 12:01
4,578080,PUBG: BATTLEGROUNDS,"214,994","674,658",Free To Play,2024-08-11 12:01
5,1172470,Apex Legends™,"120,251","257,184",Free To Play,2024-08-11 12:01
6,2139460,Once Human,"113,723","157,900",Free To Play,2024-08-11 12:01
7,1245620,ELDEN RING,"107,168","131,570","NT$ 1,790.00",2024-08-11 12:01
8,1203220,NARAKA: BLADEPOINT,"98,739","261,939",Free To Play,2024-08-11 12:01
9,271590,Grand Theft Auto V,"95,738","170,187",NT$ 662.00,2024-08-11 12:01
10,1938090,Call of Duty®,"84,860","91,145",NT$ 662.00,2024-08-11 12:01
11,1086940,Baldur's Gate 3,"82,446","103,726","NT$ 1,599.00",2024-08-11 12:01
12,431960,Wallpaper Engine,"78,263","115,374",NT$ 120.00,2024-08-11 12:01
13,440,Team Fortress 2,"78,106","90,740",Free To Play,2024-08-11 12:01
14,252490,Rust,"77,469","133,004",NT$ 694.00,2024-08-11 12:01
15,413150,Stardew Valley,"72,517","107,082",NT$ 318.00,2024-08-11 12:01
16,251570,7 Days to Die,"71,535","98,536",NT$ 670.00,2024-08-11 12:01
17,238960,Path of Exile(not available in your region),"69,904","125,131",NT$ 670.00,2024-08-11 12:01
18,2074920,The First Descendant,"65,904","83,178",Free To Play,2024-08-11 12:01
19,359550,Tom Clancy's Rainbow Six® Siege,"59,539","64,422",NT$ 569.00,2024-08-11 12:01
20,1782210,Crab Game,"58,641","58,641",Free To Play,2024-08-11 12:01
21,236390,War Thunder,"56,878","100,266",Free To Play,2024-08-11 12:01
22,1085660,Destiny 2,"49,900","52,223",Free To Play,2024-08-11 12:01
23,289070,Sid Meier’s Civilization® VI,"47,822","66,451","NT$ 1,790.00",2024-08-11 12:01
24,230410,Warframe,"47,792","58,852",Free To Play,2024-08-11 12:01
25,553850,HELLDIVERS™ 2,"45,504","50,176","NT$ 1,190.00",2024-08-11 12:01
26,438100,VRChat,"44,256","44,767",Free To Play,2024-08-11 12:01
27,381210,Dead by Daylight,"42,903","55,631",NT$ 379.00,2024-08-11 12:01
28,2195250,EA SPORTS FC™ 24,"39,399","69,059","NT$ 1,999.00",2024-08-11 12:01
29,39210,FINAL FANTASY XIV Online(not available in your region),"38,372","44,508","NT$ 1,999.00",2024-08-11 12:01
30,436150,Governor of Poker 3,"37,235","42,190",Free To Play,2024-08-11 12:01
31,2357570,Overwatch® 2,"36,209","45,963",Free To Play,2024-08-11 12:01
32,550,Left 4 Dead 2,"34,202","34,225",NT$ 188.00,2024-08-11 12:01
33,1281930,tModLoader,"31,888","43,207",Free To Play,2024-08-11 12:01
34,3016800,Mecha BREAK Playtest,"31,640","51,382",Free To Play,2024-08-11 12:01
35,1623730,Palworld,"31,629","43,900",NT$ 488.00,2024-08-11 12:01
36,2252570,Football Manager 2024,"30,539","65,209","NT$ 1,299.00",2024-08-11 12:01
37,1222670,The Sims™ 4,"30,064","41,578",Free To Play,2024-08-11 12:01
38,394360,Hearts of Iron IV,"29,871","53,549","NT$ 1,268.00",2024-08-11 12:01
39,582010,Monster Hunter: World,"29,836","52,595",NT$ 920.00,2024-08-11 12:01
40,221100,DayZ,"29,298","53,538","NT$ 1,499.00",2024-08-11 12:01
41,322330,Don't Starve Together,"28,637","49,354",NT$ 268.00,2024-08-11 12:01
42,105600,Terraria,"27,927","37,701",NT$ 188.00,2024-08-11 12:01
43,1174180,Red Dead Redemption 2,"27,747","40,266","NT$ 1,790.00",2024-08-11 12:01
44,2977660,Cats,"27,528","27,581",Free To Play,2024-08-11 12:01
45,108600,Project Zomboid,"27,218","32,339",NT$ 328.00,2024-08-11 12:01
46,304930,Unturned,"26,550","29,812",Free To Play,2024-08-11 12:01
47,346110,ARK: Survival Evolved,"25,032","38,621",NT$ 268.00,2024-08-11 12:01
48,1366800,Crosshair X,"24,292","33,581",NT$ 144.00,2024-08-11 12:01
49,1449850,Yu-Gi-Oh! Master Duel,"23,969","29,789",Free To Play,2024-08-11 12:01
50,2344520,Diablo® IV,"23,729","32,567","NT$ 1,575.00",2024-08-11 12:01
51,294100,RimWorld,"23,076","28,665",NT$ 529.00,2024-08-11 12:01
52,1091500,Cyberpunk 2077,"22,959","31,350","NT$ 1,599.00",2024-08-11 12:01
53,377160,Fallout 4,"22,204","29,814",NT$ 239.00,2024-08-11 12:01
54,489830,The Elder Scrolls V: Skyrim Special Edition,"22,129","28,961",NT$ 299.00,2024-08-11 12:01
55,2016590,Dark and Darker,"21,326","24,611",Free To Play,2024-08-11 12:01
56,1599340,Lost Ark(not available in your region),"21,129","27,641",Free To Play,2024-08-11 12:01
57,275850,No Man's Sky,"20,805","28,674",NT$ 898.00,2024-08-11 12:01
58,218620,PAYDAY 2,"19,283","20,974",NT$ 188.00,2024-08-11 12:01
59,4000,Garry's Mod,"18,828","33,006",NT$ 278.00,2024-08-11 12:01
60,252950,Rocket League®,"18,601","26,220",NT$ 278.00,2024-08-11 12:01
61,1142710,Total War: WARHAMMER III,"18,491","28,633","NT$ 1,790.00",2024-08-11 12:01
62,892970,Valheim,"18,439","29,725",NT$ 318.00,2024-08-11 12:01
63,739630,Phasmophobia,"18,285","26,782",NT$ 198.00,2024-08-11 12:01
64,1966720,Lethal Company,"18,211","18,398",NT$ 188.00,2024-08-11 12:01
65,261550,Mount & Blade II: Bannerlord,"18,063","28,893","NT$ 1,399.00",2024-08-11 12:01
66,960090,Bloons TD 6,"17,225","20,945",NT$ 248.00,2024-08-11 12:01
67,813780,Age of Empires II: Definitive Edition,"17,201","21,976",NT$ 679.00,2024-08-11 12:01
68,1238810,Battlefield™ V,"17,096","36,783",NT$ 209.00,2024-08-11 12:01
69,1623660,MIR4,"16,689","17,757",Free To Play,2024-08-11 12:01
70,2448970,Dungeonborne(not available in your region),"15,907","22,570",Free To Play,2024-08-11 12:01
71,548430,Deep Rock Galactic,"15,159","24,294",NT$ 144.00,2024-08-11 12:01
72,1973530,Limbus Company,"14,968","17,792",Free To Play,2024-08-11 12:01
73,1364780,Street Fighter™ 6,"14,851","24,585","NT$ 1,680.00",2024-08-11 12:01
74,250900,The Binding of Isaac: Rebirth,"14,610","21,183",NT$ 268.00,2024-08-11 12:01
75,2399830,ARK: Survival Ascended,"14,479","17,482","NT$ 1,382.00",2024-08-11 12:01
76,8930,Sid Meier's Civilization® V,"14,416","19,759",NT$ 895.00,2024-08-11 12:01
77,1158310,Crusader Kings III,"14,323","21,936","NT$ 1,268.00",2024-08-11 12:01
78,646570,Slay the Spire,"14,032","17,135",NT$ 499.00,2024-08-11 12:01
79,2073850,THE FINALS,"13,833","16,251",Free To Play,2024-08-11 12:01
80,227300,Euro Truck Simulator 2,"13,695","39,962",NT$ 428.00,2024-08-11 12:01
81,582660,Black Desert,"13,073","16,967",NT$ 200.00,2024-08-11 12:01
82,2709570,Supermarket Together,"13,056","30,472",Free To Play,2024-08-11 12:01
83,311210,Call of Duty®: Black Ops III,"12,837","12,837",NT$ 659.00,2024-08-11 12:01
84,2338770,NBA 2K24,"12,723","18,445","NT$ 1,790.00",2024-08-11 12:01
85,232090,Killing Floor 2,"12,593","12,653",NT$ 688.00,2024-08-11 12:01
86,322170,Geometry Dash,"12,480","19,165",NT$ 102.00,2024-08-11 12:01
87,513710,SCUM,"12,476","20,195",NT$ 745.00,2024-08-11 12:01
88,281990,Stellaris,"12,260","15,632","NT$ 1,018.00",2024-08-11 12:01
89,1248130,Farming Simulator 22,"12,134","35,855",NT$ 650.00,2024-08-11 12:01
90,594650,Hunt: Showdown,"12,111","21,551",NT$ 799.00,2024-08-11 12:01
91,1454400,Cookie Clicker,"12,061","13,456",NT$ 102.00,2024-08-11 12:01
92,629520,Soundpad,"11,752","18,743",NT$ 102.00,2024-08-11 12:01
93,427520,Factorio,"11,720","17,976",NT$ 600.00,2024-08-11 12:01
94,292030,The Witcher 3: Wild Hunt,"11,500","22,786",NT$ 868.00,2024-08-11 12:01
95,236850,Europa Universalis IV,"11,429","20,126","NT$ 1,018.00",2024-08-11 12:01
96,291550,Brawlhalla,"11,238","16,134",Free To Play,2024-08-11 12:01
97,386360,SMITE®,"11,157","11,585",Free To Play,2024-08-11 12:01
98,1517290,Battlefield™ 2042,"11,102","16,112",NT$ 239.00,2024-08-11 12:01
99,306130,The Elder Scrolls® Online,"11,042","16,041",NT$ 179.00,2024-08-11 12:01
100,457140,Oxygen Not Included,"11,032","15,405",NT$ 378.00,2024-08-11 12:01
