Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,730,Counter-Strike 2,"586,951","1,327,873",Free To Play,2024-08-15 11:08
2,2923300,Banana,"345,091","450,112",Free To Play,2024-08-15 11:08
3,570,Dota 2,"277,956","615,078",Free To Play,2024-08-15 11:08
4,578080,PUBG: BATTLEGROUNDS,"155,065","663,866",Free To Play,2024-08-15 11:08
5,1172470,Apex Legends™,"97,887","254,483",Free To Play,2024-08-15 11:08
6,1203220,NARAKA: BLADEPOINT,"93,701","268,431",Free To Play,2024-08-15 11:08
7,2139460,Once Human,"85,065","131,333",Free To Play,2024-08-15 11:08
8,1245620,ELDEN RING,"80,531","101,603","NT$ 1,790.00",2024-08-15 11:08
9,271590,Grand Theft Auto V,"80,191","161,137",NT$ 662.00,2024-08-15 11:08
10,1938090,Call of Duty®,"78,720","82,247",NT$ 662.00,2024-08-15 11:08
11,1086940,Baldur's Gate 3,"72,403","85,697","NT$ 1,599.00",2024-08-15 11:08
12,431960,Wallpaper Engine,"66,150","115,763",NT$ 120.00,2024-08-15 11:08
13,413150,Stardew Valley,"64,475","105,604",NT$ 318.00,2024-08-15 11:08
14,238960,Path of Exile(not available in your region),"58,922","106,248",NT$ 318.00,2024-08-15 11:08
15,252490,Rust,"58,131","107,321",NT$ 694.00,2024-08-15 11:08
16,359550,Tom Clancy's Rainbow Six® Siege,"52,709","58,081",NT$ 569.00,2024-08-15 11:08
17,251570,7 Days to Die,"51,750","77,214",NT$ 670.00,2024-08-15 11:08
18,2074920,The First Descendant,"49,157","65,150",Free To Play,2024-08-15 11:08
19,440,Team Fortress 2,"48,775","58,501",Free To Play,2024-08-15 11:08
20,236390,War Thunder,"48,061","89,657",Free To Play,2024-08-15 11:08
21,230410,Warframe,"41,558","52,107",Free To Play,2024-08-15 11:08
22,381210,Dead by Daylight,"41,359","54,484",NT$ 379.00,2024-08-15 11:08
23,289070,Sid Meier’s Civilization® VI,"39,348","58,126","NT$ 1,790.00",2024-08-15 11:08
24,1085660,Destiny 2,"38,582","42,359",Free To Play,2024-08-15 11:08
25,39210,FINAL FANTASY XIV Online(not available in your region),"36,036","39,157",Free To Play,2024-08-15 11:08
26,436150,Governor of Poker 3,"35,224","35,617",Free To Play,2024-08-15 11:08
27,2357570,Overwatch® 2,"34,888","43,993",Free To Play,2024-08-15 11:08
28,438100,VRChat,"33,551","34,518",Free To Play,2024-08-15 11:08
29,553850,HELLDIVERS™ 2,"33,012","34,732","NT$ 1,190.00",2024-08-15 11:08
30,2195250,EA SPORTS FC™ 24,"32,655","60,669","NT$ 1,999.00",2024-08-15 11:08
