Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,730,Counter-Strike 2,"626,102","1,277,883",Free To Play,2024-08-14 12:01
2,2923300,Banana,"334,329","502,869",Free To Play,2024-08-14 12:01
3,570,Dota 2,"271,512","645,651",Free To Play,2024-08-14 12:01
4,578080,PUBG: BATTLEGROUNDS,"151,577","661,738",Free To Play,2024-08-14 12:01
5,1172470,Apex Legends™,"98,645","231,114",Free To Play,2024-08-14 12:01
6,2139460,Once Human,"83,739","138,235",Free To Play,2024-08-14 12:01
7,1203220,NARAKA: BLADEPOINT,"80,465","266,452",Free To Play,2024-08-14 12:01
8,271590,Grand Theft Auto V,"77,924","162,670",NT$ 662.00,2024-08-14 12:01
9,1245620,ELDEN RING,"77,699","97,728","NT$ 1,790.00",2024-08-14 12:01
10,431960,Wallpaper Engine,"71,595","118,928",NT$ 120.00,2024-08-14 12:01
11,1938090,Call of Duty®,"68,393","80,540",NT$ 120.00,2024-08-14 12:01
12,1086940,Baldur's Gate 3,"67,062","88,657","NT$ 1,599.00",2024-08-14 12:01
13,413150,Stardew Valley,"62,453","106,690",NT$ 318.00,2024-08-14 12:01
14,252490,Rust,"60,067","117,703",NT$ 694.00,2024-08-14 12:01
15,238960,Path of Exile(not available in your region),"57,068","110,479",NT$ 694.00,2024-08-14 12:01
16,440,Team Fortress 2,"49,685","74,584",Free To Play,2024-08-14 12:01
17,251570,7 Days to Die,"49,440","78,902",NT$ 670.00,2024-08-14 12:01
18,359550,Tom Clancy's Rainbow Six® Siege,"49,168","60,067",NT$ 569.00,2024-08-14 12:01
19,2074920,The First Descendant,"47,319","67,469",Free To Play,2024-08-14 12:01
20,236390,War Thunder,"44,528","85,777",Free To Play,2024-08-14 12:01
21,1085660,Destiny 2,"39,906","44,503",Free To Play,2024-08-14 12:01
22,230410,Warframe,"39,635","53,784",Free To Play,2024-08-14 12:01
23,381210,Dead by Daylight,"38,894","54,611",NT$ 379.00,2024-08-14 12:01
24,289070,Sid Meier’s Civilization® VI,"37,409","57,711","NT$ 1,790.00",2024-08-14 12:01
25,39210,FINAL FANTASY XIV Online(not available in your region),"34,219","41,885","NT$ 1,790.00",2024-08-14 12:01
26,438100,VRChat,"32,479","34,552",Free To Play,2024-08-14 12:01
27,2357570,Overwatch® 2,"31,722","44,248",Free To Play,2024-08-14 12:01
28,553850,HELLDIVERS™ 2,"30,751","36,364","NT$ 1,190.00",2024-08-14 12:01
29,2195250,EA SPORTS FC™ 24,"28,984","60,541","NT$ 1,999.00",2024-08-14 12:01
30,436150,Governor of Poker 3,"27,837","40,255",Free To Play,2024-08-14 12:01
31,550,Left 4 Dead 2,"26,820","29,717",NT$ 188.00,2024-08-14 12:01
32,582010,Monster Hunter: World,"26,159","55,730",NT$ 303.00,2024-08-14 12:01
33,2252570,Football Manager 2024,"25,958","62,836","NT$ 1,299.00",2024-08-14 12:01
34,105600,Terraria,"25,854","38,293",NT$ 188.00,2024-08-14 12:01
35,1281930,tModLoader,"25,442","42,547",Free To Play,2024-08-14 12:01
36,1222670,The Sims™ 4,"25,362","38,681",Free To Play,2024-08-14 12:01
37,394360,Hearts of Iron IV,"24,813","49,375","NT$ 1,268.00",2024-08-14 12:01
38,1623730,Palworld,"22,962","39,079",NT$ 488.00,2024-08-14 12:01
39,322330,Don't Starve Together,"22,588","47,570",NT$ 268.00,2024-08-14 12:01
40,1366800,Crosshair X,"22,241","33,101",NT$ 144.00,2024-08-14 12:01
41,1782210,Crab Game,"22,186","60,220",Free To Play,2024-08-14 12:01
42,1174180,Red Dead Redemption 2,"21,825","36,425","NT$ 1,790.00",2024-08-14 12:01
43,1091500,Cyberpunk 2077,"21,761","30,254",NT$ 799.00,2024-08-14 12:01
44,221100,DayZ,"21,576","48,855","NT$ 1,499.00",2024-08-14 12:01
45,108600,Project Zomboid,"21,231","27,550",NT$ 328.00,2024-08-14 12:01
46,304930,Unturned,"20,802","31,993",Free To Play,2024-08-14 12:01
47,489830,The Elder Scrolls V: Skyrim Special Edition,"19,747","26,924",NT$ 299.00,2024-08-14 12:01
48,2977660,Cats,"19,708","36,403",Free To Play,2024-08-14 12:01
49,346110,ARK: Survival Evolved,"19,543","36,537",NT$ 268.00,2024-08-14 12:01
50,294100,RimWorld,"19,371","25,304",NT$ 529.00,2024-08-14 12:01
51,1449850,Yu-Gi-Oh! Master Duel,"18,609","27,223",Free To Play,2024-08-14 12:01
52,377160,Fallout 4,"18,154","26,166",NT$ 239.00,2024-08-14 12:01
53,2344520,Diablo® IV,"17,271","30,809","NT$ 1,575.00",2024-08-14 12:01
54,2016590,Dark and Darker,"17,202","21,816",Free To Play,2024-08-14 12:01
