Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
55,1599340,Lost Ark(not available in your region),"16,740","24,514",Free To Play,2024-08-14 12:01
56,1623660,MIR4,"16,676","17,669",Free To Play,2024-08-14 12:01
57,252950,Rocket League®,"16,559","27,074",Free To Play,2024-08-14 12:01
58,739630,Phasmophobia,"15,796","25,571",NT$ 198.00,2024-08-14 12:01
59,2709570,Supermarket Together,"15,601","47,836",Free To Play,2024-08-14 12:01
60,4000,Garry's Mod,"15,456","32,200",NT$ 278.00,2024-08-14 12:01
61,275850,No Man's Sky,"14,729","22,045",NT$ 898.00,2024-08-14 12:01
62,261550,Mount & Blade II: Bannerlord,"14,033","26,316","NT$ 1,399.00",2024-08-14 12:01
63,1238810,Battlefield™ V,"14,027","37,773",NT$ 209.00,2024-08-14 12:01
64,892970,Valheim,"14,027","25,355",NT$ 318.00,2024-08-14 12:01
65,960090,Bloons TD 6,"13,646","17,992",NT$ 248.00,2024-08-14 12:01
66,1142710,Total War: WARHAMMER III,"13,516","23,456","NT$ 1,790.00",2024-08-14 12:01
67,813780,Age of Empires II: Definitive Edition,"13,046","18,760",NT$ 679.00,2024-08-14 12:01
68,1966720,Lethal Company,"13,005","14,536",NT$ 188.00,2024-08-14 12:01
69,250900,The Binding of Isaac: Rebirth,"12,762","20,479",NT$ 268.00,2024-08-14 12:01
70,646570,Slay the Spire,"12,712","17,014",NT$ 499.00,2024-08-14 12:01
71,1364780,Street Fighter™ 6,"12,432","26,635","NT$ 1,680.00",2024-08-14 12:01
72,1454400,Cookie Clicker,"12,051","14,451",NT$ 102.00,2024-08-14 12:01
73,1158310,Crusader Kings III,"12,007","20,104","NT$ 1,268.00",2024-08-14 12:01
74,2448970,Dungeonborne(not available in your region),"11,985","20,393","NT$ 1,268.00",2024-08-14 12:01
75,548430,Deep Rock Galactic,"11,944","22,154",NT$ 144.00,2024-08-14 12:01
76,8930,Sid Meier's Civilization® V,"11,711","17,493",NT$ 895.00,2024-08-14 12:01
77,2073850,THE FINALS,"11,700","14,724",Free To Play,2024-08-14 12:01
78,582660,Black Desert,"11,109","15,871",NT$ 200.00,2024-08-14 12:01
79,311210,Call of Duty®: Black Ops III,"10,935","12,105",NT$ 659.00,2024-08-14 12:01
80,513710,SCUM,"10,918","20,171",NT$ 745.00,2024-08-14 12:01
81,2709440,Delta Force Playtest,"10,916","21,262",NT$ 745.00,2024-08-14 12:01
82,2399830,ARK: Survival Ascended,"10,868","14,064","NT$ 1,382.00",2024-08-14 12:01
83,1973530,Limbus Company,"10,752","13,703",Free To Play,2024-08-14 12:01
84,1313140,Cult of the Lamb,"10,731","13,761",NT$ 244.00,2024-08-14 12:01
85,322170,Geometry Dash,"10,487","17,590",NT$ 102.00,2024-08-14 12:01
86,629520,Soundpad,"10,383","17,918",NT$ 102.00,2024-08-14 12:01
87,281990,Stellaris,"10,071","13,323","NT$ 1,018.00",2024-08-14 12:01
88,227300,Euro Truck Simulator 2,"10,008","35,779",NT$ 428.00,2024-08-14 12:01
89,427520,Factorio,"9,776","15,606",NT$ 600.00,2024-08-14 12:01
90,2338770,NBA 2K24,"9,614","18,409","NT$ 1,790.00",2024-08-14 12:01
91,236850,Europa Universalis IV,"9,595","17,456","NT$ 1,018.00",2024-08-14 12:01
92,386360,SMITE®,"9,497","11,156",Free To Play,2024-08-14 12:01
93,1151340,Fallout 76,"9,474","14,811",NT$ 299.00,2024-08-14 12:01
94,292030,The Witcher 3: Wild Hunt,"9,413","21,694",NT$ 217.00,2024-08-14 12:01
95,1248130,Farming Simulator 22,"9,266","35,736",NT$ 650.00,2024-08-14 12:01
96,1920960,VPet-Simulator,"9,260","12,498",Free To Play,2024-08-14 12:01
97,2349820,Hero's Land,"9,258","11,900",Free To Play,2024-08-14 12:01
98,306130,The Elder Scrolls® Online,"9,080","14,994",NT$ 179.00,2024-08-14 12:01
99,284160,BeamNG.drive,"8,993","17,276",NT$ 408.00,2024-08-14 12:01
100,291550,Brawlhalla,"8,969","14,229",Free To Play,2024-08-14 12:01
