Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,2358720,Black Myth: Wukong,"1,286,301","2,205,557","NT$ 1,280.00",2024-08-25 11:57
2,730,Counter-Strike 2,"686,907","1,190,471",Free To Play,2024-08-25 11:57
3,2923300,Banana,"404,591","430,843",Free To Play,2024-08-25 11:57
4,570,Dota 2,"339,885","657,661",Free To Play,2024-08-25 11:57
5,578080,PUBG: BATTLEGROUNDS,"217,096","784,255",Free To Play,2024-08-25 11:57
6,2139460,Once Human,"102,294","145,051",Free To Play,2024-08-25 11:57
7,1172470,Apex Legends™,"96,842","213,109",Free To Play,2024-08-25 11:57
8,271590,Grand Theft Auto V,"90,431","164,742",NT$ 480.00,2024-08-25 11:57
9,1203220,NARAKA: BLADEPOINT,"86,372","229,991",Free To Play,2024-08-25 11:57
10,1938090,Call of Duty®,"78,896","89,461",Free To Play,2024-08-25 11:57
11,431960,Wallpaper Engine,"77,962","115,467",NT$ 120.00,2024-08-25 11:57
12,1086940,Baldur's Gate 3,"77,075","94,442","NT$ 1,599.00",2024-08-25 11:57
13,1245620,ELDEN RING,"67,439","84,251","NT$ 1,790.00",2024-08-25 11:57
14,440,Team Fortress 2,"63,839","63,856",Free To Play,2024-08-25 11:57
15,413150,Stardew Valley,"63,097","93,544",NT$ 398.00,2024-08-25 11:57
16,252490,Rust,"59,660","110,095",NT$ 694.00,2024-08-25 11:57
17,289070,Sid Meier’s Civilization® VI,"58,397","78,390",NT$ 179.00,2024-08-25 11:57
18,359550,Tom Clancy's Rainbow Six® Siege,"57,423","68,721",NT$ 569.00,2024-08-25 11:57
19,251570,7 Days to Die,"54,683","70,473",NT$ 670.00,2024-08-25 11:57
20,236390,War Thunder,"52,677","88,461",Free To Play,2024-08-25 11:57
21,230410,Warframe,"51,263","62,836",Free To Play,2024-08-25 11:57
22,238960,Path of Exile(not available in your region),"46,421","81,394",Free To Play,2024-08-25 11:57
23,2357570,Overwatch® 2,"46,039","57,882",Free To Play,2024-08-25 11:57
24,438100,VRChat,"45,262","45,262",Free To Play,2024-08-25 11:57
25,1422450,Deadlock,"42,497","64,054",Coming Soon,2024-08-25 11:57
26,582010,Monster Hunter: World,"42,351","57,425",NT$ 303.00,2024-08-25 11:57
27,1966720,Lethal Company,"41,312","41,746",NT$ 188.00,2024-08-25 11:57
28,2074920,The First Descendant,"40,897","52,450",Free To Play,2024-08-25 11:57
29,436150,Governor of Poker 3,"39,263","43,497",Free To Play,2024-08-25 11:57
30,381210,Dead by Daylight,"37,414","49,813",NT$ 379.00,2024-08-25 11:57
31,1782210,Crab Game,"35,349","41,081",Free To Play,2024-08-25 11:57
32,1085660,Destiny 2,"35,160","37,019",Free To Play,2024-08-25 11:57
33,2195250,EA SPORTS FC™ 24,"35,091","64,003","NT$ 1,999.00",2024-08-25 11:57
34,550,Left 4 Dead 2,"32,927","32,927",NT$ 188.00,2024-08-25 11:57
35,2252570,Football Manager 2024,"32,691","72,523","NT$ 1,299.00",2024-08-25 11:57
36,39210,FINAL FANTASY XIV Online(not available in your region),"30,260","34,805","NT$ 1,299.00",2024-08-25 11:57
37,1222670,The Sims™ 4,"30,211","42,132",Free To Play,2024-08-25 11:57
38,394360,Hearts of Iron IV,"29,528","51,007","NT$ 1,268.00",2024-08-25 11:57
39,3047030,Tapple - Idle Clicker,"29,407","29,414",Free To Play,2024-08-25 11:57
40,221100,DayZ,"27,012","50,693","NT$ 1,499.00",2024-08-25 11:57
41,2977660,Cats,"26,745","27,331",Free To Play,2024-08-25 11:57
42,1091500,Cyberpunk 2077,"26,571","36,421","NT$ 1,599.00",2024-08-25 11:57
43,1281930,tModLoader,"26,425","26,425",Free To Play,2024-08-25 11:57
44,105600,Terraria,"26,203","41,301",NT$ 188.00,2024-08-25 11:57
45,1366800,Crosshair X,"25,943","37,570",NT$ 144.00,2024-08-25 11:57
46,553850,HELLDIVERS™ 2,"25,634","26,655","NT$ 1,190.00",2024-08-25 11:57
47,322330,Don't Starve Together,"25,487","34,178",NT$ 268.00,2024-08-25 11:57
48,1623730,Palworld,"25,462","34,855",NT$ 488.00,2024-08-25 11:57
49,108600,Project Zomboid,"25,321","27,661",NT$ 328.00,2024-08-25 11:57
50,294100,RimWorld,"22,988","28,334",NT$ 529.00,2024-08-25 11:57
51,346110,ARK: Survival Evolved,"22,747","34,150",NT$ 268.00,2024-08-25 11:57
52,489830,The Elder Scrolls V: Skyrim Special Edition,"22,732","30,875","NT$ 1,199.00",2024-08-25 11:57
53,1174180,Red Dead Redemption 2,"22,276","33,097","NT$ 1,790.00",2024-08-25 11:57
54,2344520,Diablo® IV,"22,122","30,146",NT$ 945.00,2024-08-25 11:57
55,304930,Unturned,"21,442","24,028",Free To Play,2024-08-25 11:57
56,594650,Hunt: Showdown 1896,"20,947","37,057",NT$ 799.00,2024-08-25 11:57
57,1449850,Yu-Gi-Oh! Master Duel,"19,948","24,377",Free To Play,2024-08-25 11:57
58,1142710,Total War: WARHAMMER III,"19,119","30,737","NT$ 1,790.00",2024-08-25 11:57
59,377160,Fallout 4,"18,871","26,191",NT$ 599.00,2024-08-25 11:57
