Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
74,322170,Geometry Dash,"12,836","17,924",NT$ 51.00,2024-08-24 12:01
75,2399830,ARK: Survival Ascended,"12,686","14,668","NT$ 1,382.00",2024-08-24 12:01
76,1446780,MONSTER HUNTER RISE,"12,632","18,571",NT$ 280.00,2024-08-24 12:01
77,250900,The Binding of Isaac: Rebirth,"12,524","18,316",NT$ 268.00,2024-08-24 12:01
78,2073850,THE FINALS,"12,518","14,352",Free To Play,2024-08-24 12:01
79,1281930,tModLoader,"12,423","34,554",Free To Play,2024-08-24 12:01
80,646570,Slay the Spire,"12,358","14,873",NT$ 499.00,2024-08-24 12:01
81,1238810,Battlefield™ V,"12,283","29,264","NT$ 1,399.00",2024-08-24 12:01
82,397540,Borderlands 3,"12,198","13,493",NT$ 773.00,2024-08-24 12:01
83,629520,Soundpad,"12,037","18,761",NT$ 102.00,2024-08-24 12:01
84,218620,PAYDAY 2,"11,896","21,086",NT$ 188.00,2024-08-24 12:01
85,275850,No Man's Sky,"11,669","15,900",NT$ 898.00,2024-08-24 12:01
86,3047030,Tapple - Idle Clicker,"11,602","33,810",Free To Play,2024-08-24 12:01
87,1364780,Street Fighter™ 6,"11,522","24,251","NT$ 1,680.00",2024-08-24 12:01
88,291550,Brawlhalla,"11,325","14,791",Free To Play,2024-08-24 12:01
89,227300,Euro Truck Simulator 2,"11,231","35,709",NT$ 428.00,2024-08-24 12:01
90,582660,Black Desert,"11,174","14,209",NT$ 200.00,2024-08-24 12:01
91,281990,Stellaris,"11,126","13,446","NT$ 1,018.00",2024-08-24 12:01
92,1248130,Farming Simulator 22,"11,046","35,942",NT$ 650.00,2024-08-24 12:01
93,2448970,Dungeonborne(not available in your region),"11,029","16,402",NT$ 650.00,2024-08-24 12:01
94,386360,SMITE®,"10,756","11,164",Free To Play,2024-08-24 12:01
95,427520,Factorio,"10,702","15,371",NT$ 600.00,2024-08-24 12:01
96,292030,The Witcher 3: Wild Hunt,"10,462","21,223",NT$ 868.00,2024-08-24 12:01
97,1905180,OBS Studio,"10,424","18,196",Free To Play,2024-08-24 12:01
98,284160,BeamNG.drive,"10,262","17,244",NT$ 408.00,2024-08-24 12:01
99,632360,Risk of Rain 2,"10,162","10,389",NT$ 588.00,2024-08-24 12:01
100,236850,Europa Universalis IV,"10,121","16,994","NT$ 1,018.00",2024-08-24 12:01
