Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,730,Counter-Strike 2,"698,692","1,426,478",Free To Play,2024-08-19 12:01
2,2923300,Banana,"423,977","619,491",Free To Play,2024-08-19 12:01
3,570,Dota 2,"287,831","714,897",Free To Play,2024-08-19 12:01
4,578080,PUBG: BATTLEGROUNDS,"159,596","709,078",Free To Play,2024-08-19 12:01
5,2139460,Once Human,"92,848","168,562",Free To Play,2024-08-19 12:01
6,1172470,Apex Legends™,"86,810","255,520",Free To Play,2024-08-19 12:01
7,1203220,NARAKA: BLADEPOINT,"85,971","282,622",Free To Play,2024-08-19 12:01
8,271590,Grand Theft Auto V,"79,684","181,546",NT$ 974.00,2024-08-19 12:01
9,431960,Wallpaper Engine,"73,468","123,012",NT$ 120.00,2024-08-19 12:01
10,1086940,Baldur's Gate 3,"69,453","119,775","NT$ 1,599.00",2024-08-19 12:01
11,1245620,ELDEN RING,"68,360","117,257","NT$ 1,790.00",2024-08-19 12:01
12,1938090,Call of Duty®,"65,835","96,523","NT$ 1,790.00",2024-08-19 12:01
13,440,Team Fortress 2,"62,395","75,387",Free To Play,2024-08-19 12:01
14,413150,Stardew Valley,"60,618","114,810",NT$ 398.00,2024-08-19 12:01
15,252490,Rust,"57,398","124,691",NT$ 694.00,2024-08-19 12:01
16,238960,Path of Exile(not available in your region),"49,905","109,001",NT$ 694.00,2024-08-19 12:01
17,1782210,Crab Game,"48,507","55,518",Free To Play,2024-08-19 12:01
18,359550,Tom Clancy's Rainbow Six® Siege,"46,470","69,505",NT$ 569.00,2024-08-19 12:01
19,251570,7 Days to Die,"46,176","97,955",NT$ 670.00,2024-08-19 12:01
20,236390,War Thunder,"44,843","97,935",Free To Play,2024-08-19 12:01
21,230410,Warframe,"41,933","59,184",Free To Play,2024-08-19 12:01
22,2074920,The First Descendant,"41,541","70,453",Free To Play,2024-08-19 12:01
23,289070,Sid Meier’s Civilization® VI,"39,369","73,884","NT$ 1,790.00",2024-08-19 12:01
24,436150,Governor of Poker 3,"38,893","42,239",Free To Play,2024-08-19 12:01
25,1966720,Lethal Company,"36,526","43,510",NT$ 188.00,2024-08-19 12:01
26,438100,VRChat,"34,972","47,030",Free To Play,2024-08-19 12:01
27,1085660,Destiny 2,"32,425","42,318",Free To Play,2024-08-19 12:01
28,381210,Dead by Daylight,"31,900","52,831",NT$ 379.00,2024-08-19 12:01
29,2357570,Overwatch® 2,"31,273","48,559",Free To Play,2024-08-19 12:01
30,39210,FINAL FANTASY XIV Online(not available in your region),"29,237","41,466",Free To Play,2024-08-19 12:01
31,582010,Monster Hunter: World,"28,824","68,125",NT$ 303.00,2024-08-19 12:01
32,2195250,EA SPORTS FC™ 24,"28,139","69,966","NT$ 1,999.00",2024-08-19 12:01
33,1091500,Cyberpunk 2077,"27,472","48,338",NT$ 799.00,2024-08-19 12:01
34,2252570,Football Manager 2024,"27,367","76,811",NT$ 519.00,2024-08-19 12:01
35,550,Left 4 Dead 2,"26,757","33,081",NT$ 188.00,2024-08-19 12:01
36,1281930,tModLoader,"26,128","44,105",Free To Play,2024-08-19 12:01
37,2977660,Cats,"25,367","28,383",Free To Play,2024-08-19 12:01
38,394360,Hearts of Iron IV,"25,234","57,148","NT$ 1,268.00",2024-08-19 12:01
39,1222670,The Sims™ 4,"25,105","46,957",Free To Play,2024-08-19 12:01
40,553850,HELLDIVERS™ 2,"24,284","38,391","NT$ 1,190.00",2024-08-19 12:01
41,594650,Hunt: Showdown 1896,"23,758","58,131",NT$ 639.00,2024-08-19 12:01
42,322330,Don't Starve Together,"22,865","49,805",NT$ 268.00,2024-08-19 12:01
43,105600,Terraria,"22,820","38,253",NT$ 188.00,2024-08-19 12:01
44,1366800,Crosshair X,"22,738","38,258",NT$ 144.00,2024-08-19 12:01
45,221100,DayZ,"22,481","57,274","NT$ 1,499.00",2024-08-19 12:01
46,304930,Unturned,"22,390","31,060",Free To Play,2024-08-19 12:01
47,1623730,Palworld,"21,563","42,626",NT$ 488.00,2024-08-19 12:01
48,489830,The Elder Scrolls V: Skyrim Special Edition,"21,085","35,614",NT$ 299.00,2024-08-19 12:01
49,108600,Project Zomboid,"21,058","33,783",NT$ 328.00,2024-08-19 12:01
50,1174180,Red Dead Redemption 2,"20,919","41,858","NT$ 1,790.00",2024-08-19 12:01
51,1599340,Lost Ark(not available in your region),"20,041","28,281","NT$ 1,790.00",2024-08-19 12:01
52,294100,RimWorld,"19,801","31,007",NT$ 529.00,2024-08-19 12:01
53,346110,ARK: Survival Evolved,"19,129","41,497",NT$ 268.00,2024-08-19 12:01
54,377160,Fallout 4,"18,097","32,262",NT$ 239.00,2024-08-19 12:01
55,1449850,Yu-Gi-Oh! Master Duel,"18,053","29,866",Free To Play,2024-08-19 12:01
56,1623660,MIR4,"16,383","17,555",Free To Play,2024-08-19 12:01
57,2016590,Dark and Darker,"16,116","23,752",Free To Play,2024-08-19 12:01
58,252950,Rocket League®,"15,691","29,272",Free To Play,2024-08-19 12:01
59,2709570,Supermarket Together,"15,572","43,714",Free To Play,2024-08-19 12:01
60,739630,Phasmophobia,"15,508","31,392",NT$ 248.00,2024-08-19 12:01
61,4000,Garry's Mod,"15,256","35,139",NT$ 278.00,2024-08-19 12:01
62,2344520,Diablo® IV,"15,204","28,950","NT$ 1,575.00",2024-08-19 12:01
63,218620,PAYDAY 2,"15,007","22,080",NT$ 188.00,2024-08-19 12:01
64,1238810,Battlefield™ V,"14,653","41,479",NT$ 209.00,2024-08-19 12:01
65,892970,Valheim,"14,591","32,309",NT$ 318.00,2024-08-19 12:01
66,3047030,Tapple - Idle Clicker,"14,267","37,555",Free To Play,2024-08-19 12:01
67,261550,Mount & Blade II: Bannerlord,"13,902","30,986","NT$ 1,399.00",2024-08-19 12:01
68,1142710,Total War: WARHAMMER III,"13,649","29,788","NT$ 1,790.00",2024-08-19 12:01
69,813780,Age of Empires II: Definitive Edition,"13,598","24,185",NT$ 679.00,2024-08-19 12:01
70,250900,The Binding of Isaac: Rebirth,"13,041","22,103",NT$ 268.00,2024-08-19 12:01
71,1313140,Cult of the Lamb,"12,908","21,565",NT$ 244.00,2024-08-19 12:01
72,646570,Slay the Spire,"12,807","18,238",NT$ 499.00,2024-08-19 12:01
73,275850,No Man's Sky,"12,652","24,612",NT$ 898.00,2024-08-19 12:01
74,960090,Bloons TD 6,"12,434","19,895",NT$ 248.00,2024-08-19 12:01
75,8930,Sid Meier's Civilization® V,"12,336","21,804",NT$ 895.00,2024-08-19 12:01
76,1454400,Cookie Clicker,"12,191","14,864",NT$ 102.00,2024-08-19 12:01
77,2448970,Dungeonborne(not available in your region),"12,125","23,179",NT$ 102.00,2024-08-19 12:01
78,1158310,Crusader Kings III,"11,969","24,184","NT$ 1,268.00",2024-08-19 12:01
79,232090,Killing Floor 2,"11,740","12,846",NT$ 688.00,2024-08-19 12:01
80,2399830,ARK: Survival Ascended,"11,458","18,855","NT$ 1,382.00",2024-08-19 12:01
81,292030,The Witcher 3: Wild Hunt,"11,191","31,063",NT$ 217.00,2024-08-19 12:01
82,582660,Black Desert,"11,062","16,181",NT$ 200.00,2024-08-19 12:01
83,2073850,THE FINALS,"11,049","16,476",Free To Play,2024-08-19 12:01
84,513710,SCUM,"10,958","21,657",NT$ 745.00,2024-08-19 12:01
85,1687950,Persona 5 Royal,"10,882","19,762",NT$ 716.00,2024-08-19 12:01
86,281990,Stellaris,"10,595","17,846","NT$ 1,018.00",2024-08-19 12:01
87,629520,Soundpad,"10,433","19,587",NT$ 102.00,2024-08-19 12:01
88,1364780,Street Fighter™ 6,"10,281","25,374","NT$ 1,680.00",2024-08-19 12:01
89,397540,Borderlands 3,"10,264","16,424",NT$ 178.00,2024-08-19 12:01
90,2162800,shapez 2,"10,205","18,806",NT$ 326.00,2024-08-19 12:01
91,1248130,Farming Simulator 22,"10,005","45,564",NT$ 650.00,2024-08-19 12:01
92,322170,Geometry Dash,"9,816","19,794",NT$ 102.00,2024-08-19 12:01
93,227300,Euro Truck Simulator 2,"9,764","44,468",NT$ 428.00,2024-08-19 12:01
94,548430,Deep Rock Galactic,"9,751","21,271",NT$ 438.00,2024-08-19 12:01
95,427520,Factorio,"9,694","19,181",NT$ 600.00,2024-08-19 12:01
96,386360,SMITE®,"9,625","12,686",Free To Play,2024-08-19 12:01
