Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,2358720,Black Myth: Wukong,"702,858","2,068,291","NT$ 1,280.00",2024-08-27 12:01
2,730,Counter-Strike 2,"685,245","1,305,855",Free To Play,2024-08-27 12:01
3,2923300,Banana,"436,163","451,837",Free To Play,2024-08-27 12:01
4,570,Dota 2,"313,424","603,433",Free To Play,2024-08-27 12:01
5,578080,PUBG: BATTLEGROUNDS,"147,318","617,742",Free To Play,2024-08-27 12:01
6,2139460,Once Human,"78,338","135,619",Free To Play,2024-08-27 12:01
7,1172470,Apex Legends™,"76,784","199,474",Free To Play,2024-08-27 12:01
8,431960,Wallpaper Engine,"71,403","116,835",NT$ 120.00,2024-08-27 12:01
9,271590,Grand Theft Auto V,"71,108","156,004",NT$ 480.00,2024-08-27 12:01
10,1203220,NARAKA: BLADEPOINT,"70,469","236,971",Free To Play,2024-08-27 12:01
11,1938090,Call of Duty®,"61,027","76,179",Free To Play,2024-08-27 12:01
12,1086940,Baldur's Gate 3,"60,173","86,596","NT$ 1,599.00",2024-08-27 12:01
13,440,Team Fortress 2,"57,770","66,019",Free To Play,2024-08-27 12:01
14,1422450,Deadlock,"55,349","82,447",Coming Soon,2024-08-27 12:01
15,413150,Stardew Valley,"49,733","85,687",NT$ 398.00,2024-08-27 12:01
16,1245620,ELDEN RING,"49,185","66,588","NT$ 1,790.00",2024-08-27 12:01
17,252490,Rust,"48,665","100,219",NT$ 694.00,2024-08-27 12:01
18,359550,Tom Clancy's Rainbow Six® Siege,"45,657","60,501",NT$ 569.00,2024-08-27 12:01
19,289070,Sid Meier’s Civilization® VI,"45,446","69,089",NT$ 179.00,2024-08-27 12:01
20,230410,Warframe,"42,423","58,522",Free To Play,2024-08-27 12:01
21,236390,War Thunder,"39,164","77,230",Free To Play,2024-08-27 12:01
22,2357570,Overwatch® 2,"36,874","51,636",Free To Play,2024-08-27 12:01
23,238960,Path of Exile(not available in your region),"36,585","73,846",Free To Play,2024-08-27 12:01
24,3047030,Tapple - Idle Clicker,"36,233","36,868",Free To Play,2024-08-27 12:01
25,251570,7 Days to Die,"34,790","60,178",NT$ 670.00,2024-08-27 12:01
26,438100,VRChat,"32,692","36,364",Free To Play,2024-08-27 12:01
27,436150,Governor of Poker 3,"32,008","42,383",Free To Play,2024-08-27 12:01
28,381210,Dead by Daylight,"30,608","44,780",NT$ 379.00,2024-08-27 12:01
29,582010,Monster Hunter: World,"30,117","62,937",NT$ 920.00,2024-08-27 12:01
30,1085660,Destiny 2,"29,492","32,447",Free To Play,2024-08-27 12:01
31,2074920,The First Descendant,"28,532","42,553",Free To Play,2024-08-27 12:01
32,2252570,Football Manager 2024,"27,363","72,745","NT$ 1,299.00",2024-08-27 12:01
33,2977660,Cats,"27,043","27,540",Free To Play,2024-08-27 12:01
34,2195250,EA SPORTS FC™ 24,"25,442","58,308","NT$ 1,999.00",2024-08-27 12:01
35,1966720,Lethal Company,"24,252","28,225",NT$ 188.00,2024-08-27 12:01
36,304930,Unturned,"24,209","29,589",Free To Play,2024-08-27 12:01
37,550,Left 4 Dead 2,"24,196","26,271",NT$ 188.00,2024-08-27 12:01
38,1222670,The Sims™ 4,"23,897","39,863",Free To Play,2024-08-27 12:01
39,394360,Hearts of Iron IV,"22,826","47,710",NT$ 380.00,2024-08-27 12:01
40,1366800,Crosshair X,"21,427","34,802",NT$ 144.00,2024-08-27 12:01
41,1281930,tModLoader,"20,816","33,048",Free To Play,2024-08-27 12:01
42,221100,DayZ,"20,505","46,643","NT$ 1,499.00",2024-08-27 12:01
43,322330,Don't Starve Together,"20,382","40,491",NT$ 268.00,2024-08-27 12:01
44,1091500,Cyberpunk 2077,"20,161","30,730","NT$ 1,599.00",2024-08-27 12:01
45,105600,Terraria,"19,298","30,153",NT$ 188.00,2024-08-27 12:01
46,108600,Project Zomboid,"18,891","25,571",NT$ 328.00,2024-08-27 12:01
47,294100,RimWorld,"18,722","25,222",NT$ 529.00,2024-08-27 12:01
48,489830,The Elder Scrolls V: Skyrim Special Edition,"18,675","26,623","NT$ 1,199.00",2024-08-27 12:01
49,553850,HELLDIVERS™ 2,"18,461","23,447","NT$ 1,190.00",2024-08-27 12:01
50,1623730,Palworld,"17,854","30,153",NT$ 488.00,2024-08-27 12:01
51,2344520,Diablo® IV,"17,306","27,334",NT$ 945.00,2024-08-27 12:01
52,1623660,MIR4,"17,177","18,112",Free To Play,2024-08-27 12:01
53,1174180,Red Dead Redemption 2,"16,934","28,433","NT$ 1,790.00",2024-08-27 12:01
54,218620,PAYDAY 2,"16,633","20,635",NT$ 188.00,2024-08-27 12:01
55,346110,ARK: Survival Evolved,"16,391","32,843",NT$ 268.00,2024-08-27 12:01
56,1449850,Yu-Gi-Oh! Master Duel,"16,380","25,688",Free To Play,2024-08-27 12:01
57,252950,Rocket League®,"15,896","27,821",Free To Play,2024-08-27 12:01
58,1599340,Lost Ark(not available in your region),"15,372","21,738",Free To Play,2024-08-27 12:01
59,377160,Fallout 4,"14,552","22,369",NT$ 599.00,2024-08-27 12:01
60,594650,Hunt: Showdown 1896,"14,209","32,435",NT$ 799.00,2024-08-27 12:01
61,513710,SCUM,"14,037","26,627",NT$ 298.00,2024-08-27 12:01
62,1142710,Total War: WARHAMMER III,"13,924","28,270","NT$ 1,790.00",2024-08-27 12:01
63,4000,Garry's Mod,"13,899","30,282",NT$ 278.00,2024-08-27 12:01
64,1158310,Crusader Kings III,"13,695","25,170","NT$ 1,268.00",2024-08-27 12:01
65,646570,Slay the Spire,"13,454","17,028",NT$ 169.00,2024-08-27 12:01
66,8930,Sid Meier's Civilization® V,"12,974","20,480",NT$ 223.00,2024-08-27 12:01
67,813780,Age of Empires II: Definitive Edition,"12,616","18,416",NT$ 679.00,2024-08-27 12:01
68,1454400,Cookie Clicker,"12,565","15,246",NT$ 102.00,2024-08-27 12:01
69,2016590,Dark and Darker,"12,415","17,319",Free To Play,2024-08-27 12:01
70,739630,Phasmophobia,"12,399","26,104",NT$ 248.00,2024-08-27 12:01
71,892970,Valheim,"12,328","23,848",NT$ 318.00,2024-08-27 12:01
72,2709570,Supermarket Together,"12,238","28,114",Free To Play,2024-08-27 12:01
73,232090,Killing Floor 2,"12,107","12,576",NT$ 68.00,2024-08-27 12:01
74,261550,Mount & Blade II: Bannerlord,"11,707","22,649","NT$ 1,399.00",2024-08-27 12:01
75,250900,The Binding of Isaac: Rebirth,"11,429","18,493",NT$ 268.00,2024-08-27 12:01
76,1973530,Limbus Company,"11,306","12,413",Free To Play,2024-08-27 12:01
77,960090,Bloons TD 6,"11,294","15,603",NT$ 248.00,2024-08-27 12:01
78,2073850,THE FINALS,"10,456","14,215",Free To Play,2024-08-27 12:01
79,1238810,Battlefield™ V,"10,149","28,073","NT$ 1,399.00",2024-08-27 12:01
80,582660,Black Desert,"10,135","13,980",NT$ 200.00,2024-08-27 12:01
81,1446780,MONSTER HUNTER RISE,"10,004","20,279","NT$ 1,120.00",2024-08-27 12:01
82,1364780,Street Fighter™ 6,"9,945","23,727","NT$ 1,680.00",2024-08-27 12:01
83,629520,Soundpad,"9,908","17,990",NT$ 102.00,2024-08-27 12:01
84,397540,Borderlands 3,"9,663","12,437",NT$ 773.00,2024-08-27 12:01
85,1248130,Farming Simulator 22,"9,555","39,757",NT$ 650.00,2024-08-27 12:01
86,322170,Geometry Dash,"9,526","17,185",NT$ 102.00,2024-08-27 12:01
87,2399830,ARK: Survival Ascended,"9,514","14,444","NT$ 1,382.00",2024-08-27 12:01
88,240,Counter-Strike: Source,"9,465","15,919",NT$ 188.00,2024-08-27 12:01
89,632360,Risk of Rain 2,"9,375","10,826",NT$ 588.00,2024-08-27 12:01
90,275850,No Man's Sky,"9,371","15,475",NT$ 898.00,2024-08-27 12:01
91,281990,Stellaris,"9,243","13,123","NT$ 1,018.00",2024-08-27 12:01
92,386360,SMITE®,"9,059","10,951",Free To Play,2024-08-27 12:01
93,427520,Factorio,"8,857","15,569",NT$ 600.00,2024-08-27 12:01
94,1905180,OBS Studio,"8,810","17,963",Free To Play,2024-08-27 12:01
95,291550,Brawlhalla,"8,784","14,442",Free To Play,2024-08-27 12:01
96,227300,Euro Truck Simulator 2,"8,735","36,626",NT$ 428.00,2024-08-27 12:01
97,306130,The Elder Scrolls® Online,"8,455","14,161",NT$ 599.00,2024-08-27 12:01
98,2349820,Hero's Land,"8,424","11,054",Free To Play,2024-08-27 12:01
99,216150,MapleStory(not available in your region),"8,369","8,493",Free To Play,2024-08-27 12:01
100,1920960,VPet-Simulator,"8,334","11,718",Free To Play,2024-08-27 12:01
