Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,730,Counter-Strike 2,"624,011","1,280,812",Free To Play,2024-08-16 12:01
2,2923300,Banana,"365,784","474,986",Free To Play,2024-08-16 12:01
3,570,Dota 2,"286,429","618,380",Free To Play,2024-08-16 12:01
4,578080,PUBG: BATTLEGROUNDS,"159,873","649,939",Free To Play,2024-08-16 12:01
5,1172470,Apex Legends™,"96,276","251,860",Free To Play,2024-08-16 12:01
6,2139460,Once Human,"91,652","144,730",Free To Play,2024-08-16 12:01
7,1203220,NARAKA: BLADEPOINT,"89,382","287,970",Free To Play,2024-08-16 12:01
8,271590,Grand Theft Auto V,"83,300","166,161",NT$ 974.00,2024-08-16 12:01
9,1245620,ELDEN RING,"73,757","101,158","NT$ 1,790.00",2024-08-16 12:01
10,1938090,Call of Duty®,"72,536","81,391","NT$ 1,790.00",2024-08-16 12:01
11,431960,Wallpaper Engine,"68,888","112,948",NT$ 120.00,2024-08-16 12:01
12,252490,Rust,"68,870","126,447",NT$ 694.00,2024-08-16 12:01
13,1086940,Baldur's Gate 3,"64,241","85,243","NT$ 1,599.00",2024-08-16 12:01
14,413150,Stardew Valley,"60,851","105,949",NT$ 398.00,2024-08-16 12:01
15,440,Team Fortress 2,"59,009","67,387",Free To Play,2024-08-16 12:01
16,238960,Path of Exile(not available in your region),"54,321","103,214",Free To Play,2024-08-16 12:01
17,359550,Tom Clancy's Rainbow Six® Siege,"48,099","57,431",NT$ 569.00,2024-08-16 12:01
18,1782210,Crab Game,"47,702","54,034",Free To Play,2024-08-16 12:01
19,251570,7 Days to Die,"47,490","79,382",NT$ 670.00,2024-08-16 12:01
20,236390,War Thunder,"45,758","85,739",Free To Play,2024-08-16 12:01
21,436150,Governor of Poker 3,"44,570","45,074",Free To Play,2024-08-16 12:01
22,2074920,The First Descendant,"44,460","62,793",Free To Play,2024-08-16 12:01
23,230410,Warframe,"39,607","52,005",Free To Play,2024-08-16 12:01
24,289070,Sid Meier’s Civilization® VI,"38,391","60,379","NT$ 1,790.00",2024-08-16 12:01
25,438100,VRChat,"34,880","34,880",Free To Play,2024-08-16 12:01
26,1085660,Destiny 2,"34,713","37,910",Free To Play,2024-08-16 12:01
27,381210,Dead by Daylight,"34,558","54,514",NT$ 379.00,2024-08-16 12:01
28,594650,Hunt: Showdown 1896,"33,622","60,124",NT$ 639.00,2024-08-16 12:01
29,2357570,Overwatch® 2,"33,388","46,655",Free To Play,2024-08-16 12:01
30,39210,FINAL FANTASY XIV Online(not available in your region),"31,777","38,127",Free To Play,2024-08-16 12:01
31,2195250,EA SPORTS FC™ 24,"29,502","61,370","NT$ 1,999.00",2024-08-16 12:01
32,582010,Monster Hunter: World,"28,297","58,875",NT$ 303.00,2024-08-16 12:01
33,553850,HELLDIVERS™ 2,"28,066","31,757","NT$ 1,190.00",2024-08-16 12:01
34,550,Left 4 Dead 2,"27,501","29,446",NT$ 188.00,2024-08-16 12:01
35,2252570,Football Manager 2024,"27,496","64,692",NT$ 519.00,2024-08-16 12:01
36,1281930,tModLoader,"26,465","40,668",Free To Play,2024-08-16 12:01
37,2977660,Cats,"26,177","26,858",Free To Play,2024-08-16 12:01
38,394360,Hearts of Iron IV,"25,339","49,994","NT$ 1,268.00",2024-08-16 12:01
39,1222670,The Sims™ 4,"24,715","38,087",Free To Play,2024-08-16 12:01
40,322330,Don't Starve Together,"24,243","41,617",NT$ 268.00,2024-08-16 12:01
41,304930,Unturned,"24,073","29,534",Free To Play,2024-08-16 12:01
42,105600,Terraria,"23,928","35,205",NT$ 188.00,2024-08-16 12:01
43,1449850,Yu-Gi-Oh! Master Duel,"23,405","36,016",Free To Play,2024-08-16 12:01
44,1091500,Cyberpunk 2077,"23,232","34,505",NT$ 799.00,2024-08-16 12:01
