Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,730,Counter-Strike 2,"651,679","1,280,074",Free To Play,2024-08-13 12:01
2,2923300,Banana,"369,111","437,514",Free To Play,2024-08-13 12:01
3,570,Dota 2,"288,916","641,131",Free To Play,2024-08-13 12:01
4,578080,PUBG: BATTLEGROUNDS,"162,867","663,186",Free To Play,2024-08-13 12:01
5,1172470,Apex Legends™,"93,842","239,544",Free To Play,2024-08-13 12:01
6,2139460,Once Human,"88,543","145,457",Free To Play,2024-08-13 12:01
7,1203220,NARAKA: BLADEPOINT,"80,885","267,102",Free To Play,2024-08-13 12:01
8,271590,Grand Theft Auto V,"79,047","165,840",NT$ 662.00,2024-08-13 12:01
9,431960,Wallpaper Engine,"73,349","119,237",NT$ 120.00,2024-08-13 12:01
10,440,Team Fortress 2,"72,573","82,310",Free To Play,2024-08-13 12:01
11,1245620,ELDEN RING,"72,509","106,930","NT$ 1,790.00",2024-08-13 12:01
12,1938090,Call of Duty®,"68,673","83,096","NT$ 1,790.00",2024-08-13 12:01
13,1086940,Baldur's Gate 3,"67,026","90,246","NT$ 1,599.00",2024-08-13 12:01
14,252490,Rust,"66,598","125,853",NT$ 694.00,2024-08-13 12:01
15,413150,Stardew Valley,"62,989","106,044",NT$ 318.00,2024-08-13 12:01
16,238960,Path of Exile(not available in your region),"57,514","114,485",NT$ 318.00,2024-08-13 12:01
17,1782210,Crab Game,"55,910","57,480",Free To Play,2024-08-13 12:01
18,251570,7 Days to Die,"50,837","80,828",NT$ 670.00,2024-08-13 12:01
19,359550,Tom Clancy's Rainbow Six® Siege,"50,059","61,244",NT$ 569.00,2024-08-13 12:01
20,2074920,The First Descendant,"48,112","68,124",Free To Play,2024-08-13 12:01
21,236390,War Thunder,"46,088","92,591",Free To Play,2024-08-13 12:01
22,230410,Warframe,"40,154","55,179",Free To Play,2024-08-13 12:01
23,436150,Governor of Poker 3,"38,427","43,064",Free To Play,2024-08-13 12:01
24,1085660,Destiny 2,"38,291","42,868",Free To Play,2024-08-13 12:01
25,289070,Sid Meier’s Civilization® VI,"37,496","57,691","NT$ 1,790.00",2024-08-13 12:01
26,381210,Dead by Daylight,"36,974","51,466",NT$ 379.00,2024-08-13 12:01
27,438100,VRChat,"34,508","36,793",Free To Play,2024-08-13 12:01
28,39210,FINAL FANTASY XIV Online(not available in your region),"32,541","40,483",Free To Play,2024-08-13 12:01
29,553850,HELLDIVERS™ 2,"32,008","37,646","NT$ 1,190.00",2024-08-13 12:01
30,2357570,Overwatch® 2,"31,180","43,678",Free To Play,2024-08-13 12:01
31,2195250,EA SPORTS FC™ 24,"29,397","62,283","NT$ 1,999.00",2024-08-13 12:01
32,1281930,tModLoader,"27,035","43,100",Free To Play,2024-08-13 12:01
33,550,Left 4 Dead 2,"26,916","29,994",NT$ 188.00,2024-08-13 12:01
34,2977660,Cats,"26,718","34,452",Free To Play,2024-08-13 12:01
35,2252570,Football Manager 2024,"25,929","64,681","NT$ 1,299.00",2024-08-13 12:01
36,1222670,The Sims™ 4,"25,764","39,578",Free To Play,2024-08-13 12:01
37,394360,Hearts of Iron IV,"24,944","49,377","NT$ 1,268.00",2024-08-13 12:01
38,582010,Monster Hunter: World,"24,731","52,550",NT$ 303.00,2024-08-13 12:01
39,304930,Unturned,"24,138","32,224",Free To Play,2024-08-13 12:01
40,105600,Terraria,"23,883","35,781",NT$ 188.00,2024-08-13 12:01
41,322330,Don't Starve Together,"23,049","47,255",NT$ 268.00,2024-08-13 12:01
42,1623730,Palworld,"22,993","39,893",NT$ 488.00,2024-08-13 12:01
43,221100,DayZ,"22,500","50,131","NT$ 1,499.00",2024-08-13 12:01
44,1174180,Red Dead Redemption 2,"21,814","36,714","NT$ 1,790.00",2024-08-13 12:01
45,108600,Project Zomboid,"21,500","27,567",NT$ 328.00,2024-08-13 12:01
46,1366800,Crosshair X,"21,226","32,196",NT$ 144.00,2024-08-13 12:01
47,3016800,Mecha BREAK Playtest,"20,408","47,109",NT$ 144.00,2024-08-13 12:01
48,489830,The Elder Scrolls V: Skyrim Special Edition,"20,001","27,141",NT$ 299.00,2024-08-13 12:01
49,346110,ARK: Survival Evolved,"19,851","36,984",NT$ 268.00,2024-08-13 12:01
50,1091500,Cyberpunk 2077,"19,708","27,701",NT$ 799.00,2024-08-13 12:01
51,294100,RimWorld,"19,636","25,470",NT$ 529.00,2024-08-13 12:01
52,1449850,Yu-Gi-Oh! Master Duel,"19,493","28,575",Free To Play,2024-08-13 12:01
53,2344520,Diablo® IV,"18,437","31,366","NT$ 1,575.00",2024-08-13 12:01
54,377160,Fallout 4,"18,250","27,046",NT$ 239.00,2024-08-13 12:01
55,1599340,Lost Ark(not available in your region),"18,212","25,568",NT$ 239.00,2024-08-13 12:01
56,2016590,Dark and Darker,"17,490","22,586",Free To Play,2024-08-13 12:01
57,252950,Rocket League®,"16,806","27,441",Free To Play,2024-08-13 12:01
58,1623660,MIR4,"16,765","17,718",Free To Play,2024-08-13 12:01
59,218620,PAYDAY 2,"16,590","20,122",NT$ 188.00,2024-08-13 12:01
60,2709570,Supermarket Together,"16,457","46,745",Free To Play,2024-08-13 12:01
61,275850,No Man's Sky,"15,770","23,139",NT$ 898.00,2024-08-13 12:01
62,4000,Garry's Mod,"15,571","32,116",NT$ 278.00,2024-08-13 12:01
63,739630,Phasmophobia,"15,129","27,687",NT$ 198.00,2024-08-13 12:01
64,892970,Valheim,"14,214","26,139",NT$ 318.00,2024-08-13 12:01
65,1238810,Battlefield™ V,"13,981","37,654",NT$ 209.00,2024-08-13 12:01
66,261550,Mount & Blade II: Bannerlord,"13,931","26,477","NT$ 1,399.00",2024-08-13 12:01
67,960090,Bloons TD 6,"13,851","18,398",NT$ 248.00,2024-08-13 12:01
68,1142710,Total War: WARHAMMER III,"13,512","23,882","NT$ 1,790.00",2024-08-13 12:01
69,1966720,Lethal Company,"13,216","14,643",NT$ 188.00,2024-08-13 12:01
70,813780,Age of Empires II: Definitive Edition,"12,973","18,263",NT$ 679.00,2024-08-13 12:01
71,646570,Slay the Spire,"12,859","16,798",NT$ 499.00,2024-08-13 12:01
72,250900,The Binding of Isaac: Rebirth,"12,765","20,179",NT$ 268.00,2024-08-13 12:01
73,1364780,Street Fighter™ 6,"12,730","25,759","NT$ 1,680.00",2024-08-13 12:01
74,2448970,Dungeonborne(not available in your region),"12,487","20,785","NT$ 1,680.00",2024-08-13 12:01
75,232090,Killing Floor 2,"12,406","12,940",NT$ 688.00,2024-08-13 12:01
76,2073850,THE FINALS,"12,026","15,015",Free To Play,2024-08-13 12:01
77,582660,Black Desert,"11,991","16,127",NT$ 200.00,2024-08-13 12:01
78,1454400,Cookie Clicker,"11,912","14,143",NT$ 102.00,2024-08-13 12:01
79,8930,Sid Meier's Civilization® V,"11,903","17,721",NT$ 895.00,2024-08-13 12:01
80,1158310,Crusader Kings III,"11,800","20,470","NT$ 1,268.00",2024-08-13 12:01
81,548430,Deep Rock Galactic,"11,741","22,099",NT$ 144.00,2024-08-13 12:01
82,513710,SCUM,"11,188","20,267",NT$ 745.00,2024-08-13 12:01
83,2709440,Delta Force Playtest,"11,179","21,806",NT$ 745.00,2024-08-13 12:01
84,2399830,ARK: Survival Ascended,"11,076","14,981","NT$ 1,382.00",2024-08-13 12:01
85,3047030,Tapple - Idle Clicker,"11,031","37,232",Free To Play,2024-08-13 12:01
86,1973530,Limbus Company,"10,948","14,058",Free To Play,2024-08-13 12:01
87,311210,Call of Duty®: Black Ops III,"10,766","12,509",NT$ 659.00,2024-08-13 12:01
88,322170,Geometry Dash,"10,411","17,682",NT$ 102.00,2024-08-13 12:01
89,629520,Soundpad,"10,243","18,164",NT$ 102.00,2024-08-13 12:01
90,281990,Stellaris,"9,979","13,554","NT$ 1,018.00",2024-08-13 12:01
91,2338770,NBA 2K24,"9,774","18,560","NT$ 1,790.00",2024-08-13 12:01
92,427520,Factorio,"9,695","15,811",NT$ 600.00,2024-08-13 12:01
93,227300,Euro Truck Simulator 2,"9,634","36,799",NT$ 428.00,2024-08-13 12:01
94,386360,SMITE®,"9,557","11,621",Free To Play,2024-08-13 12:01
95,2349820,Hero's Land,"9,537","12,322",Free To Play,2024-08-13 12:01
96,306130,The Elder Scrolls® Online,"9,520","15,184",NT$ 179.00,2024-08-13 12:01
97,236850,Europa Universalis IV,"9,510","18,253","NT$ 1,018.00",2024-08-13 12:01
98,594650,Hunt: Showdown,"9,496","21,690",NT$ 799.00,2024-08-13 12:01
99,1248130,Farming Simulator 22,"9,459","36,257",NT$ 650.00,2024-08-13 12:01
100,1313140,Cult of the Lamb,"9,017","10,939",NT$ 244.00,2024-08-13 12:01
