Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,730,Counter-Strike 2,"721,317","1,346,479",Free To Play,2024-08-18 12:01
2,2923300,Banana,"513,836","513,836",Free To Play,2024-08-18 12:01
3,570,Dota 2,"350,913","696,723",Free To Play,2024-08-18 12:01
4,578080,PUBG: BATTLEGROUNDS,"220,850","739,569",Free To Play,2024-08-18 12:01
5,1172470,Apex Legends™,"110,557","254,744",Free To Play,2024-08-18 12:01
6,2139460,Once Human,"109,387","152,133",Free To Play,2024-08-18 12:01
7,1203220,NARAKA: BLADEPOINT,"100,931","279,342",Free To Play,2024-08-18 12:01
8,271590,Grand Theft Auto V,"94,893","175,897",NT$ 974.00,2024-08-18 12:01
9,1245620,ELDEN RING,"87,824","114,695","NT$ 1,790.00",2024-08-18 12:01
10,1086940,Baldur's Gate 3,"80,893","105,030","NT$ 1,599.00",2024-08-18 12:01
11,431960,Wallpaper Engine,"78,427","119,312",NT$ 120.00,2024-08-18 12:01
12,1938090,Call of Duty®,"78,217","89,506",NT$ 120.00,2024-08-18 12:01
13,252490,Rust,"71,459","128,862",NT$ 694.00,2024-08-18 12:01
14,413150,Stardew Valley,"70,840","110,381",NT$ 398.00,2024-08-18 12:01
15,440,Team Fortress 2,"68,899","74,274",Free To Play,2024-08-18 12:01
16,251570,7 Days to Die,"64,360","94,034",NT$ 670.00,2024-08-18 12:01
17,238960,Path of Exile(not available in your region),"58,882","106,220",NT$ 670.00,2024-08-18 12:01
18,2074920,The First Descendant,"55,160","70,545",Free To Play,2024-08-18 12:01
19,359550,Tom Clancy's Rainbow Six® Siege,"54,810","63,946",NT$ 569.00,2024-08-18 12:01
20,236390,War Thunder,"52,403","89,243",Free To Play,2024-08-18 12:01
21,289070,Sid Meier’s Civilization® VI,"49,640","71,133","NT$ 1,790.00",2024-08-18 12:01
22,230410,Warframe,"45,830","57,368",Free To Play,2024-08-18 12:01
23,438100,VRChat,"45,732","45,732",Free To Play,2024-08-18 12:01
24,1966720,Lethal Company,"43,235","44,040",NT$ 188.00,2024-08-18 12:01
25,1085660,Destiny 2,"39,842","42,855",Free To Play,2024-08-18 12:01
26,436150,Governor of Poker 3,"38,180","43,111",Free To Play,2024-08-18 12:01
27,2195250,EA SPORTS FC™ 24,"37,955","67,977","NT$ 1,999.00",2024-08-18 12:01
28,582010,Monster Hunter: World,"37,789","66,362",NT$ 303.00,2024-08-18 12:01
29,381210,Dead by Daylight,"37,486","51,111",NT$ 379.00,2024-08-18 12:01
30,2357570,Overwatch® 2,"36,283","49,955",Free To Play,2024-08-18 12:01
31,1782210,Crab Game,"36,007","55,649",Free To Play,2024-08-18 12:01
32,39210,FINAL FANTASY XIV Online(not available in your region),"33,480","39,548",Free To Play,2024-08-18 12:01
