GameName,SteamCurrentViewers,PersonID,Datetime
Visions of Mana,50 viewers ,SQEX_PC01,2024-08-16 12:01
Eiyuden Chronicle: Hundred Heroes,49 viewers ,EiyudenChronicleStream,2024-08-16 12:01
Hidden Through Time 2: Discovery,47 viewers ,Rogueside,2024-08-16 12:01
Slay the Princess,43 viewers ,blacktabbygames,2024-08-16 12:01
Tropico 6,42 viewers ,El Presidente,2024-08-16 12:01
Mini Settlers,41 viewers ,goblinzstream6,2024-08-16 12:01
Deathbound,41 viewers ,Tate Multimedia,2024-08-16 12:01
Gladiator Guild Manager,39 viewers ,gamedesignchatter,2024-08-16 12:01
Kitaria Fables,38 viewers ,Klopoke,2024-08-16 12:01
Anger Foot,38 viewers ,restream06,2024-08-16 12:01
Rain World,35 viewers ,[AG] riv otter,2024-08-16 12:01
Venture to the Vile,33 viewers ,Studio Cut to Bits,2024-08-16 12:01
Potion Craft: Alchemist Simulator,33 viewers ,tinyStreamer02,2024-08-16 12:01
Nightingale,33 viewers ,Inflexion Steph,2024-08-16 12:01
Cooking Simulator,33 viewers ,rafal.szymanski,2024-08-16 12:01
Stick It to the Stickman,32 viewers ,Devolver Stream,2024-08-16 12:01
Deadside,32 viewers ,tinyStreamer20,2024-08-16 12:01
Train Valley World,31 viewers ,tinyStreamer07,2024-08-16 12:01
TerraScape,30 viewers ,Bitfall Studios,2024-08-16 12:01
This Bed We Made,30 viewers ,lowbirthgames,2024-08-16 12:01
The Operator,29 viewers ,Bureau 81,2024-08-16 12:01
Tavern Talk,29 viewers ,Gentle Troll,2024-08-16 12:01
Leximan,29 viewers ,MEUR_Dani,2024-08-16 12:01
Preserve,28 viewers ,Skala,2024-08-16 12:01
Flintlock: The Siege of Dawn,28 viewers ,StarcasterMafia,2024-08-16 12:01
Dungeons 4,27 viewers ,kalypsobroadcast02,2024-08-16 12:01
Diplomacy is Not an Option,27 viewers ,LuckyStiff,2024-08-16 12:01
Wingspan,26 viewers ,Wingspan Stream,2024-08-16 12:01
NIMRODS,26 viewers ,Fiveamp,2024-08-16 12:01
Tempest Rising,25 viewers ,Eric | 3DR,2024-08-16 12:01
Rise Of The White Sun,25 viewers ,tguyon,2024-08-16 12:01
Caravan Sandwitch,25 viewers ,frmc983.steam.ir4sc8,2024-08-16 12:01
Legion TD 2,24 viewers ,AutoAttackGames,2024-08-16 12:01
Children of the Sun,24 viewers ,restream03,2024-08-16 12:01
SULFUR,23 viewers ,Perfect Random AB,2024-08-16 12:01
Gestalt: Steam & Cinder,23 viewers ,tom,2024-08-16 12:01
ROBOBEAT,23 viewers ,matthew.barter,2024-08-16 12:01
Kingdom Rush Vengeance,23 viewers ,Patt,2024-08-16 12:01
HumanitZ,23 viewers ,HumanitZ Official,2024-08-16 12:01
Little-Known Galaxy,22 viewers ,kay,2024-08-16 12:01
Men of War II,22 viewers ,FQ_Kordus,2024-08-16 12:01
Solasta: Crown of the Magister,22 viewers ,Tactical Adventures,2024-08-16 12:01
The Last Plague: Blight,20 viewers ,originalstudios,2024-08-16 12:01
Once Upon a Rogue's Tale,20 viewers ,polypirates,2024-08-16 12:01
Firestone: Online Idle RPG,20 viewers ,Holyday Developer,2024-08-16 12:01
Big Ambitions,19 viewers ,jhovgaard,2024-08-16 12:01
Alchemist Shop Simulator,19 viewers ,Kool2Play Stream,2024-08-16 12:01
Astro Hunters VR,19 viewers ,Joanna_WS,2024-08-16 12:01
Guayota,18 viewers ,frms820.steam.xk79n6,2024-08-16 12:01
3on3 FreeStyle: Rebound,18 viewers ,fsbuild02,2024-08-16 12:01
Kingdom Rush,17 viewers ,rodrigo.moreno,2024-08-16 12:01
Drug Dealer Simulator,17 viewers ,stream5,2024-08-16 12:01
Travellers Rest,17 viewers ,The Bullet,2024-08-16 12:01
