GameName,SteamCurrentViewers,PersonID,Datetime
shapez 2,"1,963 viewers ",tobspr Games - Stream 1,2024-08-20 12:01
Trailmakers,"1,503 viewers ",FlashbulbGames,2024-08-20 12:01
Crime Scene Cleaner,"1,147 viewers ",Intuition,2024-08-20 12:01
Fields of Mistria,"1,033 viewers ",andrew,2024-08-20 12:01
HumanitZ,"1,031 viewers ",HumanitZ Official,2024-08-20 12:01
Level Zero: Extraction,874 viewers ,tinyStreamer08,2024-08-20 12:01
Dawn of Defiance,633 viewers ,Monday,2024-08-20 12:01
Euro Truck Simulator 2,548 viewers ,SCS Software,2024-08-20 12:01
For The King II,493 viewers ,For The King 2,2024-08-20 12:01
Persona 3 Reload,414 viewers ,steam-atlusjp-official,2024-08-20 12:01
Brawlhalla,226 viewers ,ProBrawlhalla,2024-08-20 12:01
Farewell North,222 viewers ,Mooneye,2024-08-20 12:01
Feed the Deep,218 viewers ,muscat,2024-08-20 12:01
Intravenous 2,216 viewers ,Supertehteh,2024-08-20 12:01
ASKA,202 viewers ,ThunderfulPaige | Community,2024-08-20 12:01
The Elder Scrolls Online,190 viewers ,bethesdasteamstream,2024-08-20 12:01
V Rising,185 viewers ,sls_khct,2024-08-20 12:01
CyberCorp,184 viewers ,Megame,2024-08-20 12:01
Tales And Tactics,182 viewers ,Yogscast Games,2024-08-20 12:01
"Warhammer 40,000: Speed Freeks",177 viewers ,SpeedFreeksLIVE,2024-08-20 12:01
Guayota,13 viewers ,frms820.steam.xk79n6,2024-08-20 12:01
Railway Empire 2,13 viewers ,kalypsobroadcast04,2024-08-20 12:01
SCHiM,13 viewers ,Ewoud,2024-08-20 12:01
Ship Graveyard Simulator 2,13 viewers ,gi.team13,2024-08-20 12:01
Mail Time,13 viewers ,MailTime Official,2024-08-20 12:01
Sugar Shack,13 viewers ,SugarShackOfficial,2024-08-20 12:01
Through the Nightmares,13 viewers ,xxx,2024-08-20 12:01
Afterlove EP,12 viewers ,FTStream4,2024-08-20 12:01
Dark Deity,12 viewers ,DarkDeityOfficial,2024-08-20 12:01
BLOODKILL,12 viewers ,Alien1st,2024-08-20 12:01
Tools Up! Ultimate Edition,12 viewers ,RumHam871115,2024-08-20 12:01
Drug Dealer Simulator,12 viewers ,stream5,2024-08-20 12:01
Nordic Ashes,12 viewers ,Noxfall Studios,2024-08-20 12:01
BIOMORPH,12 viewers ,Lucid Dreams Studio,2024-08-20 12:01
Punch Club 2: Fast Forward,12 viewers ,tinyStreamer17,2024-08-20 12:01
Abathor,12 viewers ,jandujar2,2024-08-20 12:01
Phantom Spark,11 viewers ,Coatsink,2024-08-20 12:01
Hard Bullet,11 viewers ,zkomnata,2024-08-20 12:01
Kingdom Rush Origins,11 viewers ,reynaldo.suarez,2024-08-20 12:01
SULFUR,11 viewers ,Perfect Random AB,2024-08-20 12:01
Train Valley World,11 viewers ,tinyStreamer07,2024-08-20 12:01
"Magical Mic Duel: Senpai, Hear My Spell",11 viewers ,[GMB] Jim,2024-08-20 12:01
Final Stardust: Cosmic Nexus,11 viewers ,Final Stardust: Cosmic Nexus,2024-08-20 12:01
Ad Fundum,11 viewers ,Disa,2024-08-20 12:01
The Emperor and State,11 viewers ,Bully Hunter,2024-08-20 12:01
Little-Known Galaxy,11 viewers ,kay,2024-08-20 12:01
Townscaper,11 viewers ,rf_broadcast7,2024-08-20 12:01
We are Eva,10 viewers ,Totally Normal Creature,2024-08-20 12:01
Quilts and Cats of Calico,10 viewers ,Quilts and Cats of Calico Stream,2024-08-20 12:01
Tiny Bookshop,10 viewers ,neoludic games,2024-08-20 12:01
Sanctuary: Shattered Sun,10 viewers ,Special Bread,2024-08-20 12:01
IHAS,10 viewers ,Aeman,2024-08-20 12:01
Black Myth: Wukong,10 viewers ,Kucchi,2024-08-20 12:01
Craft The World,10 viewers ,sibear.kz,2024-08-20 12:01
Astor: Blade of the Monolith,10 viewers ,tinyStreamer18,2024-08-20 12:01
Mudborne,9 viewers ,ellraiser,2024-08-20 12:01
Dying Light,9 viewers ,Pheathon,2024-08-20 12:01
MainFrames,9 viewers ,dotemu_the_arcade_crew_broadcast,2024-08-20 12:01
HELLCARD,9 viewers ,Filip,2024-08-20 12:01
Troublemaker,9 viewers ,TroublemakerOfficial,2024-08-20 12:01
Esophaguys,9 viewers ,MadTubeSock,2024-08-20 12:01
Farmer's Life,9 viewers ,FreeMind,2024-08-20 12:01
Espresso Tycoon,9 viewers ,joanna_dreamwaygames,2024-08-20 12:01
Alchemist Shop Simulator,9 viewers ,Kool2Play Stream,2024-08-20 12:01
