71,100 Funny Cats,2881230,0.9181999999999999,1122,1884,2024-08-05 12:03
72,Kukoro: Stream chat games,1166990,0.9179,2540,101,2024-08-05 12:03
73,DEVIL BLADE REBOOT,2882440,0.9178000000000001,2217,202,2024-08-05 12:03
74,Laughing to Die,2182400,0.9174,3168,484,2024-08-05 12:03
75,彼方的她-Aliya,2704110,0.917,698,62,2024-08-05 12:03
76,NIGHT-RUNNERS™ PROLOGUE,2707900,0.9168999999999999,17288,2428,2024-08-05 12:03
77,Leap Year,2951770,0.9166,736,128,2024-08-05 12:03
78,The Outlast Trials,1304930,0.9165000000000001,164776,36689,2024-08-05 12:03
79,Windowkill,2726450,0.9159999999999999,4546,382,2024-08-05 12:03
80,Supermarket Simulator,2670630,0.9158,88552,51363,2024-08-05 12:03
81,Scroll Of Taiwu - 新衣贺春,2764960,0.9157,0,0,2024-08-05 12:03
82,Ale & Tale Tavern: First Pints,2870840,0.9154000000000001,7969,1311,2024-08-05 12:03
83,Duck Detective: The Secret Salami,2637990,0.9153,9772,456,2024-08-05 12:03
84,Slice & Dice,1775490,0.9152,7085,1624,2024-08-05 12:03
85,1000xRESIST,1675830,0.9147,6186,107,2024-08-05 12:03
86,BoardLand,2735620,0.9146,682,223,2024-08-05 12:03
87,Dystopika,2379910,0.914,12161,258,2024-08-05 12:03
88,[Nightmare Files] Clap Clap,2933290,0.9139,763,171,2024-08-05 12:03
89,Legend of Mortal Soundtrack,2983230,0.9137000000000001,0,0,2024-08-05 12:03
90,News Tower,1649950,0.9134,15696,1156,2024-08-05 12:03
91,垃圾桶军团,2690970,0.9133,2498,606,2024-08-05 12:03
92,project canvas 〜ヰ世界情緒育成計画〜,2872930,0.9123,845,431,2024-08-05 12:03
93,Cats and Seek : Kyoto,2845320,0.9120999999999999,644,264,2024-08-05 12:03
94,4D Golf,2147950,0.9112,2269,199,2024-08-05 12:03
95,Nothing,2696480,0.9107,2009,694,2024-08-05 12:03
96,SKALD: Against the Black Priory,1069160,0.9107,16967,1347,2024-08-05 12:03
97,Our Adventurer Guild,2026000,0.9106000000000001,4002,434,2024-08-05 12:03
98,Aurora Hills: Chapter 1,2762230,0.9105,1380,158,2024-08-05 12:03
