1,Sheepy: A Short Adventure,1568400,0.9588,5077,358,2024-08-06 12:22
2,The WereCleaner,2795000,0.9581000000000001,2483,193,2024-08-06 12:22
3,Balatro,2379780,0.9548000000000001,50732,37977,2024-08-06 12:22
4,20 Small Mazes,2570630,0.9512999999999999,713,1070,2024-08-06 12:22
5,The Hungry Lamb: Traveling in the Late Ming Dynasty,2593370,0.95,36417,5093,2024-08-06 12:22
6,Paper Lily - Chapter 1,2220360,0.9497,6486,402,2024-08-06 12:22
7,"Please, Touch The Artwork 2",2600140,0.9494,1282,365,2024-08-06 12:22
8,I Wani Hug that Gator!,1895350,0.9489,5967,759,2024-08-06 12:22
9,Murders on the Yangtze River,1746030,0.9481,17782,4964,2024-08-06 12:22
10,Crow Country,1996010,0.9426000000000001,14734,836,2024-08-06 12:22
11,The Planet Crafter,1284190,0.9414,141081,28416,2024-08-06 12:22
12,Summer Clover,2458860,0.9412999999999999,18418,5199,2024-08-06 12:22
13,Psychopomp,2771670,0.9407,2005,65,2024-08-06 12:22
14,Fallen Aces,1411910,0.9406,22631,1349,2024-08-06 12:22
15,ENDER MAGNOLIA: Bloom in the Mist,2725260,0.9396,19917,2721,2024-08-06 12:22
16,Until Then,1574820,0.9392,11504,446,2024-08-06 12:22
17,DORONKO WANKO,2512840,0.9387000000000001,2477,537,2024-08-06 12:22
18,Minami Lane,2678990,0.9386,8191,503,2024-08-06 12:22
19,Felvidek,2299900,0.9386,9967,112,2024-08-06 12:22
20,买个可乐饼吧！ - Buy a Croquette!,2167960,0.9379000000000001,1342,313,2024-08-06 12:22
21,MULLET MADJACK,2111190,0.9378,22077,808,2024-08-06 12:22
22,It Takes Two Friend's Pass,2995920,0.9377,0,0,2024-08-06 12:22
23,Rabbit and Steel,2132850,0.9372,19196,5446,2024-08-06 12:22
24,Nightmare Kart,2930160,0.9368000000000001,9970,1332,2024-08-06 12:22
25,Minishoot' Adventures,1634860,0.9368000000000001,7328,1367,2024-08-06 12:22
26,No Case Should Remain Unsolved,2676840,0.9359999999999999,6783,594,2024-08-06 12:22
27,Touhou Hero of Ice Fairy,1955830,0.9356,9186,1168,2024-08-06 12:22
28,Spirit City: Lofi Sessions,2113850,0.9353,18126,4212,2024-08-06 12:22
29,Living With Sister: Monochrome Fantasy,2429860,0.9351999999999999,30797,5044,2024-08-06 12:22
30,Abiotic Factor,427410,0.9348000000000001,67789,21753,2024-08-06 12:22
31,Winter Memories,2495450,0.9348000000000001,37818,12403,2024-08-06 12:22
32,Rusty's Retirement,2666510,0.9344,20498,20876,2024-08-06 12:22
33,Portal: Revolution,601360,0.9335,23618,7483,2024-08-06 12:22
34,Goat Simulator 3,850190,0.9335,17622,2431,2024-08-06 12:22
35,ANIMAL WELL,813230,0.9333,39707,8133,2024-08-06 12:22
36,A Tower Full of Cats,2179170,0.9331999999999999,1727,452,2024-08-06 12:22
37,100 Ninja Cats,2776810,0.9326000000000001,1551,1255,2024-08-06 12:22
38,Cureocity,2612680,0.9326000000000001,1979,534,2024-08-06 12:22
39,Indigo Park: Chapter 1,2504480,0.9323,15378,2030,2024-08-06 12:22
40,NUKITASHI 2,2614070,0.9319,5127,1252,2024-08-06 12:22
41,Anomaly Agent,2378620,0.9314,16904,1724,2024-08-06 12:22
42,我的小鲨鱼,2758540,0.9312,5471,1551,2024-08-06 12:22
43,Content Warning,2881650,0.9309999999999999,75726,204439,2024-08-06 12:22
44,Buckshot Roulette,2835570,0.9294,40803,9067,2024-08-06 12:22
45,Rooftops & Alleys: The Parkour Game,2703850,0.9292,19232,1425,2024-08-06 12:22
46,100 Capitalist Cats,2743080,0.929,1283,2313,2024-08-06 12:22
47,Palworld,1623730,0.9279000000000001,551573,2101867,2024-08-06 12:22
48,Path of Achra,2128270,0.9279000000000001,3779,383,2024-08-06 12:22
49,Hades II,1145350,0.9278,215790,103567,2024-08-06 12:22
50,Snufkin: Melody of Moominvalley,1808680,0.9273,17718,1125,2024-08-06 12:22
51,Nine Sols,1809540,0.9268000000000001,46586,6568,2024-08-06 12:22
52,Dog Brew,2883280,0.9265000000000001,2113,436,2024-08-06 12:22
53,Crime Scene Cleaner: Prologue,2540100,0.9257,5169,3651,2024-08-06 12:22
54,Persona 3 Reload,2161700,0.9256,78082,45002,2024-08-06 12:22
55,Angel at Dusk,1405500,0.9256,4728,318,2024-08-06 12:22
56,last seen online,2824230,0.9256,321,35,2024-08-06 12:22
57,BlazBlue Entropy Effect - Rachel Character Pack,3085820,0.9251,0,0,2024-08-06 12:22
58,"Knowledge, or know Lady",2786680,0.9239,48703,15030,2024-08-06 12:22
59,The Powder Toy,1148350,0.9235,1235,430,2024-08-06 12:22
60,Another Crab's Treasure,1887840,0.9234,38050,4715,2024-08-06 12:22
61,Illusion Carnival,2796340,0.9233,3491,205,2024-08-06 12:22
62,Shin Megami Tensei V: Vengeance,1875830,0.9229999999999999,30611,21749,2024-08-06 12:22
63,UNDERDOGS,2441700,0.9225,6450,198,2024-08-06 12:22
64,"Little Kitty, Big City",1177980,0.9224,53320,3028,2024-08-06 12:22
65,Yellow Taxi Goes Vroom,2011780,0.922,2549,137,2024-08-06 12:22
66,Arctic Eggs,2763670,0.9212,2918,133,2024-08-06 12:22
67,Bagel Love Story,2798600,0.9204000000000001,1042,318,2024-08-06 12:22
68,BlazBlue Entropy Effect,2273430,0.92,54016,6956,2024-08-06 12:22
69,Empires of the Undergrowth,463530,0.919,76771,6367,2024-08-06 12:22
70,100 March Cats,2845260,0.9184,1163,805,2024-08-06 12:22
71,100 Funny Cats,2881230,0.9183,1123,1884,2024-08-06 12:22
72,Kukoro: Stream chat games,1166990,0.9179,2541,101,2024-08-06 12:22
73,DEVIL BLADE REBOOT,2882440,0.9178000000000001,2221,202,2024-08-06 12:22
74,Laughing to Die,2182400,0.9175,3171,484,2024-08-06 12:22
75,彼方的她-Aliya,2704110,0.9174,704,62,2024-08-06 12:22
76,Leap Year,2951770,0.917,747,128,2024-08-06 12:22
77,NIGHT-RUNNERS™ PROLOGUE,2707900,0.9168999999999999,17355,2428,2024-08-06 12:22
78,The Outlast Trials,1304930,0.9165000000000001,164827,36689,2024-08-06 12:22
79,Windowkill,2726450,0.9161,4552,382,2024-08-06 12:22
80,Scroll Of Taiwu - 新衣贺春,2764960,0.9158,0,0,2024-08-06 12:22
81,Supermarket Simulator,2670630,0.9156,88718,51363,2024-08-06 12:22
82,Duck Detective: The Secret Salami,2637990,0.9155,9775,456,2024-08-06 12:22
83,Ale & Tale Tavern: First Pints,2870840,0.9153,8016,1311,2024-08-06 12:22
84,Slice & Dice,1775490,0.9153,7090,1624,2024-08-06 12:22
85,1000xRESIST,1675830,0.9152,6202,107,2024-08-06 12:22
86,BoardLand,2735620,0.9146,682,223,2024-08-06 12:22
87,[Nightmare Files] Clap Clap,2933290,0.9143000000000001,770,171,2024-08-06 12:22
88,Dystopika,2379910,0.9142,12183,258,2024-08-06 12:22
89,Legend of Mortal Soundtrack,2983230,0.9138,0,0,2024-08-06 12:22
90,News Tower,1649950,0.9135,15717,1156,2024-08-06 12:22
91,垃圾桶军团,2690970,0.9134,2500,606,2024-08-06 12:22
92,project canvas 〜ヰ世界情緒育成計画〜,2872930,0.9123,847,431,2024-08-06 12:22
93,Cats and Seek : Kyoto,2845320,0.9122,645,264,2024-08-06 12:22
94,4D Golf,2147950,0.9112,2270,199,2024-08-06 12:22
95,Our Adventurer Guild,2026000,0.9109999999999999,4042,434,2024-08-06 12:22
96,Aurora Hills: Chapter 1,2762230,0.9109,1394,158,2024-08-06 12:22
97,Nothing,2696480,0.9107999999999999,2010,694,2024-08-06 12:22
98,Dune: Imperium,1689500,0.9104000000000001,15626,1133,2024-08-06 12:22
99,SKALD: Against the Black Priory,1069160,0.9098999999999999,17012,1347,2024-08-06 12:22
100,Dünnes Eis - Das Spiel zum Song,2961990,0.9098999999999999,560,75,2024-08-06 12:22
101,Cookard,2919650,0.9096,863,210,2024-08-06 12:22
102,HIDDEN CATS: The last of cats,2907010,0.9094,270,51,2024-08-06 12:22
103,ROBOBEAT,1456760,0.9093000000000001,8685,481,2024-08-06 12:22
104,Cryptmaster,1885110,0.909,10684,406,2024-08-06 12:22
105,突然＊恋人,2510810,0.909,2209,355,2024-08-06 12:22
106,My succubus Kukula,2848420,0.9085,422,105,2024-08-06 12:22
107,The Great Rebellion,2732820,0.9084,2301,85,2024-08-06 12:22
108,Elder Legacy,2669860,0.9081999999999999,3232,286,2024-08-06 12:22
109,Kitsune Tails,1325260,0.9081999999999999,2858,107,2024-08-06 12:22
110,Black Gunner Wukong,2270750,0.9079999999999999,871,189,2024-08-06 12:22
111,KUNKUN Defender,2902540,0.9079,971,477,2024-08-06 12:22
112,Ancient Warfare 3,758990,0.9074,5160,180,2024-08-06 12:22
113,Thank Goodness You're Here!,2366980,0.9073,4671,678,2024-08-06 12:22
114,Reus 2,1875060,0.907,14505,1237,2024-08-06 12:22
115,Multi Turret Academy,1869270,0.9068,4019,170,2024-08-06 12:22
116,Tiny Terry's Turbo Trip,2238040,0.9065000000000001,2822,162,2024-08-06 12:22
117,Cats Hidden in China,2608040,0.9065000000000001,378,37,2024-08-06 12:22
118,Deep Rock Galactic - Order of the Deep Pack,2934390,0.9064,0,0,2024-08-06 12:22
119,Shipwrecked 64,2160220,0.9053,2836,207,2024-08-06 12:22
120,POOLS,2663530,0.9052,10079,362,2024-08-06 12:22
121,Turnip Boy Robs a Bank,2097230,0.9052,6165,606,2024-08-06 12:22
122,Emberward,2459550,0.9041,7108,1367,2024-08-06 12:22
123,Duelists of Eden,1664200,0.9041,4920,663,2024-08-06 12:22
124,KinitoPET,2075070,0.9031,9554,655,2024-08-06 12:22
125,Ghost of Tsushima DIRECTOR'S CUT,2215430,0.9029,138097,77154,2024-08-06 12:22
126,热血大唐,2718730,0.9025,977,238,2024-08-06 12:22
127,Commando Collection,3059010,0.9025,1123,115,2024-08-06 12:22
128,Arzette: The Jewel of Faramore,1924780,0.9020999999999999,2343,166,2024-08-06 12:22
129,Supermarket Simulator: Prologue,2772560,0.9011,3705,3681,2024-08-06 12:22
130,Lorelei and the Laser Eyes,2008920,0.9009999999999999,5677,569,2024-08-06 12:22
131,Chill Pulse,2826180,0.9009,6022,2189,2024-08-06 12:22
132,SUMMERHOUSE,2533960,0.9004000000000001,15389,528,2024-08-06 12:22
133,Mimic Logic,2455920,0.9004000000000001,877,143,2024-08-06 12:22
134,Persona 3 Reload - Digital Soundtrack,2517310,0.0978,0,0,2024-08-06 12:22
135,Cities: Skylines II - Beach Properties,2427740,0.09539999999999998,0,0,2024-08-06 12:22
136,100 Dino Cats,2803000,0.8994,1430,2049,2024-08-06 12:22
137,Hotdog Runner,2779440,0.8981999999999999,448,49,2024-08-06 12:22
138,Withering Rooms,2006140,0.898,6406,298,2024-08-06 12:22
139,The Hungry Lamb: Traveling in the Late Ming Dynasty (Original Soundtrack),2949210,0.8979,0,0,2024-08-06 12:22
140,The Aquarium does not dance,2814910,0.8976000000000001,1271,739,2024-08-06 12:22
141,Rental,2796550,0.8974,2223,130,2024-08-06 12:22
142,Staffer Reborn,2658920,0.8966,536,89,2024-08-06 12:22
143,Frostrain,2735630,0.8957999999999999,2120,838,2024-08-06 12:22
144,Tinkerlands: A Shipwrecked Adventure,2658710,0.8956000000000001,3284,1432,2024-08-06 12:22
145,Mad Island,2739590,0.8954000000000001,25510,4806,2024-08-06 12:22
146,Farlands,2252680,0.8953,9637,478,2024-08-06 12:22
147,Doll Impostor,2882870,0.8946999999999999,694,155,2024-08-06 12:22
148,ALAA-MOGUS MUST DIE,2777230,0.894,338,41,2024-08-06 12:22
