UUID,Rank,GameID,Country,Date
8a7bd5ac-1a20-4a67-8e5e-ce6b40d921ff,1,730,AT,2024-08-10
b7d9c96a-bf3f-421e-b197-6e93adf2ba21,2,306130,AT,2024-08-10
f6ffa535-53bd-45f4-a083-3d77adac67a7,3,1675200,AT,2024-08-10
48d28497-8d12-4e34-84fc-6b7d865f8e07,4,1593500,AT,2024-08-10
f795115b-02b3-47a2-b5a4-431dee93c4fc,5,2074920,AT,2024-08-10
ce829578-660b-4c96-8f4c-433ce7195905,6,236390,AT,2024-08-10
366072b2-7fbc-4e1c-b526-5cff8cc2a628,7,1222670,AT,2024-08-10
60e10970-6fb2-4b6c-86ac-fd36ac2c0c58,8,2933620,AT,2024-08-10
ed62be9a-3e38-4856-8de1-2fe3aca7ef10,9,33369,AT,2024-08-10
7e2f11f0-e6e0-45ec-b0ff-b2e361e78055,10,397540,AT,2024-08-10
e672e774-d5f0-4ff1-a7eb-ef9970f92e5f,11,1086940,AT,2024-08-10
f2552a79-3491-450d-b1b3-2b69cff261eb,12,238960,AT,2024-08-10
bf20ee24-1f0f-4941-95e6-4b0a37eb2d74,13,578080,AT,2024-08-10
edb7b52d-6fbd-48d2-a5af-3fab4186e7d3,14,1857090,AT,2024-08-10
80b630ca-7fe1-4775-96cc-ce58ea7a9266,15,2183900,AT,2024-08-10
8b1865ee-1091-46f2-a873-86b923fb3bac,16,2638370,AT,2024-08-10
a071894e-e77b-4c51-a874-025c2cfb9575,17,381210,AT,2024-08-10
a9b31aef-1236-402b-8f78-e2aa05f93e09,18,553850,AT,2024-08-10
852ade04-46df-4008-ad08-e4f8aaa3bdfd,19,15435,AT,2024-08-10
633a4647-3483-4337-963c-1325f5775ad2,20,2139460,AT,2024-08-10
0543f511-3149-4d16-88bc-242c6f165194,21,230410,AT,2024-08-10
a223b14e-4fbe-45ae-a283-54c2751b5eb3,22,782330,AT,2024-08-10
fc656e9c-e483-4c28-b7a4-8f10b7ed808d,23,29857,AT,2024-08-10
84191a39-095a-47e4-8b0f-da0e643ce6ec,24,2195250,AT,2024-08-10
1054b355-a8a2-442b-be79-a140285cbd4a,25,1245620,AT,2024-08-10
1e2420ef-936c-41c3-ab64-16547275fa25,26,252490,AT,2024-08-10
762ee9d4-6365-4379-91fd-db28679f7fd0,27,15366,AT,2024-08-10
3da66d78-867c-4afc-b354-9c9598f419aa,28,2344520,AT,2024-08-10
63d283bc-7eaf-4231-822d-85e90b8094ce,29,271590,AT,2024-08-10
1fa4f899-cb99-48ab-8ac8-99af91439450,30,1172470,AT,2024-08-10
8b5ad784-4666-42a1-905b-c992ad248aa7,31,2808930,AT,2024-08-10
dc0b285e-6241-417c-99a8-0e512689952c,32,41570,AT,2024-08-10
c8a4fa75-8d91-4d26-8e58-1dded109f41c,33,1449850,AT,2024-08-10
11ddd9f9-5e29-43a3-8d71-35620552d250,34,377160,AT,2024-08-10
16ba9906-372c-44f3-b6d0-df3af42f177f,35,39210,AT,2024-08-10
2f3a32c0-8722-4e3a-a442-10f30b61ffba,36,2751000,AT,2024-08-10
e950fe4a-305f-4864-880e-d7de11bc3c72,37,1599340,AT,2024-08-10
ed7c12ee-14ce-45f9-9dc8-acad4ce052a7,38,1716740,AT,2024-08-10
fb4f5ba5-35ad-4bcb-93bd-dab62e9ee9ad,39,27654,AT,2024-08-10
0bd560fb-480a-4a81-b570-e93c0be2b54e,40,1717250,AT,2024-08-10
12a5b4c7-6837-4b2f-984d-70fdd571ca7a,41,38150,AT,2024-08-10
5b903f2f-ceab-4702-b32d-dbfb152800b4,42,1237970,AT,2024-08-10
7b1732af-e3c5-4dc9-b0ca-93ea4d083235,43,2362300,AT,2024-08-10
bef80e50-1406-4a11-b8be-e35ff5e532ee,44,2669320,AT,2024-08-10
fa1389c9-6210-4fa6-9e22-46401d3ad74f,45,2358720,AT,2024-08-10
388d7c39-d2bb-4a03-aa58-12df5c666494,46,489830,AT,2024-08-10
d3d6d3dc-2b6e-46ef-a85d-ee37ddc9c85b,47,24066,AT,2024-08-10
852fb7e0-d838-4480-94a9-e12e8502ae09,48,570,AT,2024-08-10
4c6b3764-be3f-45da-8078-ba7d2b425aab,49,2567870,AT,2024-08-10
2526d652-48ca-40f0-b318-8c3bc222ce8c,50,1250410,AT,2024-08-10
d0c8fa19-d769-469b-9acd-3bcd39178e93,51,34872,AT,2024-08-10
