UUID,Rank,GameID,Country,Date,SystemDate
7c8e82a1-e418-421e-b082-f896bf26a9d2,1,578080,ES,2024-08-12,2024-08-14 18:45
189cf48a-223c-4c9e-90f4-72833f105add,2,730,ES,2024-08-12,2024-08-14 18:45
737b28b9-7dc1-4916-bdef-1d132e3924a1,4,1593500,ES,2024-08-12,2024-08-14 18:45
0b05a00a-dd73-4c41-8e54-371624c0d022,5,393080,ES,2024-08-12,2024-08-14 18:45
11ce864c-f51d-4016-94b6-f8b096fa53d3,7,397540,ES,2024-08-12,2024-08-14 18:45
fef3e254-996c-411d-85ac-88ce119ed2fc,8,311210,ES,2024-08-12,2024-08-14 18:45
b130ebf0-515e-4d7e-8c46-4c03c83a045a,9,2349820,ES,2024-08-12,2024-08-14 18:45
eb5c8b8e-1761-4e7c-b774-a053aa4cbc98,10,1086940,ES,2024-08-12,2024-08-14 18:45
17bd8a2a-7cdb-4f8b-8667-092dfc91b6b7,11,2933620,ES,2024-08-12,2024-08-14 18:45
b15f052e-16d1-4720-8cc5-2436a912404b,12,1203220,ES,2024-08-12,2024-08-14 18:45
dd66aff6-a376-455e-88e3-440bf9a19d9a,14,2358720,ES,2024-08-12,2024-08-14 18:45
70fb6b6e-14ed-4faf-8e7a-22d93cb96ff0,15,1245620,ES,2024-08-12,2024-08-14 18:45
a65ee118-dc13-495f-acf4-388b2cb5c4c5,16,1599340,ES,2024-08-12,2024-08-14 18:45
4743a705-d8f9-4605-98d2-5c47cfce407d,17,2139460,ES,2024-08-12,2024-08-14 18:45
7dc635f6-8f94-4fee-a57e-326d9756874e,18,2751000,ES,2024-08-12,2024-08-14 18:45
9a7abe21-207a-45f3-86ba-1946a2f68fbf,20,2142790,ES,2024-08-12,2024-08-14 18:45
ea155f85-3e3e-4784-9802-cac2ab1ee657,21,381210,ES,2024-08-12,2024-08-14 18:45
94d17025-ecaf-43e7-9dcc-b6af85682423,22,2638370,ES,2024-08-12,2024-08-14 18:45
09ac5aae-fd38-498a-a5cc-b8ab9bcb57ff,23,2183900,ES,2024-08-12,2024-08-14 18:45
3bb63d0c-7585-498e-8920-a4e759ef621f,24,739630,ES,2024-08-12,2024-08-14 18:45
c7b1c392-d05d-4a7f-b30d-813fce6702df,25,230410,ES,2024-08-12,2024-08-14 18:45
429b9464-aec0-40c2-9cd8-8f035837fb11,26,782330,ES,2024-08-12,2024-08-14 18:45
42b7d1c4-df44-44bf-86a0-4e1f2598a262,28,2074920,ES,2024-08-12,2024-08-14 18:45
3ee5b496-49dd-49bf-8482-24f373b6433b,29,553850,ES,2024-08-12,2024-08-14 18:45
f2b8e08e-a6a2-4d9b-bbad-110355ed6fb9,30,413150,ES,2024-08-12,2024-08-14 18:45
65bdde8d-77a8-417d-9957-bd3016d515f2,32,377160,ES,2024-08-12,2024-08-14 18:45
9ddbc067-90e4-4977-b821-54e266f1e986,33,238960,ES,2024-08-12,2024-08-14 18:45
17fbd709-8c56-499d-8cdd-7aa1c0b16142,34,570,ES,2024-08-12,2024-08-14 18:45
bf2bcd5e-0595-4b2d-bb35-81f20aeb92f4,35,271590,ES,2024-08-12,2024-08-14 18:45
9bbf96af-6bb6-46b4-bf0b-c4bd74b967fd,37,49520,ES,2024-08-12,2024-08-14 18:45
a406cc79-063c-4efd-816f-9babee61c7e4,38,236390,ES,2024-08-12,2024-08-14 18:45
5f40a9f3-5e0c-4f04-88d4-786b5dedbbc7,39,1286680,ES,2024-08-12,2024-08-14 18:45
21bf07dc-fdd6-4747-8e4a-f5d2ac1f857f,40,1222670,ES,2024-08-12,2024-08-14 18:45
1e2cd55b-3271-4b12-a55d-1b643c2be852,42,1237970,ES,2024-08-12,2024-08-14 18:45
2a87774e-6341-49a2-8c39-dc82e96f73e8,44,252490,ES,2024-08-12,2024-08-14 18:45
10e0ff26-6fab-4a2f-b786-a15e2762b052,45,489830,ES,2024-08-12,2024-08-14 18:45
3a0801c5-a563-4e1c-a570-a613efd17b29,46,306130,ES,2024-08-12,2024-08-14 18:45
e4f29e49-2924-49b9-a4a6-8051fe0e87bb,47,227300,ES,2024-08-12,2024-08-14 18:45
29c15aee-28e6-4406-a3c9-ab1de1b5254a,48,2778580,ES,2024-08-12,2024-08-14 18:45
775fa0ac-3158-4b08-8582-29b899429acf,49,1716740,ES,2024-08-12,2024-08-14 18:45
b90e4bf0-fedb-4155-ae23-8d71051e2c20,50,359550,ES,2024-08-12,2024-08-14 18:45
301c0167-6e07-4e46-beb0-df48ba6600ff,51,1151340,ES,2024-08-12,2024-08-14 18:45
77eb1b46-e215-4667-8f87-0a4cea97f9d8,52,1085660,ES,2024-08-12,2024-08-14 18:45
f2e9fd35-c012-41a5-a3a8-8b0d49b06da6,53,2203070,ES,2024-08-12,2024-08-14 18:45
acfcfff0-603a-4ddb-ac57-6b8af6ad8917,54,1790600,ES,2024-08-12,2024-08-14 18:45
cc0c5e15-46c0-477f-bad3-d94eaa7983fa,55,274520,ES,2024-08-12,2024-08-14 18:45
775dc55c-b95c-40b6-b8d2-606308105407,56,2344520,ES,2024-08-12,2024-08-14 18:45
39a42b39-8ed6-416b-9679-4ebcad77ec13,57,266410,ES,2024-08-12,2024-08-14 18:45
53746cd1-444a-4fce-a5c7-d73d02e90d40,58,1551360,ES,2024-08-12,2024-08-14 18:45
cf29d182-881c-47c9-88f0-c04583a53636,59,1332010,ES,2024-08-12,2024-08-14 18:45
1697c83b-7716-4ead-8d23-67a433c2c439,60,202970,ES,2024-08-12,2024-08-14 18:45
ef216b09-8ee3-4805-8b18-9d100815bd5b,61,261640,ES,2024-08-12,2024-08-14 18:45
8d13ed93-41d8-4a85-9018-92cbb05ee587,62,1623730,ES,2024-08-12,2024-08-14 18:45
7b558f17-087d-4597-abc8-3efc111c6fab,63,2526380,ES,2024-08-12,2024-08-14 18:45
0cfdbad7-78fa-4025-9cfc-37b030a5fdf5,64,2016590,ES,2024-08-12,2024-08-14 18:45
e9fcd20c-5409-49e3-adc2-66ba216217ea,65,2305840,ES,2024-08-12,2024-08-14 18:45
f1aab8ff-2fe0-45b4-8344-819384b21efb,66,2215430,ES,2024-08-12,2024-08-14 18:45
cbbdb371-604d-49e5-8ad6-7bf1368c49a8,67,108600,ES,2024-08-12,2024-08-14 18:45
f626d916-f74c-45a1-b6e7-adeaf34e509f,68,2567870,ES,2024-08-12,2024-08-14 18:45
87e4a074-bbd6-43c6-bb1e-6258c8b53502,69,1934680,ES,2024-08-12,2024-08-14 18:45
f63b8523-8e43-4ec5-b6a7-20577b282435,70,1172620,ES,2024-08-12,2024-08-14 18:45
ce3bfde4-8d87-4886-b5f8-374b5a9d23fd,71,546560,ES,2024-08-12,2024-08-14 18:45
ed60b23c-b83b-4c92-885f-ce84564932dd,72,1665460,ES,2024-08-12,2024-08-14 18:45
7ebe88bd-b3e2-4c1c-b1c1-3bbf07c6c103,73,1158310,ES,2024-08-12,2024-08-14 18:45
fa04c3e4-d7f8-4c45-b948-6a05de436efa,74,2808930,ES,2024-08-12,2024-08-14 18:45
ba9c02a1-4464-40b2-99e8-71b78ed4bb64,75,1289670,ES,2024-08-12,2024-08-14 18:45
e0ba6839-30ed-4c40-816e-4c79322c491d,77,1846380,ES,2024-08-12,2024-08-14 18:45
d9140966-6148-4131-922a-5bb8903536f3,78,2429640,ES,2024-08-12,2024-08-14 18:45
e4495fde-8258-4b74-9383-4a6a0604c94d,79,1517290,ES,2024-08-12,2024-08-14 18:45
78738f48-512a-4b26-91f9-7815a53bb698,80,1985810,ES,2024-08-12,2024-08-14 18:45
7c8a98eb-8b74-4574-a332-4f999bf82e07,81,548430,ES,2024-08-12,2024-08-14 18:45
21b3f30d-c860-4919-bbfa-86e0516efd36,83,550470,ES,2024-08-12,2024-08-14 18:45
4f24f7a6-99ec-4ea5-8d34-d0a3a684a4bf,84,2280,ES,2024-08-12,2024-08-14 18:45
59587d67-9762-4101-b3d3-2eec4ea694a6,85,960090,ES,2024-08-12,2024-08-14 18:45
a7e0d062-be19-4be7-9a23-928a0aca6729,87,1809540,ES,2024-08-12,2024-08-14 18:45
114c46ee-d40c-4795-b3b2-c7e2f134af49,88,216150,ES,2024-08-12,2024-08-14 18:45
b85860da-7ebe-4163-a0ae-8e6540fa02df,89,582660,ES,2024-08-12,2024-08-14 18:45
fcd9e40f-f859-497d-be41-d4bb859b72bc,90,394360,ES,2024-08-12,2024-08-14 18:45
e388bca7-220d-40df-8eca-f27998a3505c,91,2591280,ES,2024-08-12,2024-08-14 18:45
50041e28-66e5-43e5-a258-d855962595dc,92,1232580,ES,2024-08-12,2024-08-14 18:45
cdd9f81a-838e-4f16-942e-e7ed9c306052,93,2396240,ES,2024-08-12,2024-08-14 18:45
86be8f14-a4b4-4b69-91dd-282cb7c9c63e,94,1659040,ES,2024-08-12,2024-08-14 18:45
4e64a693-b66f-4663-b5a5-7618dc5a4c46,95,294100,ES,2024-08-12,2024-08-14 18:45
791d95a5-fcc0-4f8b-9c4c-3c207127b8ad,96,379720,ES,2024-08-12,2024-08-14 18:45
faa932ed-e7db-4cd2-9284-fd8923e1009e,97,761890,ES,2024-08-12,2024-08-14 18:45
39d7a37f-7e13-426c-9f75-a7f4dec9d1b7,99,1774580,ES,2024-08-12,2024-08-14 18:45
47085562-50e6-4e10-b56d-c18188a7ee05,100,2195250,ES,2024-08-12,2024-08-14 18:45
1025ff48-80e0-413d-bc60-21c3246d89a0,1,730,FI,2024-08-12,2024-08-14 18:45
7ac73e3b-9ae7-49e9-b05d-803b7cc457fb,3,578080,FI,2024-08-12,2024-08-14 18:45
57ffad21-645a-40a7-a1ec-ca77f42aa17b,4,2933620,FI,2024-08-12,2024-08-14 18:45
5e4c5404-727d-4f8c-b536-f57224562d87,5,238960,FI,2024-08-12,2024-08-14 18:45
bcaf5c9d-b9e3-419d-b735-6fd095d13101,6,393080,FI,2024-08-12,2024-08-14 18:45
059a668e-4a27-4e44-899c-858a48d78e64,7,1593500,FI,2024-08-12,2024-08-14 18:45
c6f6177a-b4e2-46b1-a60e-8903570bc8f0,8,1245620,FI,2024-08-12,2024-08-14 18:45
a410bf17-26f3-41dc-af94-10b0a713ac22,9,236390,FI,2024-08-12,2024-08-14 18:45
c40d2285-77e9-4708-8e4d-e5299c431bd4,10,359550,FI,2024-08-12,2024-08-14 18:45
586725f3-6a54-4139-8db6-a5a64937995c,11,570,FI,2024-08-12,2024-08-14 18:45
e366df30-38fd-4567-baee-5ea5d6251980,13,1086940,FI,2024-08-12,2024-08-14 18:45
c08ca990-14bc-4765-b364-31eef1752abe,14,271590,FI,2024-08-12,2024-08-14 18:45
9540e715-03e9-4283-962e-a6e502222f07,15,397540,FI,2024-08-12,2024-08-14 18:45
aac8cffa-0a64-44c0-a31e-c5fe8ae6ab00,17,230410,FI,2024-08-12,2024-08-14 18:45
7972dd84-e5c0-4339-bbe5-37239bd4fdec,18,1222670,FI,2024-08-12,2024-08-14 18:45
9aa54a6d-4e8b-4194-a0ef-042e4982f4b8,19,1808680,FI,2024-08-12,2024-08-14 18:45
bab71ab0-fc93-4866-a1ff-d8cba1519413,20,553850,FI,2024-08-12,2024-08-14 18:45
31188724-6163-4f65-acde-b0238790bc8c,22,2183900,FI,2024-08-12,2024-08-14 18:45
f41e0945-4e60-46f2-abfe-3b2b531791c4,23,2778580,FI,2024-08-12,2024-08-14 18:45
16b43180-2f88-4d6c-8849-51b154c0b430,25,306130,FI,2024-08-12,2024-08-14 18:45
81cba73f-5f6b-4634-8225-3696416e6f2d,26,39210,FI,2024-08-12,2024-08-14 18:45
09c16428-d715-4e20-8956-41824381dbb0,27,2074920,FI,2024-08-12,2024-08-14 18:45
39108a5b-71af-4235-9a5c-682d0075ee2d,28,377160,FI,2024-08-12,2024-08-14 18:45
b8e0fce5-94db-470d-9332-2fcbcf694518,31,440,FI,2024-08-12,2024-08-14 18:45
bb5f4bbf-37e0-4127-ba5b-20d65fd97e82,32,1172470,FI,2024-08-12,2024-08-14 18:45
96be3674-9015-477d-9080-2f38ad2f9f9a,33,1151340,FI,2024-08-12,2024-08-14 18:45
97c8a43d-b667-4c06-990f-53d2d2ec2c84,34,2139460,FI,2024-08-12,2024-08-14 18:45
c118b078-3a9c-43a1-b0eb-d6cd42374ae4,35,2215430,FI,2024-08-12,2024-08-14 18:45
6970829c-6150-4e10-ba79-064a8a58b39d,37,489830,FI,2024-08-12,2024-08-14 18:45
8101272d-c7b3-4d9f-b5d5-3b6ead0fdf6c,38,1237970,FI,2024-08-12,2024-08-14 18:45
56d8a493-2d9b-47b4-ba1c-8f2a7db6086f,39,782330,FI,2024-08-12,2024-08-14 18:45
b1bc11df-b979-4f4c-b46e-63b0c0c901cc,40,381210,FI,2024-08-12,2024-08-14 18:45
76565e7a-6899-4a1f-af31-7d917e2c52f1,41,1599340,FI,2024-08-12,2024-08-14 18:45
6edbb683-3520-4b21-a581-9cda9e86c912,42,2808930,FI,2024-08-12,2024-08-14 18:45
fb73fa83-ef61-4a06-ad55-2ff9018f5356,43,582660,FI,2024-08-12,2024-08-14 18:45
d89a02b6-3b5d-423a-9e66-8ecc59883ce7,44,227300,FI,2024-08-12,2024-08-14 18:45
fe0a1597-b257-4a17-94d5-f15dca444bc5,46,2142790,FI,2024-08-12,2024-08-14 18:45
