App_Id,Hours_Played(30days),Datetime
2358720,131223325,2024-08-25 21:56
730,656295581,2024-08-25 21:56
570,336933986,2024-08-25 21:56
578080,213950850,2024-08-25 21:56
2923300,293546155,2024-08-25 21:56
1203220,90104143,2024-08-25 21:56
271590,87512860,2024-08-25 21:56
1172470,89828177,2024-08-25 21:56
2139460,85817963,2024-08-25 21:56
431960,58611175,2024-08-25 21:56
252490,68702919,2024-08-25 21:56
236390,44538760,2024-08-25 21:56
413150,51270424,2024-08-25 21:56
289070,34619050,2024-08-25 21:56
2252570,34659280,2024-08-25 21:56
1086940,49913521,2024-08-25 21:56
1245620,71053975,2024-08-25 21:56
238960,66557459,2024-08-25 21:56
251570,47703177,2024-08-25 21:56
440,49341002,2024-08-25 21:56
230410,34345397,2024-08-25 21:56
1938090,48739298,2024-08-25 21:56
2195250,33647533,2024-08-25 21:56
582010,21433527,2024-08-25 21:56
394360,26573533,2024-08-25 21:56
359550,37184953,2024-08-25 21:56
2074920,47348205,2024-08-25 21:56
1782210,35828267,2024-08-25 21:56
221100,25047485,2024-08-25 21:56
2357570,24633779,2024-08-25 21:56
381210,32096769,2024-08-25 21:56
1248130,16369729,2024-08-25 21:56
480,20828750,2024-08-25 21:56
436150,24855594,2024-08-25 21:56
227300,19402860,2024-08-25 21:56
322330,20131170,2024-08-25 21:56
1222670,23702707,2024-08-25 21:56
346110,18858807,2024-08-25 21:56
1091500,17862074,2024-08-25 21:56
1623730,21650305,2024-08-25 21:56
438100,22483552,2024-08-25 21:56
1281930,21857262,2024-08-25 21:56
1366800,19242442,2024-08-25 21:56
1174180,20537536,2024-08-25 21:56
1142710,14573058,2024-08-25 21:56
1085660,29468706,2024-08-25 21:56
304930,18284243,2024-08-25 21:56
105600,20610798,2024-08-25 21:56
2344520,9762477,2024-08-25 21:56
2977660,19451140,2024-08-25 21:56
594650,13454637,2024-08-25 21:56
294100,16324254,2024-08-25 21:56
108600,17406795,2024-08-25 21:56
4000,17208657,2024-08-25 21:56
513710,10613248,2024-08-25 21:56
489830,14932178,2024-08-25 21:56
261550,13665361,2024-08-25 21:56
1818450,11293269,2024-08-25 21:56
1158310,11732742,2024-08-25 21:56
1238810,11991685,2024-08-25 21:56
292030,11161217,2024-08-25 21:56
2709570,7606927,2024-08-25 21:56
1599340,15079854,2024-08-25 21:56
1449850,13602618,2024-08-25 21:56
377160,15591133,2024-08-25 21:56
550,17246589,2024-08-25 21:56
218620,12376388,2024-08-25 21:56
39210,23058095,2024-08-25 21:56
1364780,10740303,2024-08-25 21:56
3047030,19794831,2024-08-25 21:56
892970,13606119,2024-08-25 21:56
8930,10858032,2024-08-25 21:56
1049590,6949983,2024-08-25 21:56
813780,11249802,2024-08-25 21:56
250900,11253045,2024-08-25 21:56
1446780,6083470,2024-08-25 21:56
1623660,12206041,2024-08-25 21:56
236850,10097754,2024-08-25 21:56
1966720,11194865,2024-08-25 21:56
553850,19085365,2024-08-25 21:56
766570,7348240,2024-08-25 21:56
2016590,14009546,2024-08-25 21:56
275850,16356791,2024-08-25 21:56
284160,9636109,2024-08-25 21:56
1905180,8699343,2024-08-25 21:56
739630,12383350,2024-08-25 21:56
646570,9296811,2024-08-25 21:56
427520,8957985,2024-08-25 21:56
1621690,1852302,2024-08-25 21:56
393380,8266149,2024-08-25 21:56
2399830,9458609,2024-08-25 21:56
444200,6272153,2024-08-25 21:56
629520,10058703,2024-08-25 21:56
1454400,8857309,2024-08-25 21:56
1329410,5661689,2024-08-25 21:56
1551360,7486730,2024-08-25 21:56
281990,8404593,2024-08-25 21:56
322170,10150549,2024-08-25 21:56
239140,3337997,2024-08-25 21:56
582660,10342657,2024-08-25 21:56
960090,11335744,2024-08-25 21:56
252950,12639852,2024-08-25 21:56
397540,5013693,2024-08-25 21:56
2448970,13212476,2024-08-25 21:56
2338770,8408509,2024-08-25 21:56
1687950,5520948,2024-08-25 21:56
1238840,6829954,2024-08-25 21:56
1466860,6494384,2024-08-25 21:56
1973530,7052239,2024-08-25 21:56
457140,7373274,2024-08-25 21:56
2349820,6829364,2024-08-25 21:56
306130,8125239,2024-08-25 21:56
232090,8546997,2024-08-25 21:56
2162800,1697186,2024-08-25 21:56
2073850,8907455,2024-08-25 21:56
1293830,7328401,2024-08-25 21:56
255710,6547369,2024-08-25 21:56
1325860,6258546,2024-08-25 21:56
548430,9404879,2024-08-25 21:56
814380,5452629,2024-08-25 21:56
1920960,5917909,2024-08-25 21:56
107410,7990767,2024-08-25 21:56
1517290,6862755,2024-08-25 21:56
2426960,7520993,2024-08-25 21:56
244210,6681194,2024-08-25 21:56
1904540,5459829,2024-08-25 21:56
1716740,4536881,2024-08-25 21:56
761890,6944237,2024-08-25 21:56
10,6643499,2024-08-25 21:56
526870,6099132,2024-08-25 21:56
552990,4751704,2024-08-25 21:56
529340,5990766,2024-08-25 21:56
3092450,503193,2024-08-25 21:56
2670630,5919674,2024-08-25 21:56
2709440,5522740,2024-08-25 21:56
949230,5218381,2024-08-25 21:56
990080,5015016,2024-08-25 21:56
1283970,4776338,2024-08-25 21:56
1426210,4669351,2024-08-25 21:56
1172620,7469756,2024-08-25 21:56
1476970,5550236,2024-08-25 21:56
1250410,4740947,2024-08-25 21:56
1313140,4321799,2024-08-25 21:56
291550,7773172,2024-08-25 21:56
240,7623268,2024-08-25 21:56
700330,4648989,2024-08-25 21:56
1568590,5325736,2024-08-25 21:56
1326470,5136755,2024-08-25 21:56
534380,2670794,2024-08-25 21:56
1151340,6745278,2024-08-25 21:56
1665460,5808702,2024-08-25 21:56
648800,4864566,2024-08-25 21:56
3076520,5775515,2024-08-25 21:56
412220,2723743,2024-08-25 21:56
365670,5537676,2024-08-25 21:56
714010,5822336,2024-08-25 21:56
2707930,4983298,2024-08-25 21:56
379430,2429313,2024-08-25 21:56
1778820,5176014,2024-08-25 21:56
216150,5298379,2024-08-25 21:56
