GameID,Cost,Date
730,Free To Play,2024-08-10
578080,Free To Play,2024-08-10
570,Free To Play,2024-08-10
2923300,Free To Play,2024-08-10
1203220,Free To Play,2024-08-10
1172470,Free To Play,2024-08-10
271590,NT$ 662.00,2024-08-10
2139460,Free To Play,2024-08-10
1245620,"NT$ 1,790.00",2024-08-10
252490,NT$ 694.00,2024-08-10
431960,NT$ 120.00,2024-08-10
238960,NT$ 120.00,2024-08-10
413150,NT$ 318.00,2024-08-10
236390,Free To Play,2024-08-10
251570,NT$ 670.00,2024-08-10
440,Free To Play,2024-08-10
1086940,"NT$ 1,599.00",2024-08-10
2074920,Free To Play,2024-08-10
1938090,Free To Play,2024-08-10
289070,"NT$ 1,790.00",2024-08-10
2252570,"NT$ 1,299.00",2024-08-10
2195250,"NT$ 1,999.00",2024-08-10
359550,NT$ 569.00,2024-08-10
1782210,Free To Play,2024-08-10
230410,Free To Play,2024-08-10
394360,"NT$ 1,268.00",2024-08-10
381210,NT$ 379.00,2024-08-10
3016800,NT$ 379.00,2024-08-10
582010,NT$ 920.00,2024-08-10
1085660,Free To Play,2024-08-10
322330,NT$ 268.00,2024-08-10
2357570,Free To Play,2024-08-10
221100,"NT$ 1,499.00",2024-08-10
1623730,NT$ 488.00,2024-08-10
1281930,Free To Play,2024-08-10
436150,Free To Play,2024-08-10
1174180,"NT$ 1,790.00",2024-08-10
227300,NT$ 428.00,2024-08-10
346110,NT$ 268.00,2024-08-10
1222670,Free To Play,2024-08-10
553850,"NT$ 1,190.00",2024-08-10
1238810,NT$ 209.00,2024-08-10
105600,NT$ 188.00,2024-08-10
438100,Free To Play,2024-08-10
550,NT$ 188.00,2024-08-10
2344520,"NT$ 1,575.00",2024-08-10
1248130,NT$ 650.00,2024-08-10
1091500,"NT$ 1,599.00",2024-08-10
1449850,Free To Play,2024-08-10
304930,Free To Play,2024-08-10
39210,Free To Play,2024-08-10
108600,NT$ 328.00,2024-08-10
2709570,Free To Play,2024-08-10
261550,"NT$ 1,399.00",2024-08-10
4000,NT$ 278.00,2024-08-10
1366800,NT$ 144.00,2024-08-10
294100,NT$ 529.00,2024-08-10
1142710,"NT$ 1,790.00",2024-08-10
275850,NT$ 898.00,2024-08-10
2977660,Free To Play,2024-08-10
377160,NT$ 239.00,2024-08-10
1364780,"NT$ 1,680.00",2024-08-10
1818450,Free To Play,2024-08-10
489830,NT$ 299.00,2024-08-10
2016590,Free To Play,2024-08-10
548430,NT$ 144.00,2024-08-10
292030,NT$ 868.00,2024-08-10
892970,NT$ 318.00,2024-08-10
2448970,NT$ 318.00,2024-08-10
1599340,NT$ 318.00,2024-08-10
813780,NT$ 679.00,2024-08-10
250900,NT$ 268.00,2024-08-10
1158310,"NT$ 1,268.00",2024-08-10
594650,NT$ 799.00,2024-08-10
739630,NT$ 198.00,2024-08-10
218620,NT$ 188.00,2024-08-10
513710,NT$ 745.00,2024-08-10
1238840,NT$ 164.00,2024-08-10
236850,"NT$ 1,018.00",2024-08-10
1049590,Free To Play,2024-08-10
2338770,"NT$ 1,790.00",2024-08-10
960090,NT$ 248.00,2024-08-10
393380,"NT$ 1,000.00",2024-08-10
8930,NT$ 895.00,2024-08-10
1973530,Free To Play,2024-08-10
1623660,Free To Play,2024-08-10
1293830,NT$ 858.00,2024-08-10
1568590,Free To Play,2024-08-10
1905180,Free To Play,2024-08-10
646570,NT$ 499.00,2024-08-10
1325860,Free To Play,2024-08-10
582660,NT$ 200.00,2024-08-10
1517290,NT$ 239.00,2024-08-10
427520,NT$ 600.00,2024-08-10
2399830,"NT$ 1,382.00",2024-08-10
766570,Free To Play,2024-08-10
629520,NT$ 102.00,2024-08-10
252950,NT$ 102.00,2024-08-10
284160,NT$ 408.00,2024-08-10
2073850,Free To Play,2024-08-10
2358720,"NT$ 1,280.00",2024-08-10
1675200,,2024-08-10
1593500,NT$ 476.00,2024-08-10
2933620,"NT$ 2,219.00",2024-08-10
2183900,"NT$ 1,590.00",2024-08-10
397540,NT$ 178.00,2024-08-10
306130,NT$ 179.00,2024-08-10
2638370,NT$ 328.00,2024-08-10
1237970,NT$ 79.00,2024-08-10
311210,NT$ 659.00,2024-08-10
782330,NT$ 299.00,2024-08-10
2142790,NT$ 248.00,2024-08-10
1151340,NT$ 299.00,2024-08-10
2778580,"NT$ 1,190.00",2024-08-10
49520,NT$ 149.00,2024-08-10
2400510,NT$ 241.00,2024-08-10
2567870,NT$ 102.00,2024-08-10
2751000,NT$ 677.00,2024-08-10
1286680,NT$ 433.00,2024-08-10
1716740,"NT$ 1,333.00",2024-08-10
2669320,"NT$ 2,099.00",2024-08-10
1962663,Free,2024-08-10
427410,NT$ 326.00,2024-08-10
202970,NT$ 623.00,2024-08-10
2215430,"NT$ 1,490.00",2024-08-10
1144200,NT$ 846.00,2024-08-10
2396980,NT$ 439.00,2024-08-10
261640,NT$ 446.00,2024-08-10
552990,Free,2024-08-10
2396240,NT$ 439.00,2024-08-10
1316680,NT$ 203.00,2024-08-10
1985810,NT$ 626.00,2024-08-10
1172620,"NT$ 1,088.00",2024-08-10
2280,NT$ 285.00,2024-08-10
546560,NT$ 305.00,2024-08-10
814380,NT$ 795.00,2024-08-10
1629520,NT$ 160.00,2024-08-10
2519060,"NT$ 2,219.00",2024-08-10
1326470,NT$ 488.00,2024-08-10
2305840,NT$ 340.00,2024-08-10
444200,Free,2024-08-10
1282100,NT$ 550.00,2024-08-10
1149460,NT$ 283.00,2024-08-10
1477070,NT$ 229.00,2024-08-10
2526380,Free,2024-08-10
1966720,NT$ 188.00,2024-08-10
1562430,NT$ 486.00,2024-08-10
2379780,NT$ 232.00,2024-08-10
1551360,"NT$ 1,688.00",2024-08-10
992300,NT$ 63.00,2024-08-10
2366980,NT$ 296.00,2024-08-10
2881650,NT$ 121.00,2024-08-10
612880,NT$ 179.00,2024-08-10
1250410,"NT$ 1,690.00",2024-08-10
2670630,NT$ 238.00,2024-08-10
2808930,Free,2024-08-10
379720,NT$ 119.00,2024-08-10
2336880,NT$ 884.00,2024-08-10
22380,NT$ 149.00,2024-08-10
1717250,NT$ 262.00,2024-08-10
1659040,NT$ 420.00,2024-08-10
270880,NT$ 428.00,2024-08-10
2790720,"NT$ 1,008.00",2024-08-10
1332010,NT$ 323.00,2024-08-10
1092790,NT$ 151.00,2024-08-10
2138330,NT$ 799.00,2024-08-10
2406770,NT$ 566.00,2024-08-10
1203620,NT$ 499.00,2024-08-10
1232580,NT$ 302.00,2024-08-10
1177980,NT$ 326.00,2024-08-10
2291060,"NT$ 1,950.00",2024-08-10
1672500,"NT$ 1,790.00",2024-08-10
2961880,NT$ 152.00,2024-08-10
201810,NT$ 161.00,2024-08-10
648800,NT$ 468.00,2024-08-10
2322010,"NT$ 1,490.00",2024-08-10
1790600,"NT$ 1,890.00",2024-08-10
1454970,NT$ 595.00,2024-08-10
281990,"NT$ 1,018.00",2024-08-10
403640,NT$ 179.00,2024-08-10
2488620,"NT$ 1,439.00",2024-08-10
42700,NT$ 618.00,2024-08-10
1774580,NT$ 899.00,2024-08-10
1817230,NT$ 510.00,2024-08-10
1286830,Free,2024-08-10
2000950,NT$ 605.00,2024-08-10
1693980,NT$ 559.00,2024-08-10
494840,NT$ 146.00,2024-08-10
1857090,NT$ 699.00,2024-08-10
1475810,NT$ 449.00,2024-08-10
1260320,NT$ 419.00,2024-08-10
22370,NT$ 197.00,2024-08-10
949230,"NT$ 1,398.00",2024-08-10
1599600,NT$ 131.00,2024-08-10
380600,Free,2024-08-10
1997040,Free,2024-08-10
1363080,NT$ 999.00,2024-08-10
1056960,NT$ 149.00,2024-08-10
1846380,NT$ 199.00,2024-08-10
266410,NT$ 278.00,2024-08-10
2337820,NT$ 259.00,2024-08-10
480490,NT$ 179.00,2024-08-10
1222680,NT$ 199.00,2024-08-10
304390,NT$ 849.00,2024-08-10
350080,NT$ 117.00,2024-08-10
686810,NT$ 899.00,2024-08-10
2362300,NT$ 599.00,2024-08-10
2426960,Free,2024-08-10
2315690,NT$ 895.00,2024-08-10
2244470,NT$ 262.00,2024-08-10
1145350,NT$ 488.00,2024-08-10
1222700,NT$ 159.00,2024-08-10
1962660,"NT$ 1,109.00",2024-08-10
1934680,"NT$ 1,018.00",2024-08-10
2668080,Free,2024-08-10
611670,NT$ 457.00,2024-08-10
1384160,"NT$ 1,193.00",2024-08-10
1304930,NT$ 599.00,2024-08-10
1284210,Free,2024-08-10
1989270,NT$ 238.00,2024-08-10
1336980,NT$ 995.00,2024-08-10
1089090,NT$ 297.00,2024-08-10
1665460,Free,2024-08-10
2582560,"NT$ 2,099.00",2024-08-10
3015760,NT$ 249.00,2024-08-10
1252330,NT$ 359.00,2024-08-10
1604030,NT$ 566.00,2024-08-10
1794680,NT$ 82.00,2024-08-10
1778820,"NT$ 1,990.00",2024-08-10
447040,NT$ 254.00,2024-08-10
632360,NT$ 588.00,2024-08-10
1943950,NT$ 186.00,2024-08-10
1643310,NT$ 825.00,2024-08-10
2395210,NT$ 499.00,2024-08-10
1407200,Free,2024-08-10
2878980,"NT$ 2,090.00",2024-08-10
244210,NT$ 318.00,2024-08-10
1809540,NT$ 650.00,2024-08-10
