GameID,Cost,Date
1196590,NT$ 448.00,2024-08-05
1203220,Free To Play,2024-08-05
1203620,NT$ 399.00,2024-08-05
1214470,NT$ 345.00,2024-08-05
1222670,Free To Play,2024-08-05
1243830,NT$ 479.00,2024-08-05
1244460,"NT$ 1,288.00",2024-08-05
1245560,NT$ 420.00,2024-08-05
1245620,"NT$ 1,790.00",2024-08-05
1248130,NT$ 650.00,2024-08-05
1250410,"NT$ 1,690.00",2024-08-05
1257290,NT$ 995.00,2024-08-05
1260320,NT$ 419.00,2024-08-05
1266540,NT$ 408.00,2024-08-05
1272320,NT$ 226.00,2024-08-05
1274570,NT$ 102.00,2024-08-05
1280930,NT$ 245.00,2024-08-05
1282100,NT$ 550.00,2024-08-05
1284210,Free To Play,2024-08-05
1286830,Free To Play,2024-08-05
1288320,NT$ 227.00,2024-08-05
1289670,NT$ 34.00,2024-08-05
1290000,NT$ 790.00,2024-08-05
1295510,"NT$ 1,190.00",2024-08-05
1304930,NT$ 599.00,2024-08-05
1307440,NT$ 898.00,2024-08-05
1310410,NT$ 449.00,2024-08-05
1325200,NT$ 894.00,2024-08-05
1326470,NT$ 488.00,2024-08-05
1329410,Free To Play,2024-08-05
1331550,NT$ 375.00,2024-08-05
1332010,NT$ 323.00,2024-08-05
1332720,NT$ 229.00,2024-08-05
1336980,"NT$ 1,990.00",2024-08-05
1343400,Free To Play,2024-08-05
1350650,NT$ 248.00,2024-08-05
1361350,"NT$ 1,382.00",2024-08-05
1363080,NT$ 749.00,2024-08-05
1364780,"NT$ 1,680.00",2024-08-05
1367080,Free To Play,2024-08-05
1367550,NT$ 222.00,2024-08-05
1371580,NT$ 244.00,2024-08-05
1371980,NT$ 520.00,2024-08-05
1384160,"NT$ 1,193.00",2024-08-05
1407200,Free To Play,2024-08-05
1416920,NT$ 188.00,2024-08-05
1422440,NT$ 559.00,2024-08-05
1426210,"NT$ 1,099.00",2024-08-05
1432860,NT$ 189.00,2024-08-05
1435790,NT$ 349.00,2024-08-05
1446780,"NT$ 1,120.00",2024-08-05
1449690,NT$ 149.00,2024-08-05
1449850,Free To Play,2024-08-05
1458140,NT$ 488.00,2024-08-05
1465360,NT$ 424.00,2024-08-05
1465460,NT$ 399.00,2024-08-05
1466860,"NT$ 1,088.00",2024-08-05
1469610,NT$ 299.00,2024-08-05
1502970,NT$ 595.00,2024-08-05
1515210,NT$ 118.00,2024-08-05
1517290,"NT$ 1,599.00",2024-08-05
1520470,Free To Play,2024-08-05
1537830,Free To Play,2024-08-05
1547000,"NT$ 1,790.00",2024-08-05
1549250,Free To Play,2024-08-05
1551360,"NT$ 1,688.00",2024-08-05
1562700,NT$ 187.00,2024-08-05
1599340,NT$ 896.00,2024-08-05
1604030,NT$ 566.00,2024-08-05
1610440,NT$ 385.00,2024-08-05
1621310,NT$ 995.00,2024-08-05
1623730,NT$ 488.00,2024-08-05
1627720,"NT$ 1,290.00",2024-08-05
1629520,NT$ 268.00,2024-08-05
1637320,NT$ 119.00,2024-08-05
1644320,NT$ 975.00,2024-08-05
1659040,NT$ 48.00,2024-08-05
1665460,Free To Play,2024-08-05
1669980,NT$ 142.00,2024-08-05
1672500,"NT$ 1,790.00",2024-08-05
1677740,Free To Play,2024-08-05
1708850,NT$ 396.00,2024-08-05
1771980,NT$ 223.00,2024-08-05
1778820,"NT$ 1,990.00",2024-08-05
1790310,"NT$ 1,673.00",2024-08-05
1790600,"NT$ 1,890.00",2024-08-05
1809540,NT$ 650.00,2024-08-05
1818450,Free To Play,2024-08-05
1849250,"NT$ 1,244.00",2024-08-05
1857090,NT$ 699.00,2024-08-05
1859910,NT$ 369.00,2024-08-05
1875830,"NT$ 1,790.00",2024-08-05
1876890,NT$ 359.00,2024-08-05
1888160,"NT$ 1,790.00",2024-08-05
1888930,"NT$ 1,490.00",2024-08-05
1898300,NT$ 408.00,2024-08-05
1902690,"NT$ 1,293.00",2024-08-05
1909840,NT$ 278.00,2024-08-05
1934680,"NT$ 1,018.00",2024-08-05
1937780,"NT$ 1,090.00",2024-08-05
1938090,NT$ 398.00,2024-08-05
1943950,NT$ 186.00,2024-08-05
1954420,Free To Play,2024-08-05
1962660,"NT$ 2,219.00",2024-08-05
1966720,NT$ 188.00,2024-08-05
1973530,Free To Play,2024-08-05
1973710,Free To Play,2024-08-05
1974050,Free To Play,2024-08-05
1985960,NT$ 268.00,2024-08-05
1995520,"NT$ 1,290.00",2024-08-05
1997040,Free To Play,2024-08-05
1999770,"NT$ 1,293.00",2024-08-05
2012510,NT$ 678.00,2024-08-05
2016590,Free To Play,2024-08-05
2050650,NT$ 937.00,2024-08-05
2051010,"NT$ 1,673.00",2024-08-05
2054970,"NT$ 2,180.00",2024-08-05
2073850,Free To Play,2024-08-05
2074920,Free To Play,2024-08-05
2078350,NT$ 299.00,2024-08-05
2111630,NT$ 949.00,2024-08-05
2114740,NT$ 449.00,2024-08-05
2138330,NT$ 799.00,2024-08-05
2139460,Free To Play,2024-08-05
2140020,NT$ 176.00,2024-08-05
2141910,NT$ 804.00,2024-08-05
2154770,NT$ 488.00,2024-08-05
2161700,"NT$ 1,890.00",2024-08-05
2167580,Free To Play,2024-08-05
2183900,"NT$ 1,590.00",2024-08-05
2187220,"NT$ 1,248.00",2024-08-05
2190290,NT$ 149.00,2024-08-05
2195250,"NT$ 1,999.00",2024-08-05
2197680,"NT$ 1,490.00",2024-08-05
2203070,Free To Play,2024-08-05
2208920,"NT$ 1,699.00",2024-08-05
2215430,"NT$ 1,490.00",2024-08-05
2216300,NT$ 949.00,2024-08-05
2224640,NT$ 269.00,2024-08-05
2239150,NT$ 159.00,2024-08-05
2248760,NT$ 298.00,2024-08-05
2252570,"NT$ 1,299.00",2024-08-05
2252680,NT$ 224.00,2024-08-05
2260870,NT$ 949.00,2024-08-05
2261050,NT$ 57.00,2024-08-05
2273420,NT$ 249.00,2024-08-05
2290000,NT$ 268.00,2024-08-05
2291060,"NT$ 1,755.00",2024-08-05
2291680,NT$ 319.00,2024-08-05
2300320,"NT$ 1,199.00",2024-08-05
2315690,NT$ 895.00,2024-08-05
2321470,NT$ 141.00,2024-08-05
2322010,"NT$ 1,490.00",2024-08-05
2337630,"NT$ 1,099.00",2024-08-05
2338770,"NT$ 1,790.00",2024-08-05
2344520,"NT$ 1,575.00",2024-08-05
2349820,Free To Play,2024-08-05
2357570,Free To Play,2024-08-05
2358720,"NT$ 1,280.00",2024-08-05
2362300,NT$ 599.00,2024-08-05
2366980,NT$ 296.00,2024-08-05
2389120,Free To Play,2024-08-05
2399420,"NT$ 1,007.00",2024-08-05
2399830,"NT$ 1,382.00",2024-08-05
2406770,NT$ 566.00,2024-08-05
2419090,NT$ 328.00,2024-08-05
2420110,"NT$ 1,490.00",2024-08-05
2426960,Free To Play,2024-08-05
2429640,"NT$ 1,690.00",2024-08-05
2445690,NT$ 220.00,2024-08-05
2448970,"NT$ 1,190.00",2024-08-05
2450700,NT$ 192.00,2024-08-05
2455140,NT$ 238.00,2024-08-05
2458490,NT$ 287.00,2024-08-05
2458860,NT$ 329.00,2024-08-05
2484110,Free To Play,2024-08-05
2484250,Free To Play,2024-08-05
2488620,"NT$ 1,999.00",2024-08-05
2490990,"NT$ 1,790.00",2024-08-05
2492430,Free To Play,2024-08-05
2500750,NT$ 86.00,2024-08-05
2510710,"NT$ 1,560.00",2024-08-05
2519060,"NT$ 1,220.00",2024-08-05
2524890,Free To Play,2024-08-05
