GameID,Cost,Date
730,Free To Play,2024-08-17
2923300,Free To Play,2024-08-17
570,Free To Play,2024-08-17
578080,Free To Play,2024-08-17
1172470,Free To Play,2024-08-17
2139460,Free To Play,2024-08-17
1203220,Free To Play,2024-08-17
271590,NT$ 974.00,2024-08-17
1245620,"NT$ 1,790.00",2024-08-17
1938090,"NT$ 1,790.00",2024-08-17
252490,NT$ 694.00,2024-08-17
1086940,"NT$ 1,599.00",2024-08-17
431960,NT$ 120.00,2024-08-17
413150,NT$ 398.00,2024-08-17
440,Free To Play,2024-08-17
251570,NT$ 670.00,2024-08-17
238960,NT$ 670.00,2024-08-17
359550,NT$ 569.00,2024-08-17
1782210,Free To Play,2024-08-17
2074920,Free To Play,2024-08-17
236390,Free To Play,2024-08-17
289070,"NT$ 1,790.00",2024-08-17
438100,Free To Play,2024-08-17
230410,Free To Play,2024-08-17
1085660,Free To Play,2024-08-17
436150,Free To Play,2024-08-17
2195250,"NT$ 1,999.00",2024-08-17
2357570,Free To Play,2024-08-17
381210,NT$ 379.00,2024-08-17
553850,"NT$ 1,190.00",2024-08-17
582010,NT$ 303.00,2024-08-17
3047030,Free To Play,2024-08-17
39210,Free To Play,2024-08-17
550,NT$ 188.00,2024-08-17
594650,NT$ 639.00,2024-08-17
2252570,NT$ 519.00,2024-08-17
394360,"NT$ 1,268.00",2024-08-17
1281930,Free To Play,2024-08-17
1091500,NT$ 799.00,2024-08-17
1222670,Free To Play,2024-08-17
2977660,Free To Play,2024-08-17
1623730,NT$ 488.00,2024-08-17
322330,NT$ 268.00,2024-08-17
105600,NT$ 188.00,2024-08-17
221100,"NT$ 1,499.00",2024-08-17
1366800,NT$ 144.00,2024-08-17
108600,NT$ 328.00,2024-08-17
1449850,Free To Play,2024-08-17
1174180,"NT$ 1,790.00",2024-08-17
346110,NT$ 268.00,2024-08-17
304930,Free To Play,2024-08-17
294100,NT$ 529.00,2024-08-17
1599340,NT$ 529.00,2024-08-17
489830,NT$ 299.00,2024-08-17
2344520,"NT$ 1,575.00",2024-08-17
252950,"NT$ 1,575.00",2024-08-17
377160,NT$ 239.00,2024-08-17
2709570,Free To Play,2024-08-17
2016590,Free To Play,2024-08-17
739630,NT$ 248.00,2024-08-17
4000,NT$ 278.00,2024-08-17
813780,NT$ 679.00,2024-08-17
1142710,"NT$ 1,790.00",2024-08-17
1966720,NT$ 188.00,2024-08-17
892970,NT$ 318.00,2024-08-17
1623660,Free To Play,2024-08-17
261550,"NT$ 1,399.00",2024-08-17
1238810,NT$ 209.00,2024-08-17
218620,NT$ 188.00,2024-08-17
2448970,NT$ 188.00,2024-08-17
275850,NT$ 898.00,2024-08-17
1364780,"NT$ 1,680.00",2024-08-17
960090,NT$ 248.00,2024-08-17
250900,NT$ 268.00,2024-08-17
1313140,NT$ 244.00,2024-08-17
646570,NT$ 499.00,2024-08-17
8930,NT$ 895.00,2024-08-17
2399830,"NT$ 1,382.00",2024-08-17
1158310,"NT$ 1,268.00",2024-08-17
2073850,Free To Play,2024-08-17
227300,NT$ 428.00,2024-08-17
1454400,NT$ 102.00,2024-08-17
322170,NT$ 102.00,2024-08-17
548430,NT$ 438.00,2024-08-17
513710,NT$ 745.00,2024-08-17
292030,NT$ 217.00,2024-08-17
1973530,Free To Play,2024-08-17
232090,NT$ 688.00,2024-08-17
582660,NT$ 200.00,2024-08-17
2338770,"NT$ 1,790.00",2024-08-17
281990,"NT$ 1,018.00",2024-08-17
629520,NT$ 102.00,2024-08-17
2889840,NT$ 102.00,2024-08-17
1248130,NT$ 650.00,2024-08-17
2709440,NT$ 650.00,2024-08-17
427520,NT$ 600.00,2024-08-17
386360,Free To Play,2024-08-17
236850,"NT$ 1,018.00",2024-08-17
397540,NT$ 178.00,2024-08-17
1687950,NT$ 716.00,2024-08-17
2358720,"NT$ 1,280.00",2024-08-17
1575940,NT$ 596.00,2024-08-17
1675200,,2024-08-17
2183900,"NT$ 1,590.00",2024-08-17
2162800,NT$ 326.00,2024-08-17
2582560,"NT$ 2,099.00",2024-08-17
2933620,"NT$ 2,219.00",2024-08-17
1040200,NT$ 288.00,2024-08-17
1845910,"NT$ 1,799.00",2024-08-17
2138330,NT$ 679.00,2024-08-17
2161700,"NT$ 1,134.00",2024-08-17
2669320,"NT$ 2,099.00",2024-08-17
1562430,NT$ 486.00,2024-08-17
2369390,NT$ 424.00,2024-08-17
2778580,"NT$ 1,190.00",2024-08-17
2142790,NT$ 248.00,2024-08-17
1151340,NT$ 299.00,2024-08-17
2059530,NT$ 246.00,2024-08-17
1627720,NT$ 838.00,2024-08-17
1172620,NT$ 652.00,2024-08-17
2567870,NT$ 102.00,2024-08-17
306130,NT$ 179.00,2024-08-17
552520,NT$ 254.00,2024-08-17
1962663,Free,2024-08-17
2780980,NT$ 188.00,2024-08-17
2561450,NT$ 360.00,2024-08-17
1446780,NT$ 280.00,2024-08-17
1326470,NT$ 488.00,2024-08-17
1118010,NT$ 455.00,2024-08-17
1456940,NT$ 295.00,2024-08-17
1144200,NT$ 846.00,2024-08-17
2638370,NT$ 328.00,2024-08-17
2215430,"NT$ 1,490.00",2024-08-17
1846380,NT$ 199.00,2024-08-17
1517290,NT$ 239.00,2024-08-17
49520,NT$ 149.00,2024-08-17
1290000,NT$ 553.00,2024-08-17
2672610,NT$ 300.00,2024-08-17
2519060,"NT$ 2,219.00",2024-08-17
1237970,NT$ 79.00,2024-08-17
552990,Free,2024-08-17
1222680,NT$ 199.00,2024-08-17
1169040,NT$ 174.00,2024-08-17
782330,NT$ 299.00,2024-08-17
985810,Free,2024-08-17
2608270,NT$ 295.00,2024-08-17
427410,NT$ 408.00,2024-08-17
1250410,"NT$ 1,690.00",2024-08-17
1676840,NT$ 388.00,2024-08-17
1551360,"NT$ 1,688.00",2024-08-17
298110,NT$ 169.00,2024-08-17
2890190,NT$ 138.00,2024-08-17
1672500,"NT$ 1,790.00",2024-08-17
2526380,Free,2024-08-17
2426960,Free,2024-08-17
1232580,NT$ 302.00,2024-08-17
311210,"NT$ 1,998.00",2024-08-17
244210,NT$ 79.00,2024-08-17
2965660,NT$ 114.00,2024-08-17
2808930,Free,2024-08-17
1790600,"NT$ 1,890.00",2024-08-17
2670630,NT$ 238.00,2024-08-17
371660,NT$ 354.00,2024-08-17
1934680,"NT$ 1,018.00",2024-08-17
284160,NT$ 408.00,2024-08-17
444200,Free,2024-08-17
2840770,NT$ 995.00,2024-08-17
2406770,NT$ 566.00,2024-08-17
2336880,NT$ 884.00,2024-08-17
1203620,NT$ 499.00,2024-08-17
546560,NT$ 305.00,2024-08-17
1629520,NT$ 160.00,2024-08-17
1716740,"NT$ 1,333.00",2024-08-17
214490,NT$ 199.00,2024-08-17
270880,NT$ 428.00,2024-08-17
648800,NT$ 468.00,2024-08-17
728880,NT$ 168.00,2024-08-17
