platforms,System
Android,Android
iPad,iOS
iPhone,iOS
Linux,Linux
Macintosh,Macintosh
Nintendo Switch,Nintendo Switch
PlayStation 2,PlayStation
PlayStation 3,PlayStation
PlayStation 4,PlayStation
PlayStation 5,PlayStation
PlayStation Now,PlayStation
PS Vita,PlayStation
Quest,Quest
Stadia,Stadia
Wii,Wii
Windows,Windows
Windows Apps,Windows
Xbox 360,Xbox
Xbox Cloud Gaming,Xbox
Xbox One,Xbox
Xbox Series,Xbox
