UUID,Rank,GameID,Country,Date,SystemDate
d7f1dcf8-a873-4e9c-a8ed-b78d712386e9,1,730,SE,2024-08-08,2024-08-14 18:45
f3da5a25-3460-4939-ab54-bce022d56e03,2,578080,SE,2024-08-08,2024-08-14 18:45
a78eebf2-e63a-475c-87ac-d01f1d703cd9,4,238960,SE,2024-08-08,2024-08-14 18:45
249a4232-1ce4-4dec-8952-a338ed7e8e76,5,1172470,SE,2024-08-08,2024-08-14 18:45
a8450449-1799-452b-a3ff-6ac98aafe645,6,1245620,SE,2024-08-08,2024-08-14 18:45
061d3bd7-056a-4c37-a945-79e2d01fd267,7,236390,SE,2024-08-08,2024-08-14 18:45
ae27b596-5ae1-4dc4-a0cb-32b3010d4fcb,8,2074920,SE,2024-08-08,2024-08-14 18:45
a15e0376-e158-4bdf-ae89-2218c408083b,10,570,SE,2024-08-08,2024-08-14 18:45
04d75c2d-d704-480d-b9ea-fb1bfc5156f6,11,2183900,SE,2024-08-08,2024-08-14 18:45
e0649627-58b3-499c-b740-d355effcf0fb,12,1222670,SE,2024-08-08,2024-08-14 18:45
c8e0e6c0-1dab-4617-82a1-90617befec18,14,2139460,SE,2024-08-08,2024-08-14 18:45
c33c0a8d-c446-496f-9f34-f4d9956243d5,15,271590,SE,2024-08-08,2024-08-14 18:45
d7b41df8-57b6-4fb7-a05b-c06334b8ba13,16,1086940,SE,2024-08-08,2024-08-14 18:45
fe7228f6-bedd-46ae-98da-2556a717855e,17,2396980,SE,2024-08-08,2024-08-14 18:45
1481a86d-133d-4bf1-8a86-88381049e86d,18,2778580,SE,2024-08-08,2024-08-14 18:45
1ffd596c-8e9f-4f6c-bbfa-f082bb3c562f,19,553850,SE,2024-08-08,2024-08-14 18:45
c9e03ae1-f555-407f-90ef-e5b282944044,21,381210,SE,2024-08-08,2024-08-14 18:45
4a01583d-8f20-44a8-b30c-ca085287385f,22,230410,SE,2024-08-08,2024-08-14 18:45
1c2755ff-28ee-4af3-91e4-bb0b287df8b3,23,39210,SE,2024-08-08,2024-08-14 18:45
a7715814-9a36-48c5-93da-21dee3dbee22,24,1599340,SE,2024-08-08,2024-08-14 18:45
0b12cbe4-da39-46fc-ae65-5cfb65e71632,25,252490,SE,2024-08-08,2024-08-14 18:45
cbe755be-f894-480c-912f-7360f4d9d20b,27,2567870,SE,2024-08-08,2024-08-14 18:45
1fa51376-1eed-4dee-899b-b7d67f57e6df,28,1085660,SE,2024-08-08,2024-08-14 18:45
25b4b2e0-d61b-46a2-aa2e-5164487b38c6,30,2638370,SE,2024-08-08,2024-08-14 18:45
9c403337-e0b2-498f-a916-04105e695885,31,546560,SE,2024-08-08,2024-08-14 18:45
0706afe3-aa28-4011-a2ac-d64c51a948fb,32,440,SE,2024-08-08,2024-08-14 18:45
3db0e6d4-c314-40d6-9e4f-6a10e989be43,34,359550,SE,2024-08-08,2024-08-14 18:45
0f0eba2f-6c34-4c7d-a7c9-0cc257af37e3,35,1149460,SE,2024-08-08,2024-08-14 18:45
c9f48626-5186-418d-9bb5-7473eeedc257,36,2933620,SE,2024-08-08,2024-08-14 18:45
7b99c835-323d-46ea-bd3e-5b7825f28eee,38,2142790,SE,2024-08-08,2024-08-14 18:45
30ea33ee-5e0d-4502-ba24-51bdc0c19dd2,40,2195250,SE,2024-08-08,2024-08-14 18:45
abf115fe-a81a-4cdc-a169-0ff3bf4c4ed0,41,227300,SE,2024-08-08,2024-08-14 18:45
db1f8b5c-f3f3-4b97-8641-63e05f21f0b9,42,2215430,SE,2024-08-08,2024-08-14 18:45
f00eace2-b3f7-4424-a133-3aeb8684ccc2,43,2358720,SE,2024-08-08,2024-08-14 18:45
81c8fd9a-b315-4f5e-a7d0-bca56862bdc1,46,2519060,SE,2024-08-08,2024-08-14 18:45
275fc3d2-06d3-45d1-8702-31f0869e3c90,47,2395210,SE,2024-08-08,2024-08-14 18:45
039aebc3-ad7f-4769-b40f-8f18a773146d,48,202970,SE,2024-08-08,2024-08-14 18:45
c04169d2-fbb7-496c-9780-b67a6b6aa64c,49,1091500,SE,2024-08-08,2024-08-14 18:45
2bb587d1-8f28-4c38-9efc-14a9e35082b4,50,311210,SE,2024-08-08,2024-08-14 18:45
eb481f63-2e8e-45b8-8a3f-c1ed2f4d152c,51,1174180,SE,2024-08-08,2024-08-14 18:45
47352e78-f1dd-4f04-bb94-50ec320620eb,54,1158310,SE,2024-08-08,2024-08-14 18:45
4ca0decd-02da-46cc-800a-aa85c3217dad,56,2141910,SE,2024-08-08,2024-08-14 18:45
34a37b49-a335-46b8-8016-bf7a97df146b,57,1172620,SE,2024-08-08,2024-08-14 18:45
56c2b50f-1e8b-4ec1-a996-940b9d8801dd,58,1250410,SE,2024-08-08,2024-08-14 18:45
9428df72-c6ee-4108-af3d-776bc78d96be,59,1659040,SE,2024-08-08,2024-08-14 18:45
e0624330-9233-4a97-a4c6-7ee0e1a14a6c,60,1203620,SE,2024-08-08,2024-08-14 18:45
c940bf0b-ea0b-4ab7-a1ac-01cdb0a9b8a1,61,2670630,SE,2024-08-08,2024-08-14 18:45
c24fc3c6-292c-4153-9845-f71281bab5a9,62,2808930,SE,2024-08-08,2024-08-14 18:45
5ebbf9e0-fa95-4652-85d3-3b04c51a560b,63,494840,SE,2024-08-08,2024-08-14 18:45
4009237a-0283-4264-9c4e-303026d95617,64,2344520,SE,2024-08-08,2024-08-14 18:45
07fbe1d9-d6c5-4a86-b5d7-03ce17436961,65,1517290,SE,2024-08-08,2024-08-14 18:45
6571628d-728a-4be7-b1f8-bf03d9ba5989,67,2366980,SE,2024-08-08,2024-08-14 18:45
b392303e-374c-466d-b3ea-3f11c2d93207,68,284160,SE,2024-08-08,2024-08-14 18:45
6afdf465-3ddc-4ad1-ae4d-b93476938f00,69,1144200,SE,2024-08-08,2024-08-14 18:45
60078619-1100-4cde-a002-9ca009195fa0,70,2073850,SE,2024-08-08,2024-08-14 18:45
8498db29-3599-4931-b599-8821277b6e0f,71,2961880,SE,2024-08-08,2024-08-14 18:45
41317b86-a7ae-4d6a-9361-6103f877fd02,72,648800,SE,2024-08-08,2024-08-14 18:45
78ab368c-c37c-4616-ad24-f027ebc91911,73,2016590,SE,2024-08-08,2024-08-14 18:45
4b78cbfa-c1d4-4f24-84f8-fa0a70160001,74,294100,SE,2024-08-08,2024-08-14 18:45
64cd440a-e59a-48e3-b51b-842a6b8930ed,76,1407200,SE,2024-08-08,2024-08-14 18:45
