App_Id,Hours_Played(30days),Datetime
730,638444217,2024-08-11 12:03
2923300,288549525,2024-08-11 12:03
570,348669170,2024-08-11 12:03
578080,213934245,2024-08-11 12:03
1172470,87023697,2024-08-11 12:03
2139460,101754790,2024-08-11 12:03
1245620,107864919,2024-08-11 12:03
271590,85505378,2024-08-11 12:03
1203220,95337431,2024-08-11 12:03
1938090,49254019,2024-08-11 12:03
1086940,49210362,2024-08-11 12:03
252490,69820712,2024-08-11 12:03
440,53975109,2024-08-11 12:03
431960,58007506,2024-08-11 12:03
238960,44251492,2024-08-11 12:03
251570,43376175,2024-08-11 12:03
413150,56374965,2024-08-11 12:03
2074920,71209368,2024-08-11 12:03
359550,37916979,2024-08-11 12:03
1782210,39478587,2024-08-11 12:03
236390,41910786,2024-08-11 12:03
1085660,38944776,2024-08-11 12:03
230410,33824518,2024-08-11 12:03
289070,35350006,2024-08-11 12:03
553850,18381328,2024-08-11 12:03
381210,32139424,2024-08-11 12:03
438100,21083410,2024-08-11 12:03
39210,26642269,2024-08-11 12:03
2195250,36013981,2024-08-11 12:03
436150,17854130,2024-08-11 12:03
2357570,22714257,2024-08-11 12:03
550,18320728,2024-08-11 12:03
1222670,23878742,2024-08-11 12:03
1281930,22559911,2024-08-11 12:03
2252570,34377330,2024-08-11 12:03
221100,24853535,2024-08-11 12:03
1623730,29410043,2024-08-11 12:03
394360,25974031,2024-08-11 12:03
3016800,1726179,2024-08-11 12:03
582010,19648878,2024-08-11 12:03
105600,21859812,2024-08-11 12:03
2977660,19822434,2024-08-11 12:03
108600,17574546,2024-08-11 12:03
1174180,22315767,2024-08-11 12:03
322330,21009785,2024-08-11 12:03
304930,18638541,2024-08-11 12:03
346110,18266793,2024-08-11 12:03
1366800,17618662,2024-08-11 12:03
1449850,13282872,2024-08-11 12:03
294100,16024613,2024-08-11 12:03
489830,13220092,2024-08-11 12:03
377160,15324261,2024-08-11 12:03
2344520,5224056,2024-08-11 12:03
1091500,16908698,2024-08-11 12:03
1599340,15091107,2024-08-11 12:03
275850,17534049,2024-08-11 12:03
