GameID,MostPlayedRank,PeakPlayers,AllTimePeak,Date
2358720,1,2205557,2415714,2024-08-25
730,2,1190471,1818773,2024-08-25
578080,3,784255,3257248,2024-08-25
570,4,657661,1295114,2024-08-25
2923300,5,430843,917272,2024-08-25
1203220,6,229991,385770,2024-08-25
1172470,7,213109,624473,2024-08-25
271590,8,164742,364548,2024-08-25
2139460,9,145051,231668,2024-08-25
431960,10,115467,150375,2024-08-25
252490,11,110095,245243,2024-08-25
1086940,12,94442,875343,2024-08-25
413150,13,93544,236614,2024-08-25
1938090,14,89461,491670,2024-08-25
236390,15,88461,121318,2024-08-25
1245620,16,84251,953426,2024-08-25
238960,17,81394,229337,2024-08-25
289070,18,78390,162657,2024-08-25
2252570,19,72523,89478,2024-08-25
251570,20,70473,125419,2024-08-25
359550,21,68721,201933,2024-08-25
2195250,22,64003,107359,2024-08-25
440,23,63856,253997,2024-08-25
230410,24,62836,189837,2024-08-25
2357570,25,57882,75608,2024-08-25
582010,26,57425,334684,2024-08-25
2074920,27,52450,264860,2024-08-25
394360,28,51007,78108,2024-08-25
221100,29,50693,73418,2024-08-25
381210,30,49813,105093,2024-08-25
438100,31,45471,52956,2024-08-25
436150,32,43497,47136,2024-08-25
1222670,33,42132,96328,2024-08-25
1966720,34,41746,240817,2024-08-25
105600,35,41301,489886,2024-08-25
1782210,36,41081,75967,2024-08-25
480,37,40643,102705,2024-08-25
1248130,38,38003,105636,2024-08-25
227300,39,37933,69754,2024-08-25
1366800,40,37570,38258,2024-08-25
594650,41,37057,60124,2024-08-25
1085660,42,37019,316750,2024-08-25
1091500,43,36421,1054388,2024-08-25
1623730,44,34855,2101867,2024-08-25
39210,45,34805,95150,2024-08-25
322330,46,34178,115925,2024-08-25
346110,47,34150,248405,2024-08-25
1174180,48,33097,77655,2024-08-25
550,49,32927,162399,2024-08-25
4000,50,32068,73863,2024-08-25
489830,51,30875,69906,2024-08-25
2709570,52,30752,47836,2024-08-25
1142710,53,30737,166754,2024-08-25
2344520,54,30146,39782,2024-08-25
3047030,55,29414,40421,2024-08-25
1238810,56,29310,116104,2024-08-25
1158310,57,28464,98872,2024-08-25
294100,58,28334,62257,2024-08-25
252950,59,28023,147632,2024-08-25
892970,60,27854,502387,2024-08-25
108600,61,27661,65505,2024-08-25
2977660,62,27331,90669,2024-08-25
739630,63,27040,112717,2024-08-25
513710,64,26749,68322,2024-08-25
553850,65,26655,458709,2024-08-25
1281930,66,26425,47602,2024-08-25
377160,67,26191,472962,2024-08-25
261550,68,25935,248216,2024-08-25
1599340,69,25154,1325305,2024-08-25
1449850,70,24377,262689,2024-08-25
304930,71,24028,112703,2024-08-25
1818450,72,23974,38437,2024-08-25
1364780,73,23845,70573,2024-08-25
292030,74,23340,103329,2024-08-25
813780,75,22648,38725,2024-08-25
8930,76,22452,91363,2024-08-25
1446780,77,21418,231360,2024-08-25
1049590,78,20794,52853,2024-08-25
322170,79,20787,88346,2024-08-25
250900,80,19841,70701,2024-08-25
1568590,81,19686,702845,2024-08-25
629520,82,19647,21920,2024-08-25
284160,83,19636,26844,2024-08-25
2016590,84,19598,57164,2024-08-25
236850,85,19075,48165,2024-08-25
275850,86,18627,212613,2024-08-25
960090,87,18562,53943,2024-08-25
1905180,88,18458,20080,2024-08-25
107410,89,18109,56679,2024-08-25
1623660,90,18077,97173,2024-08-25
1329410,91,17305,39075,2024-08-25
218620,92,17241,247709,2024-08-25
2399830,93,17205,98047,2024-08-25
1621690,94,17106,34508,2024-08-25
427520,95,17074,34700,2024-08-25
766570,96,16811,24544,2024-08-25
548430,97,16793,54160,2024-08-25
291550,98,16326,34816,2024-08-25
1551360,99,16282,81096,2024-08-25
393380,100,16123,35151,2024-08-25
397540,101,15883,93820,2024-08-25
1466860,102,15865,73928,2024-08-25
306130,103,15778,49234,2024-08-25
2073850,104,15685,242619,2024-08-25
1238840,105,15560,53714,2024-08-25
281990,106,15522,68602,2024-08-25
1325860,107,15447,16688,2024-08-25
444200,108,15396,56669,2024-08-25
1454400,109,15373,67867,2024-08-25
646570,110,15354,33086,2024-08-25
2448970,111,15200,39325,2024-08-25
2338770,112,14973,30363,2024-08-25
239140,113,14911,45876,2024-08-25
1687950,114,14870,35474,2024-08-25
582660,115,14788,60395,2024-08-25
1973530,116,14742,38950,2024-08-25
1172620,117,14526,66906,2024-08-25
244210,118,14006,19661,2024-08-25
1716740,119,13941,330723,2024-08-25
1293830,120,13852,75689,2024-08-25
2162800,121,13835,18806,2024-08-25
1426210,122,13685,32685,2024-08-25
457140,123,13462,27486,2024-08-25
814380,124,13052,125315,2024-08-25
10,125,12980,319586,2024-08-25
1151340,126,12885,73368,2024-08-25
1517290,127,12849,107376,2024-08-25
255710,128,12794,60386,2024-08-25
1313140,129,12680,61780,2024-08-25
761890,130,12581,27227,2024-08-25
240,131,12285,100056,2024-08-25
2709440,132,12238,21806,2024-08-25
2426960,133,12129,22281,2024-08-25
2349820,134,11840,37249,2024-08-25
232090,135,11832,69987,2024-08-25
1920960,136,11828,85551,2024-08-25
552990,137,11488,411338,2024-08-25
632360,138,11204,71548,2024-08-25
