App_Id,Hours_Played(30days),Datetime
2358720,152405771,2024-08-26 21:00
730,656284262,2024-08-26 21:00
570,336111528,2024-08-26 21:00
2923300,294253342,2024-08-26 21:00
578080,212763755,2024-08-26 21:00
1203220,88922504,2024-08-26 21:00
271590,87242057,2024-08-26 21:00
1172470,89440720,2024-08-26 21:00
2139460,84934134,2024-08-26 21:00
431960,58511928,2024-08-26 21:00
252490,68155307,2024-08-26 21:00
236390,44599391,2024-08-26 21:00
413150,50932154,2024-08-26 21:00
440,49106689,2024-08-26 21:00
2252570,34683627,2024-08-26 21:00
289070,34801777,2024-08-26 21:00
1245620,69279382,2024-08-26 21:00
230410,34297610,2024-08-26 21:00
238960,66701425,2024-08-26 21:00
1086940,50161391,2024-08-26 21:00
582010,21671428,2024-08-26 21:00
2195250,33394241,2024-08-26 21:00
251570,47311256,2024-08-26 21:00
1938090,48513682,2024-08-26 21:00
1782210,36028758,2024-08-26 21:00
436150,25134877,2024-08-26 21:00
394360,26545403,2024-08-26 21:00
359550,37158145,2024-08-26 21:00
2357570,24791253,2024-08-26 21:00
2074920,46116866,2024-08-26 21:00
480,20828416,2024-08-26 21:00
3047030,19786477,2024-08-26 21:00
381210,31403997,2024-08-26 21:00
322330,19999180,2024-08-26 21:00
1222670,23633850,2024-08-26 21:00
221100,25091745,2024-08-26 21:00
227300,19254323,2024-08-26 21:00
1281930,21757614,2024-08-26 21:00
346110,18836313,2024-08-26 21:00
1366800,19324893,2024-08-26 21:00
2977660,19466417,2024-08-26 21:00
304930,18208861,2024-08-26 21:00
438100,22568232,2024-08-26 21:00
1623730,21310527,2024-08-26 21:00
1091500,17972881,2024-08-26 21:00
105600,20456039,2024-08-26 21:00
1174180,20326655,2024-08-26 21:00
4000,17189136,2024-08-26 21:00
1085660,28912556,2024-08-26 21:00
1449850,13586894,2024-08-26 21:00
1248130,16423865,2024-08-26 21:00
2344520,10142428,2024-08-26 21:00
513710,10698729,2024-08-26 21:00
