Rank,GameID,GameName,Cost,Country,Datetime
1,2358720,Black Myth: Wukong,"NT$ 1,280.00",CH,2024-08-20 12:06
2,730,Counter-Strike 2,Free To Play,CH,2024-08-20 12:06
3,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",CH,2024-08-20 12:06
4,2162800,shapez 2,NT$ 326.00,CH,2024-08-20 12:06
5,1575940,Sins of a Solar Empire II,NT$ 596.00,CH,2024-08-20 12:06
6,578080,PUBG: BATTLEGROUNDS,Free To Play,CH,2024-08-20 12:06
7,236390,War Thunder,Free To Play,CH,2024-08-20 12:06
8,2139460,Once Human,Free To Play,CH,2024-08-20 12:06
9,2515020,FINAL FANTASY XVI,"NT$ 1,490.00",CH,2024-08-20 12:06
10,2074920,The First Descendant,Free To Play,CH,2024-08-20 12:06
11,1245620,ELDEN RING,"NT$ 1,790.00",CH,2024-08-20 12:06
12,1599340,Lost Ark(not available in your region),"NT$ 1,790.00",CH,2024-08-20 12:06
13,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",CH,2024-08-20 12:06
14,1040200,Crime Scene Cleaner,NT$ 288.00,CH,2024-08-20 12:06
15,1091500,Cyberpunk 2077,"NT$ 1,599.00",CH,2024-08-20 12:06
16,1172470,Apex Legends™,Free To Play,CH,2024-08-20 12:06
17,594650,Hunt: Showdown 1896,NT$ 639.00,CH,2024-08-20 12:06
18,230410,Warframe,Free To Play,CH,2024-08-20 12:06
20,39210,FINAL FANTASY XIV Online(not available in your region),Free To Play,CH,2024-08-20 12:06
21,1857090,Norland,NT$ 699.00,CH,2024-08-20 12:06
22,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",CH,2024-08-20 12:06
23,1105420,Game of Thrones Winter is Coming,Free To Play,CH,2024-08-20 12:06
24,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",CH,2024-08-20 12:06
25,1172620,Sea of Thieves: 2024 Edition,"NT$ 1,088.00",CH,2024-08-20 12:06
26,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",CH,2024-08-20 12:06
27,582660,Black Desert,NT$ 200.00,CH,2024-08-20 12:06
28,2567870,Chained Together,NT$ 102.00,CH,2024-08-20 12:06
29,1326470,Sons Of The Forest,NT$ 488.00,CH,2024-08-20 12:06
30,570,Dota 2,Free To Play,CH,2024-08-20 12:06
31,2399830,ARK: Survival Ascended,"NT$ 1,382.00",CH,2024-08-20 12:06
32,227300,Euro Truck Simulator 2,NT$ 428.00,CH,2024-08-20 12:06
35,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,CH,2024-08-20 12:06
37,238960,Path of Exile(not available in your region),NT$ 569.00,CH,2024-08-20 12:06
38,1222670,The Sims™ 4,Free To Play,CH,2024-08-20 12:06
39,550470,NosTale - Anime MMORPG,Free To Play,CH,2024-08-20 12:06
40,1086940,Baldur's Gate 3,"NT$ 1,599.00",CH,2024-08-20 12:06
41,2808930,Lust Goddess(hidden by your preferences),Free To Play,CH,2024-08-20 12:06
42,271590,Grand Theft Auto V,NT$ 480.00,CH,2024-08-20 12:06
44,1313140,Cult of the Lamb,NT$ 488.00,CH,2024-08-20 12:06
45,1030840,Mafia: Definitive Edition,NT$ 238.00,CH,2024-08-20 12:06
46,381210,Dead by Daylight,NT$ 379.00,CH,2024-08-20 12:06
47,2138330,Cyberpunk 2077: Phantom Liberty,NT$ 799.00,CH,2024-08-20 12:06
48,1232580,Knock on the Coffin Lid,NT$ 302.00,CH,2024-08-20 12:06
49,1562430,DREDGE,NT$ 486.00,CH,2024-08-20 12:06
50,1962663,Call of Duty®: Warzone™,Free To Play,CH,2024-08-20 12:06
51,1158310,Crusader Kings III,"NT$ 1,268.00",CH,2024-08-20 12:06
52,1845910,Dragon Age™: The Veilguard,"NT$ 1,799.00",CH,2024-08-20 12:06
54,1934680,Age of Mythology: Retold,"NT$ 1,018.00",CH,2024-08-20 12:06
55,1363080,Manor Lords,NT$ 999.00,CH,2024-08-20 12:06
57,1665460,eFootball™ 2024,Free To Play,CH,2024-08-20 12:06
58,2426960,Summoners War,Free To Play,CH,2024-08-20 12:06
60,2252570,Football Manager 2024,NT$ 519.00,CH,2024-08-20 12:06
61,2369390,Far Cry® 6,NT$ 424.00,CH,2024-08-20 12:06
62,1551360,Forza Horizon 5,"NT$ 1,688.00",CH,2024-08-20 12:06
64,2780980,LOCKDOWN Protocol,NT$ 188.00,CH,2024-08-20 12:06
66,552520,Far Cry® 5,NT$ 254.00,CH,2024-08-20 12:06
67,284160,BeamNG.drive,NT$ 408.00,CH,2024-08-20 12:06
68,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",CH,2024-08-20 12:06
69,553850,HELLDIVERS™ 2,"NT$ 1,190.00",CH,2024-08-20 12:06
71,1017180,The Long Drive,NT$ 278.00,CH,2024-08-20 12:06
72,2059530,Dawn of Defiance,NT$ 246.00,CH,2024-08-20 12:06
73,397540,Borderlands 3,NT$ 178.00,CH,2024-08-20 12:06
74,2142790,Fields of Mistria,NT$ 248.00,CH,2024-08-20 12:06
75,1812450,Bellwright,NT$ 488.00,CH,2024-08-20 12:06
76,2519060,Call of Duty®: Modern Warfare® III,"NT$ 2,219.00",CH,2024-08-20 12:06
77,529340,Victoria 3,"NT$ 1,268.00",CH,2024-08-20 12:06
79,767560,War Robots,Free To Play,CH,2024-08-20 12:06
80,306130,The Elder Scrolls® Online,NT$ 179.00,CH,2024-08-20 12:06
81,1203220,NARAKA: BLADEPOINT,Free To Play,CH,2024-08-20 12:06
82,2344520,Diablo® IV,"NT$ 1,575.00",CH,2024-08-20 12:06
83,1774580,STAR WARS Jedi: Survivor™,"NT$ 1,999.00",CH,2024-08-20 12:06
85,1144200,Ready or Not,NT$ 846.00,CH,2024-08-20 12:06
86,489830,The Elder Scrolls V: Skyrim Special Edition,NT$ 299.00,CH,2024-08-20 12:06
87,24010,Train Simulator Classic 2024,NT$ 488.00,CH,2024-08-20 12:06
88,2492780,With Eyes Closed - Season 1(hidden by your preferences),NT$ 214.00,CH,2024-08-20 12:06
89,1142710,Total War: WARHAMMER III,"NT$ 1,790.00",CH,2024-08-20 12:06
91,427520,Factorio,NT$ 600.00,CH,2024-08-20 12:06
93,393080,Call of Duty®: Modern Warfare® Remastered (2017),"NT$ 1,310.00",CH,2024-08-20 12:06
94,960090,Bloons TD 6,NT$ 248.00,CH,2024-08-20 12:06
96,1174180,Red Dead Redemption 2,"NT$ 1,790.00",CH,2024-08-20 12:06
98,1248130,Farming Simulator 22,NT$ 650.00,CH,2024-08-20 12:06
99,949230,Cities: Skylines II,"NT$ 1,398.00",CH,2024-08-20 12:06
