Top_Selling,App_Id,Name,Cost,Country,Datetime
80,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",CA,2024-08-05 12:04
81,11256,Arma 3 Ultimate Edition,"NT$ 1,258.00",CA,2024-08-05 12:04
82,1142710,Total War: WARHAMMER III,"NT$ 1,790.00",CA,2024-08-05 12:04
83,2315690,WWE 2K24,NT$ 895.00,CA,2024-08-05 12:04
84,739630,Phasmophobia,NT$ 248.00,CA,2024-08-05 12:04
85,266410,iRacing,NT$ 278.00,CA,2024-08-05 12:04
86,284160,BeamNG.drive,NT$ 408.00,CA,2024-08-05 12:04
87,2790720,Call of Duty®: Modern Warfare® III - BlackCell (Season 5),"NT$ 1,008.00",CA,2024-08-05 12:04
88,2291060,EARTH DEFENSE FORCE 6,"NT$ 1,755.00",CA,2024-08-05 12:04
89,36586,Crusader Kings III: Collection,"NT$ 3,656.00",CA,2024-08-05 12:04
90,2366980,Thank Goodness You're Here!,NT$ 296.00,CA,2024-08-05 12:04
91,1696780,Steam Deck Docking Station,NT$ 296.00,CA,2024-08-05 12:04
92,427520,Factorio,NT$ 600.00,CA,2024-08-05 12:04
93,814380,Sekiro™: Shadows Die Twice - GOTY Edition,NT$ 795.00,CA,2024-08-05 12:04
94,2138330,Cyberpunk 2077: Phantom Liberty,NT$ 799.00,CA,2024-08-05 12:04
95,377160,Fallout 4,NT$ 599.00,CA,2024-08-05 12:04
96,304390,FOR HONOR™,NT$ 849.00,CA,2024-08-05 12:04
97,2406770,Bodycam,NT$ 566.00,CA,2024-08-05 12:04
98,221100,DayZ,"NT$ 1,499.00",CA,2024-08-05 12:04
99,1326470,Sons Of The Forest,NT$ 488.00,CA,2024-08-05 12:04
100,949230,Cities: Skylines II,"NT$ 1,398.00",CA,2024-08-05 12:04
