Rank,GameID,GameName,Cost,Country,Datetime
86,2369390,Far Cry® 6,NT$ 424.00,FR,2024-08-21 12:05
88,1845910,Dragon Age™: The Veilguard,"NT$ 1,799.00",FR,2024-08-21 12:05
89,1290000,PowerWash Simulator,NT$ 553.00,FR,2024-08-21 12:05
90,721180,Dustborn,NT$ 790.00,FR,2024-08-21 12:05
91,570,Dota 2,Free To Play,FR,2024-08-21 12:05
93,1898300,ASKA,NT$ 326.00,FR,2024-08-21 12:05
95,2808930,Lust Goddess(hidden by your preferences),Free To Play,FR,2024-08-21 12:05
96,1142710,Total War: WARHAMMER III,"NT$ 1,790.00",FR,2024-08-21 12:05
97,1206560,WorldBox - God Simulator,NT$ 328.00,FR,2024-08-21 12:05
98,1534980,Terminus: Zombie Survivors,NT$ 262.00,FR,2024-08-21 12:05
99,552520,Far Cry® 5,NT$ 254.00,FR,2024-08-21 12:05
100,284160,BeamNG.drive,NT$ 408.00,FR,2024-08-21 12:05
