Top_Selling,App_Id,Name,Cost,Country,Datetime
79,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",DK,2024-08-05 12:04
80,413150,Stardew Valley,NT$ 398.00,DK,2024-08-05 12:04
81,1159,Galactic Civilizations IV - Expansion Pass,NT$ 795.00,DK,2024-08-05 12:04
82,1248130,Farming Simulator 22,NT$ 650.00,DK,2024-08-05 12:04
83,2399830,ARK: Survival Ascended,"NT$ 1,382.00",DK,2024-08-05 12:04
84,1637320,Dome Keeper,NT$ 119.00,DK,2024-08-05 12:04
85,1013320,Firestone: Online Idle RPG,Free To Play,DK,2024-08-05 12:04
86,41969,Trans-Siberian Contraband,NT$ 492.00,DK,2024-08-05 12:04
87,294100,RimWorld,NT$ 529.00,DK,2024-08-05 12:04
88,703080,Planet Zoo,NT$ 975.00,DK,2024-08-05 12:04
89,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",DK,2024-08-05 12:04
90,9711,Victoria II Complete Edition,NT$ 923.00,DK,2024-08-05 12:04
91,2790720,Call of Duty®: Modern Warfare® III - BlackCell (Season 5),"NT$ 1,008.00",DK,2024-08-05 12:04
92,43418,Manufacture and Repair,NT$ 412.00,DK,2024-08-05 12:04
93,394360,Hearts of Iron IV,"NT$ 1,268.00",DK,2024-08-05 12:04
94,3015760,Ready or Not: Home Invasion,NT$ 249.00,DK,2024-08-05 12:04
95,32490,Hotel Renovator - Five Star Edition,NT$ 856.00,DK,2024-08-05 12:04
96,518790,theHunter: Call of the Wild™,NT$ 318.00,DK,2024-08-05 12:04
97,1085660,Destiny 2,Free To Play,DK,2024-08-05 12:04
98,15965,Age of Empires® III (2007) & Definitive Edition Bundle,NT$ 889.00,DK,2024-08-05 12:04
99,440900,Conan Exiles,NT$ 399.00,DK,2024-08-05 12:04
100,1307440,Naval Action - HMS Victory 1765,NT$ 898.00,DK,2024-08-05 12:04
