Rank,GameID,GameName,Cost,Country,Datetime
87,2437170,SMITE 2,NT$ 702.00,DE,2024-08-26 12:04
88,1551360,Forza Horizon 5,"NT$ 1,688.00",DE,2024-08-26 12:04
89,2142790,Fields of Mistria,NT$ 248.00,DE,2024-08-26 12:04
90,1201540,HELLCARD,NT$ 244.00,DE,2024-08-26 12:04
91,1702010,Sengoku Dynasty,NT$ 341.00,DE,2024-08-26 12:04
92,2399830,ARK: Survival Ascended,"NT$ 1,382.00",DE,2024-08-26 12:04
93,1091500,Cyberpunk 2077,"NT$ 1,599.00",DE,2024-08-26 12:04
94,379430,Kingdom Come: Deliverance,NT$ 877.00,DE,2024-08-26 12:04
95,1142710,Total War: WARHAMMER III,"NT$ 1,790.00",DE,2024-08-26 12:04
96,2709570,Supermarket Together,Free To Play,DE,2024-08-26 12:04
97,3146530,Supermarket Together - The Cool Pack,NT$ 102.00,DE,2024-08-26 12:04
98,1144200,Ready or Not,NT$ 846.00,DE,2024-08-26 12:04
99,1623730,Palworld,NT$ 488.00,DE,2024-08-26 12:04
100,281990,Stellaris,"NT$ 1,018.00",DE,2024-08-26 12:04
