Rank,GameID,GameName,Cost,Country,Datetime
88,2492430,火焰征程,Free To Play,CN,2024-08-21 12:05
89,541570,Sally Face - Episode One,NT$ 22.00,CN,2024-08-21 12:05
90,1260320,Party Animals,NT$ 419.00,CN,2024-08-21 12:05
91,739630,Phasmophobia,NT$ 248.00,CN,2024-08-21 12:05
92,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",CN,2024-08-21 12:05
93,1364780,Street Fighter™ 6,"NT$ 1,680.00",CN,2024-08-21 12:05
94,2396980,Fate/stay night REMASTERED,NT$ 439.00,CN,2024-08-21 12:05
96,774171,Muse Dash,NT$ 45.00,CN,2024-08-21 12:05
97,641990,The Escapists 2,NT$ 122.00,CN,2024-08-21 12:05
98,1938090,Call of Duty®,NT$ 122.00,CN,2024-08-21 12:05
99,255710,Cities: Skylines,NT$ 768.00,CN,2024-08-21 12:05
100,1144200,Ready or Not,NT$ 846.00,CN,2024-08-21 12:05
