Rank,GameID,GameName,Cost,Country,Datetime
3,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",FR,2024-08-10 12:05
4,2074920,The First Descendant,Free To Play,FR,2024-08-10 12:05
5,397540,Borderlands 3,NT$ 178.00,FR,2024-08-10 12:05
6,306130,The Elder Scrolls® Online,NT$ 179.00,FR,2024-08-10 12:05
7,1593500,God of War,NT$ 476.00,FR,2024-08-10 12:05
8,730,Counter-Strike 2,Free To Play,FR,2024-08-10 12:05
9,1086940,Baldur's Gate 3,"NT$ 1,599.00",FR,2024-08-10 12:05
10,2751000,Prince of Persia The Lost Crown,NT$ 677.00,FR,2024-08-10 12:05
11,1245620,ELDEN RING,"NT$ 1,790.00",FR,2024-08-10 12:05
12,2426960,Summoners War,Free To Play,FR,2024-08-10 12:05
13,236390,War Thunder,Free To Play,FR,2024-08-10 12:05
14,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",FR,2024-08-10 12:05
15,2638370,Five Nights at Freddy's: Into the Pit,NT$ 328.00,FR,2024-08-10 12:05
16,553850,HELLDIVERS™ 2,"NT$ 1,190.00",FR,2024-08-10 12:05
17,39210,FINAL FANTASY XIV Online(not available in your region),"NT$ 1,190.00",FR,2024-08-10 12:05
18,1599340,Lost Ark(not available in your region),"NT$ 1,190.00",FR,2024-08-10 12:05
19,2139460,Once Human,Free To Play,FR,2024-08-10 12:05
20,311210,Call of Duty®: Black Ops III,NT$ 659.00,FR,2024-08-10 12:05
21,230410,Warframe,Free To Play,FR,2024-08-10 12:05
22,238960,Path of Exile(not available in your region),Free To Play,FR,2024-08-10 12:05
24,1222670,The Sims™ 4,Free To Play,FR,2024-08-10 12:05
25,381210,Dead by Daylight,NT$ 379.00,FR,2024-08-10 12:05
26,489830,The Elder Scrolls V: Skyrim Special Edition,NT$ 299.00,FR,2024-08-10 12:05
27,1172470,Apex Legends™,Free To Play,FR,2024-08-10 12:05
29,49520,Borderlands 2,NT$ 149.00,FR,2024-08-10 12:05
30,782330,DOOM Eternal,NT$ 299.00,FR,2024-08-10 12:05
31,1172620,Sea of Thieves: 2024 Edition,"NT$ 1,088.00",FR,2024-08-10 12:05
32,1449850,Yu-Gi-Oh! Master Duel,Free To Play,FR,2024-08-10 12:05
33,252490,Rust,NT$ 694.00,FR,2024-08-10 12:05
34,1331550,Big Ambitions,NT$ 375.00,FR,2024-08-10 12:05
35,1716740,Starfield,"NT$ 1,333.00",FR,2024-08-10 12:05
36,271590,Grand Theft Auto V,NT$ 662.00,FR,2024-08-10 12:05
37,1286680,Tiny Tina's Wonderlands,NT$ 433.00,FR,2024-08-10 12:05
38,377160,Fallout 4,NT$ 239.00,FR,2024-08-10 12:05
40,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",FR,2024-08-10 12:05
41,2358720,Black Myth: Wukong,"NT$ 1,280.00",FR,2024-08-10 12:05
42,227300,Euro Truck Simulator 2,NT$ 428.00,FR,2024-08-10 12:05
43,1237970,Titanfall® 2,NT$ 79.00,FR,2024-08-10 12:05
44,1085660,Destiny 2,Free To Play,FR,2024-08-10 12:05
45,2167580,Summoners War: Chronicles,Free To Play,FR,2024-08-10 12:05
46,2567870,Chained Together,NT$ 102.00,FR,2024-08-10 12:05
47,578080,PUBG: BATTLEGROUNDS,Free To Play,FR,2024-08-10 12:05
49,202970,Call of Duty®: Black Ops II,NT$ 623.00,FR,2024-08-10 12:05
50,2808930,Lust Goddess(hidden by your preferences),Free To Play,FR,2024-08-10 12:05
51,2344520,Diablo® IV,"NT$ 1,575.00",FR,2024-08-10 12:05
52,2400510,Dungeons & Degenerate Gamblers,NT$ 241.00,FR,2024-08-10 12:05
54,1151340,Fallout 76,NT$ 299.00,FR,2024-08-10 12:05
