Top_Selling,App_Id,Name,Cost,Country,Datetime
75,1422440,Cataclismo,NT$ 559.00,HK,2024-08-05 12:04
76,1859910,Legend of Mortal,NT$ 369.00,HK,2024-08-05 12:04
77,1997040,MARVEL SNAP,Free To Play,HK,2024-08-05 12:04
78,35839,Mediterranean Bundle,"NT$ 1,296.00",HK,2024-08-05 12:04
79,34153,Sea of Stars + The Messenger Bundle,NT$ 567.00,HK,2024-08-05 12:04
80,1517290,Battlefield™ 2042,"NT$ 1,599.00",HK,2024-08-05 12:04
81,2855560,流亡黯道,Free To Play,HK,2024-08-05 12:04
82,1416920,Chinese Online Game,NT$ 188.00,HK,2024-08-05 12:04
83,1085660,Destiny 2,Free To Play,HK,2024-08-05 12:04
84,1466860,Age of Empires IV: Anniversary Edition,"NT$ 1,088.00",HK,2024-08-05 12:04
85,2544720,Workplace Fantasy(hidden by your preferences),NT$ 187.00,HK,2024-08-05 12:04
86,1363080,Manor Lords,NT$ 749.00,HK,2024-08-05 12:04
87,251570,7 Days to Die,NT$ 670.00,HK,2024-08-05 12:04
88,601150,Devil May Cry 5,NT$ 287.00,HK,2024-08-05 12:04
89,2273420,Peeping Dorm Manager(hidden by your preferences),NT$ 249.00,HK,2024-08-05 12:04
90,20340,Atelier Mysterious Trilogy Deluxe Pack,"NT$ 1,695.00",HK,2024-08-05 12:04
91,2739980,Horny Suika: Wet Watermelon(hidden by your preferences),NT$ 91.00,HK,2024-08-05 12:04
92,2857880,Yakuza Rogue: Yokohama massage parlor chapter(hidden by your preferences),NT$ 255.00,HK,2024-08-05 12:04
93,1659040,HITMAN World of Assassination,NT$ 48.00,HK,2024-08-05 12:04
94,2291680,The Arrogant Kaiju Princess and The Detective Servant(hidden by your preferences),NT$ 319.00,HK,2024-08-05 12:04
95,1876890,Wandering Sword,NT$ 359.00,HK,2024-08-05 12:04
96,30554,The Legend of Heroes: Trails through Daybreak Deluxe Edition,"NT$ 1,976.00",HK,2024-08-05 12:04
97,1144200,Ready or Not,NT$ 846.00,HK,2024-08-05 12:04
98,582660,Black Desert,NT$ 200.00,HK,2024-08-05 12:04
99,2344520,Diablo® IV,"NT$ 1,575.00",HK,2024-08-05 12:04
100,27213,Ultimate Bloons Rush Tower Defense Bundle!,NT$ 673.00,HK,2024-08-05 12:04
