Top_Selling,App_Id,Name,Cost,Country,Datetime
79,1158310,Crusader Kings III,"NT$ 1,268.00",FR,2024-08-05 12:04
80,2790710,Call of Duty®: Modern Warfare® III - Tracer Pack: Underboss Pro Pack,NT$ 690.00,FR,2024-08-05 12:04
81,739630,Phasmophobia,NT$ 248.00,FR,2024-08-05 12:04
82,311210,Call of Duty®: Black Ops III,"NT$ 1,998.00",FR,2024-08-05 12:04
83,756800,Contraband Police,NT$ 292.00,FR,2024-08-05 12:04
84,1659040,HITMAN World of Assassination,NT$ 48.00,FR,2024-08-05 12:04
85,21469,Subnautica Ultimate Collection,"NT$ 1,960.00",FR,2024-08-05 12:04
86,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",FR,2024-08-05 12:04
87,2208920,Assassin's Creed Valhalla,"NT$ 1,699.00",FR,2024-08-05 12:04
88,33608,HELLDIVERS™ 2 Super Citizen Edition,"NT$ 1,790.00",FR,2024-08-05 12:04
89,2399420,Le Mans Ultimate,"NT$ 1,007.00",FR,2024-08-05 12:04
90,294100,RimWorld,NT$ 529.00,FR,2024-08-05 12:04
91,1665460,eFootball™ 2024,Free To Play,FR,2024-08-05 12:04
92,2012510,Stormgate,NT$ 678.00,FR,2024-08-05 12:04
93,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",FR,2024-08-05 12:04
94,2670630,Supermarket Simulator,NT$ 238.00,FR,2024-08-05 12:04
95,1898300,ASKA,NT$ 408.00,FR,2024-08-05 12:04
96,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,FR,2024-08-05 12:04
97,284160,BeamNG.drive,NT$ 408.00,FR,2024-08-05 12:04
98,2138330,Cyberpunk 2077: Phantom Liberty,NT$ 799.00,FR,2024-08-05 12:04
99,1857090,Norland,NT$ 699.00,FR,2024-08-05 12:04
100,1284210,Guild Wars 2,Free To Play,FR,2024-08-05 12:04
