Top_Selling,App_Id,Name,Cost,Country,Datetime
78,1962663,Call of Duty®: Warzone™,Free To Play,NL,2024-08-05 12:04
79,32183,Golden Idol Mysteries : Game + DLC,NT$ 481.00,NL,2024-08-05 12:04
80,1326470,Sons Of The Forest,NT$ 488.00,NL,2024-08-05 12:04
81,739630,Phasmophobia,NT$ 248.00,NL,2024-08-05 12:04
82,1208,Dark Parables Pack,"NT$ 3,169.00",NL,2024-08-05 12:04
83,1449850,Yu-Gi-Oh! Master Duel,Free To Play,NL,2024-08-05 12:04
84,2526380,Sword of Convallaria,Free To Play,NL,2024-08-05 12:04
85,2698780,ContractVille,NT$ 328.00,NL,2024-08-05 12:04
86,686810,Hell Let Loose,NT$ 899.00,NL,2024-08-05 12:04
87,2420110,Horizon Forbidden West™ Complete Edition,"NT$ 1,490.00",NL,2024-08-05 12:04
88,427520,Factorio,NT$ 600.00,NL,2024-08-05 12:04
89,2849080,Kingdom Rush 5: Alliance TD,NT$ 295.00,NL,2024-08-05 12:04
90,39394,Command & Conquer™ The Ultimate Collection,NT$ 720.00,NL,2024-08-05 12:04
91,394360,Hearts of Iron IV,"NT$ 1,268.00",NL,2024-08-05 12:04
92,1599340,Lost Ark(not available in your region),"NT$ 1,268.00",NL,2024-08-05 12:04
93,518790,theHunter: Call of the Wild™,NT$ 318.00,NL,2024-08-05 12:04
94,1934680,Age of Mythology: Retold,"NT$ 1,018.00",NL,2024-08-05 12:04
95,1644320,Railway Empire 2,NT$ 975.00,NL,2024-08-05 12:04
96,13715,The Jackbox Party Trilogy 2.0,NT$ 869.00,NL,2024-08-05 12:04
97,2252570,Football Manager 2024,"NT$ 1,299.00",NL,2024-08-05 12:04
98,1145350,Hades II,NT$ 488.00,NL,2024-08-05 12:04
99,2321470,Deep Rock Galactic: Survivor,NT$ 141.00,NL,2024-08-05 12:04
100,41751,Detective Reborn Bundle,NT$ 910.00,NL,2024-08-05 12:04
