Top_Selling,App_Id,Name,Cost,Country,Datetime
78,960090,Bloons TD 6,NT$ 124.00,SE,2024-08-05 12:04
79,1432860,Sun Haven,NT$ 189.00,SE,2024-08-05 12:04
80,107410,Arma 3,NT$ 174.00,SE,2024-08-05 12:04
81,1637320,Dome Keeper,NT$ 119.00,SE,2024-08-05 12:04
82,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",SE,2024-08-05 12:04
83,1938090,Call of Duty®,"NT$ 1,690.00",SE,2024-08-05 12:04
84,983380,Car Manufacture,NT$ 295.00,SE,2024-08-05 12:04
85,377160,Fallout 4,NT$ 599.00,SE,2024-08-05 12:04
86,489830,The Elder Scrolls V: Skyrim Special Edition,"NT$ 1,199.00",SE,2024-08-05 12:04
87,1248130,Farming Simulator 22,NT$ 650.00,SE,2024-08-05 12:04
88,31111,Aliens: Fireteam Elite - Ultimate Edition,NT$ 661.00,SE,2024-08-05 12:04
89,1142710,Total War: WARHAMMER III,"NT$ 1,790.00",SE,2024-08-05 12:04
90,221100,DayZ,"NT$ 1,499.00",SE,2024-08-05 12:04
91,2357570,Overwatch® 2,Free To Play,SE,2024-08-05 12:04
92,1659040,HITMAN World of Assassination,NT$ 48.00,SE,2024-08-05 12:04
93,42684,Thieves'n'Dealers vol. 2,NT$ 573.00,SE,2024-08-05 12:04
94,2366980,Thank Goodness You're Here!,NT$ 296.00,SE,2024-08-05 12:04
95,1529,Company of Heroes Complete Pack,NT$ 911.00,SE,2024-08-05 12:04
96,648800,Raft,NT$ 468.00,SE,2024-08-05 12:04
97,380600,Fishing Planet,Free To Play,SE,2024-08-05 12:04
98,1288320,Way of the Hunter,NT$ 227.00,SE,2024-08-05 12:04
99,431240,Golf With Your Friends,NT$ 148.00,SE,2024-08-05 12:04
100,3015760,Ready or Not: Home Invasion,NT$ 249.00,SE,2024-08-05 12:04
