Rank,GameID,GameName,Cost,Country,Datetime
1,2139460,Once Human,Free To Play,FR,2024-08-17 12:05
2,1575940,Sins of a Solar Empire II,NT$ 596.00,FR,2024-08-17 12:05
3,1675200,Steam Deck,NT$ 596.00,FR,2024-08-17 12:05
4,2162800,shapez 2,NT$ 326.00,FR,2024-08-17 12:05
5,1091500,Cyberpunk 2077,NT$ 799.00,FR,2024-08-17 12:05
6,1040200,Crime Scene Cleaner,NT$ 288.00,FR,2024-08-17 12:05
7,730,Counter-Strike 2,Free To Play,FR,2024-08-17 12:05
8,2074920,The First Descendant,Free To Play,FR,2024-08-17 12:05
9,2358720,Black Myth: Wukong,"NT$ 1,280.00",FR,2024-08-17 12:05
10,1086940,Baldur's Gate 3,"NT$ 1,599.00",FR,2024-08-17 12:05
11,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",FR,2024-08-17 12:05
12,1172620,Sea of Thieves: 2024 Edition,NT$ 652.00,FR,2024-08-17 12:05
13,1313140,Cult of the Lamb,NT$ 244.00,FR,2024-08-17 12:05
14,594650,Hunt: Showdown 1896,NT$ 639.00,FR,2024-08-17 12:05
15,1172470,Apex Legends™,Free To Play,FR,2024-08-17 12:05
16,236390,War Thunder,Free To Play,FR,2024-08-17 12:05
17,1245620,ELDEN RING,"NT$ 1,790.00",FR,2024-08-17 12:05
19,2426960,Summoners War,Free To Play,FR,2024-08-17 12:05
20,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",FR,2024-08-17 12:05
21,1562430,DREDGE,NT$ 486.00,FR,2024-08-17 12:05
22,2167580,Summoners War: Chronicles,Free To Play,FR,2024-08-17 12:05
24,1599340,Lost Ark(not available in your region),Free To Play,FR,2024-08-17 12:05
25,39210,FINAL FANTASY XIV Online(not available in your region),Free To Play,FR,2024-08-17 12:05
26,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",FR,2024-08-17 12:05
27,230410,Warframe,Free To Play,FR,2024-08-17 12:05
28,238960,Path of Exile(not available in your region),Free To Play,FR,2024-08-17 12:05
29,381210,Dead by Daylight,NT$ 379.00,FR,2024-08-17 12:05
30,1845910,Dragon Age™: The Veilguard,"NT$ 1,799.00",FR,2024-08-17 12:05
31,2138330,Cyberpunk 2077: Phantom Liberty,NT$ 679.00,FR,2024-08-17 12:05
32,306130,The Elder Scrolls® Online,NT$ 179.00,FR,2024-08-17 12:05
34,1222670,The Sims™ 4,Free To Play,FR,2024-08-17 12:05
35,397540,Borderlands 3,NT$ 178.00,FR,2024-08-17 12:05
36,2369390,Far Cry® 6,NT$ 424.00,FR,2024-08-17 12:05
37,252490,Rust,NT$ 694.00,FR,2024-08-17 12:05
39,2561450,DREDGE - The Iron Rig,NT$ 360.00,FR,2024-08-17 12:05
40,2567870,Chained Together,NT$ 102.00,FR,2024-08-17 12:05
41,552520,Far Cry® 5,NT$ 254.00,FR,2024-08-17 12:05
42,1085660,Destiny 2,Free To Play,FR,2024-08-17 12:05
43,227300,Euro Truck Simulator 2,NT$ 428.00,FR,2024-08-17 12:05
44,271590,Grand Theft Auto V,NT$ 974.00,FR,2024-08-17 12:05
45,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",FR,2024-08-17 12:05
46,578080,PUBG: BATTLEGROUNDS,Free To Play,FR,2024-08-17 12:05
47,2840770,Avatar: Frontiers of Pandora™,NT$ 995.00,FR,2024-08-17 12:05
48,2344520,Diablo® IV,"NT$ 1,575.00",FR,2024-08-17 12:05
49,1203620,Enshrouded,NT$ 499.00,FR,2024-08-17 12:05
50,553850,HELLDIVERS™ 2,"NT$ 1,190.00",FR,2024-08-17 12:05
51,2059530,Dawn of Defiance,NT$ 246.00,FR,2024-08-17 12:05
52,2780980,LOCKDOWN Protocol,NT$ 188.00,FR,2024-08-17 12:05
53,1151340,Fallout 76,NT$ 299.00,FR,2024-08-17 12:05
54,1934680,Age of Mythology: Retold,"NT$ 1,018.00",FR,2024-08-17 12:05
55,489830,The Elder Scrolls V: Skyrim Special Edition,NT$ 299.00,FR,2024-08-17 12:05
56,2756770,Tavern Manager Simulator 🍻,NT$ 214.00,FR,2024-08-17 12:05
57,2808930,Lust Goddess(hidden by your preferences),Free To Play,FR,2024-08-17 12:05
58,292030,The Witcher 3: Wild Hunt,NT$ 217.00,FR,2024-08-17 12:05
59,648800,Raft,NT$ 468.00,FR,2024-08-17 12:05
60,1627720,Lies of P,NT$ 838.00,FR,2024-08-17 12:05
62,1966720,Lethal Company,NT$ 188.00,FR,2024-08-17 12:05
63,1449850,Yu-Gi-Oh! Master Duel,Free To Play,FR,2024-08-17 12:05
64,2252570,Football Manager 2024,NT$ 519.00,FR,2024-08-17 12:05
65,1962663,Call of Duty®: Warzone™,Free To Play,FR,2024-08-17 12:05
