GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
1089090,ONE PIECE: PIRATE WARRIORS 4,"Mar 27, 2020",Very Positive,"| 14,667 User Reviews","NT$ 1,190.00","['Anime', 'Hack and Slash', ""Beat 'em up"", 'Fighting', 'Pirates', 'Action', 'Split Screen', 'PvP', 'Arcade', 'Multiplayer', 'Musou', 'Co-op', 'Adventure', 'RPG', 'Local Co-Op', 'Online Co-Op', 'Comedy', 'Open World', 'Controller', 'Singleplayer']",fighting_martial_arts,2024-08-27 13:56
3128600,Hero's Adventure - Her Vanishing Silhouette,"Aug 13, 2024",Mostly Positive,| 98 User Reviews,NT$ 82.00,"['RPG', 'Indie', 'Adventure', 'Simulation', 'Martial Arts', 'Open World', 'Multiple Endings', 'Strategy', 'Pixel Graphics', 'Turn-Based Strategy', 'Singleplayer', 'Turn-Based', 'Stealth', 'Choose Your Own Adventure', '2D', 'Drama', 'Sexual Content', 'Anime', 'RPGMaker', 'Mature']",fighting_martial_arts,2024-08-27 13:56
1876890,Wandering Sword,"Sep 15, 2023",Very Positive,"| 17,110 User Reviews",NT$ 408.00,"['RPG', 'Martial Arts', 'Pixel Graphics', 'Turn-Based', 'Story Rich', 'Open World', 'Strategy', 'Adventure', 'Singleplayer', '2.5D', 'Drama', 'Swordplay', 'Turn-Based Combat', ""1990's"", 'Foreign', 'Tactical', 'Turn-Based Strategy', 'Turn-Based Tactics', 'Action RPG', 'Silent Protagonist']",fighting_martial_arts,2024-08-27 13:56
1971870,Mortal Kombat 1,"Sep 19, 2023",Mostly Positive,"| 19,080 User Reviews","NT$ 1,670.00","['Action', 'Fighting', 'Gore', 'Multiplayer', 'Blood', 'Martial Arts', 'Violent', '2D Fighter', 'PvP', 'Arcade', 'Story Rich', 'Character Customization', 'Singleplayer', '2.5D', 'Atmospheric', 'Competitive', 'Mature', 'Horror', '3D', 'Local Co-Op']",fighting_martial_arts,2024-08-27 13:56
2157560,Granblue Fantasy Versus: Rising,"Dec 14, 2023",Very Positive,"| 3,615 User Reviews","NT$ 1,040.00","['Action', '2D Fighter', 'Multiplayer', 'Anime', 'Fighting', 'Singleplayer', 'eSports', 'Action RPG', 'Fantasy', 'Competitive', 'Great Soundtrack', 'Local Multiplayer', 'Female Protagonist', 'Free to Play', 'Character Customization', 'LGBTQ+']",fighting_martial_arts,2024-08-27 13:56
1902690,Fate/Samurai Remnant,"Sep 29, 2023",Very Positive,"| 3,778 User Reviews","NT$ 1,990.00","['JRPG', 'RPG', 'Anime', 'Action RPG', 'Action', 'Story Rich', 'Spectacle fighter', 'Historical', 'Magic', 'Drama', 'Multiple Endings', 'Singleplayer', 'Stylized', 'Musou', 'Hack and Slash', 'Visual Novel', 'Violent', 'Gore', 'Fantasy', 'Sexual Content']",fighting_martial_arts,2024-08-27 13:56
1462040,FINAL FANTASY VII REMAKE INTERGRADE,"Jun 17, 2022",Very Positive,"| 24,431 User Reviews","NT$ 1,990.00","['RPG', 'Action RPG', 'JRPG', 'Action-Adventure', 'Singleplayer', 'Party-Based RPG', 'Spectacle fighter', 'Third Person', 'Action', 'Controller', 'Adventure', '3D', 'Fantasy', '3D Platformer', 'Magic', 'Realistic', 'Story Rich', 'Cinematic', 'Drama', 'Sci-fi']",fighting_martial_arts,2024-08-27 13:56
1790600,DRAGON BALL: Sparking! ZERO,"Oct 10, 2024",,,"NT$ 1,890.00","['Anime', 'Action', '3D Fighter', 'Multiplayer', 'Local Multiplayer', 'Fighting', 'Combat', 'PvP', 'Martial Arts', 'Competitive', 'Singleplayer', 'Physics', '2.5D', '3D', 'Third Person', 'Co-op', 'PvE', 'Open World', 'Action-Adventure', 'Spectacle fighter']",fighting_martial_arts,2024-08-27 13:56
1384160,GUILTY GEAR -STRIVE-,"Jun 11, 2021",Very Positive,"| 37,275 User Reviews","NT$ 1,193.00","['Fighting', '2D Fighter', 'Great Soundtrack', 'Anime', 'PvP', '2.5D', 'Arcade', 'Lore-Rich', 'Action', 'Multiplayer', '2D', 'Story Rich', '3D', 'Local Multiplayer', 'Fantasy', 'Combat', 'Cinematic', 'Drama', 'LGBTQ+', 'Casual']",fighting_martial_arts,2024-08-27 13:56
2138710,Sifu,"Mar 28, 2023",Very Positive,"| 11,309 User Reviews",NT$ 569.00,"['Action', 'Martial Arts', ""Beat 'em up"", 'Difficult', 'Third Person', 'Singleplayer', 'Souls-like', 'Crime', 'Blood', 'Indie', 'Swordplay', 'Dark', 'Arcade', 'Action Roguelike', 'Fighting', 'Dark Fantasy', 'War', 'Hack and Slash', 'Action RPG', 'Action-Adventure']",fighting_martial_arts,2024-08-27 13:56
