App_Id,Name,Operation_Date,Rating_Summary,Total_Number_of_Rating,Cost,Game_Tag,Category,Datetime
1868140,DAVE THE DIVER,"Jun 28, 2023",Overwhelmingly Positive,"| 100,009 User Reviews",NT$ 350.00,"['Pixel Graphics', 'Casual', 'Management', 'Adventure', 'RPG', 'Relaxing', 'Fishing', 'Simulation', 'Exploration', 'Underwater', 'Singleplayer', 'Farming Sim', '2D', 'Crafting', 'Story Rich', 'Roguelite', 'Funny', 'Agriculture', 'Action', 'Indie']",simulation,2024-08-05 12:10
872410,ROMANCE OF THE THREE KINGDOMS XIV,"Jan 16, 2020",Mixed,"| 11,632 User Reviews","NT$ 1,074.00","['Turn-Based Tactics', 'Wargame', 'Military', 'Immersive Sim', 'Diplomacy', 'War', 'Character Customization', 'Grand Strategy', 'Turn-Based Strategy', 'Strategy', 'Historical', '3D', 'Alternate History', 'Simulation', 'Tactical', 'Resource Management', 'Singleplayer', 'Replay Value', 'RPG', 'Turn-Based']",simulation,2024-08-05 12:10
1909840,JIANGHU CHRONICLES,"Aug 1, 2024",Mostly Positive,| 692 User Reviews,NT$ 278.00,"['Action', 'Base Building', 'Dungeon Crawler', 'Martial Arts', 'Action-Adventure', 'Adventure', 'Historical', 'Real Time Tactics', '2.5D', 'Top-Down', 'God Game', 'Simulation', 'Singleplayer', 'Action RPG', 'Immersive Sim', 'Combat', 'Exploration', 'Conversation', '3D', 'Indie']",simulation,2024-08-05 12:10
2406770,Bodycam,"Jun 7, 2024",Mostly Positive,"| 19,797 User Reviews",NT$ 566.00,"['FPS', 'Realistic', 'Shooter', 'Military', 'PvP', 'First-Person', 'Immersive Sim', 'Strategy', 'Stealth', 'Survival', '3D', 'Action', 'Surreal', 'Action-Adventure', 'Simulation', 'Open World', 'Multiplayer', 'Tactical', 'Combat', 'VR']",simulation,2024-08-05 12:10
1432860,Sun Haven,"Mar 11, 2023",Very Positive,"| 16,023 User Reviews",NT$ 189.00,"['Farming Sim', 'Pixel Graphics', 'Multiplayer', 'Life Sim', 'RPG', 'Dating Sim', 'Character Customization', 'Relaxing', 'Adventure', 'Crafting', 'Agriculture', 'Singleplayer', 'Fantasy', 'Magic', 'Simulation', 'Exploration', 'Mining', 'Combat', 'Fishing', 'Cooking']",simulation,2024-08-05 12:10
108600,Project Zomboid,"Nov 8, 2013",Very Positive,"| 236,613 User Reviews",NT$ 328.00,"['Survival', 'Zombies', 'Open World', 'Open World Survival Craft', 'Multiplayer', 'Sandbox', 'Post-apocalyptic', 'Co-op', 'Crafting', 'Indie', 'Building', 'Simulation', 'RPG', 'Survival Horror', 'Realistic', 'Isometric', 'Singleplayer', '2D', 'Adventure', 'Early Access']",simulation,2024-08-05 12:10
244210,Assetto Corsa,"Dec 19, 2014",Very Positive,"| 101,182 User Reviews",NT$ 318.00,"['Racing', 'Automobile Sim', 'Simulation', 'Driving', 'Multiplayer', 'Realistic', 'VR', 'Sports', 'Moddable', 'Open World', 'Controller', 'Physics', 'Singleplayer', 'First-Person', 'Replay Value', 'Indie', 'Action', '3D Vision', 'TrackIR', 'Artificial Intelligence']",simulation,2024-08-05 12:10
107410,Arma 3,"Sep 12, 2013",Very Positive,"| 151,027 User Reviews",NT$ 174.00,"['Military', 'Action', 'Multiplayer', 'Simulation', 'Shooter', 'Realistic', 'First-Person', 'Open World', 'Tactical', 'FPS', 'War', 'Co-op', 'Strategy', 'Sandbox', 'Singleplayer', 'Moddable', 'Combat', 'Online Co-Op', 'Team-Based', 'Third-Person Shooter']",simulation,2024-08-05 12:10
294100,RimWorld,"Oct 17, 2018",Overwhelmingly Positive,"| 161,640 User Reviews",NT$ 529.00,"['Colony Sim', 'Base Building', 'Survival', 'Strategy', 'Sandbox', 'Management', 'Building', 'Simulation', 'Singleplayer', 'Moddable', 'City Builder', 'Open World', 'Procedural Generation', '2D', 'Sci-fi', 'Indie', 'Space', 'Tactical RPG', 'Western', 'Cartoony']",simulation,2024-08-05 12:10
394360,Hearts of Iron IV,"Jun 6, 2016",Very Positive,"| 214,390 User Reviews","NT$ 1,268.00","['Strategy', 'World War II', 'Grand Strategy', 'War', 'Historical', 'Military', 'Alternate History', 'Multiplayer', 'Simulation', 'Tactical', 'Real-Time with Pause', 'Singleplayer', 'RTS', 'Diplomacy', 'Sandbox', 'Co-op', 'Strategy RPG', 'Competitive', 'Open World', 'Action']",simulation,2024-08-05 12:10
2646460,Soulmask,"May 31, 2024",Mostly Positive,"| 8,149 User Reviews",NT$ 599.00,"['Multiplayer', 'Survival', 'Open World Survival Craft', 'Sandbox', 'Building', 'Open World', 'Base Building', 'Third Person', 'Crafting', 'Action-Adventure', 'Exploration', 'RPG', 'Simulation', 'Singleplayer', 'Adventure', 'Massively Multiplayer', 'Hunting', '3D', 'Realistic', 'Tower Defense']",simulation,2024-08-05 12:10
1190000,Car Mechanic Simulator 2021,"Aug 11, 2021",Overwhelmingly Positive,"| 24,337 User Reviews",NT$ 163.00,"['Simulation', 'Automobile Sim', 'Sandbox', 'Realistic', 'Moddable', 'Racing', 'Driving', '3D', 'Education', 'First-Person', 'Singleplayer', 'Immersive Sim', 'Puzzle', 'Open World', 'Atmospheric', 'Adventure', 'Minigames', 'Indie', 'Strategy', 'VR']",simulation,2024-08-05 12:10
255710,Cities: Skylines,"Mar 10, 2015",Very Positive,"| 192,663 User Reviews",NT$ 768.00,"['City Builder', 'Simulation', 'Building', 'Management', 'Strategy', 'Sandbox', 'Singleplayer', 'Moddable', 'Economy', 'Resource Management', 'Mod', 'Realistic', 'Replay Value', 'Casual', 'Modern', 'Real-Time with Pause', 'Family Friendly', 'Great Soundtrack', 'Funny', 'Action']",simulation,2024-08-05 12:10
